time CaMKII* CaMKII6 CaMKII7 PP1
10 13 100 0.0 4
15 14 100 0.0 1
20 14 100 0.0 6
25 13 100 0.0 2
30 13 100 0.0 1
35 10 100 0.0 2
40 9 100 0.0 2
45 9 100 0.0 2
50 9 100 0.0 3
55 9 100 0.0 2
60 8 100 0.0 5
65 5 100 0.0 1
70 5 100 0.0 7
75 5 100 0.0 2
80 5 100 0.0 0
85 4 100 0.0 1
90 4 100 0.0 1
95 2 100 0.0 5
100 1 100 0.0 1
105 0 100 0.0 1
110 0 100 0.0 2
115 0 100 0.0 5
120 0 100 0.0 2
125 0 100 0.0 0
130 0 100 0.0 3
135 0 100 0.0 5
140 0 100 0.0 5
145 0 100 0.0 4
150 0 100 0.0 1
155 0 100 0.0 0
160 0 100 0.0 3
165 0 100 0.0 5
170 0 100 0.0 2
175 0 100 0.0 1
180 0 100 0.0 7
185 0 100 0.0 1
190 0 100 0.0 2
195 0 100 0.0 0
200 0 100 0.0 3
205 0 100 0.0 5
210 0 100 0.0 4
215 0 100 0.0 9
220 0 100 0.0 2
225 0 100 0.0 5
230 0 100 0.0 0
235 0 100 0.0 1
240 0 100 0.0 3
245 0 100 0.0 1
250 0 100 0.0 3
255 0 100 0.0 3
260 0 100 0.0 5
265 0 100 0.0 4
270 0 100 0.0 8
275 0 100 0.0 3
280 0 100 0.0 2
285 0 100 0.0 1
290 0 100 0.0 3
295 0 100 0.0 3
300 0 100 0.0 3
305 0 100 0.0 2
310 0 100 0.0 6
315 0 100 0.0 2
320 0 100 0.0 3
325 0 100 0.0 0
330 0 100 0.0 4
335 0 100 0.0 2
340 0 100 0.0 6
345 0 100 0.0 6
350 0 100 0.0 1
355 0 100 0.0 1
360 0 100 0.0 3
365 0 100 0.0 2
370 0 100 0.0 3
375 0 100 0.0 3
380 0 100 0.0 5
385 0 100 0.0 1
390 0 100 0.0 6
395 0 100 0.0 0
400 0 100 0.0 3
405 0 100 0.0 5
410 0 100 0.0 1
415 0 100 0.0 4
420 0 100 0.0 1
425 0 100 0.0 6
430 0 100 0.0 0
435 0 100 0.0 1
440 0 100 0.0 0
445 0 100 0.0 1
450 0 100 0.0 5
455 0 100 0.0 6
460 0 100 0.0 4
465 0 100 0.0 0
470 0 100 0.0 2
475 0 100 0.0 2
480 0 100 0.0 2
485 0 100 0.0 2
490 0 100 0.0 4
495 0 100 0.0 2
500 0 100 0.0 0
505 53 100 0.0 3
510 77 100 0.0 0
515 78 100 0.0 0
520 74 100 0.0 0
525 65 100 0.0 0
530 69 100 0.0 0
535 61 100 0.0 1
540 58 100 0.0 0
545 48 100 0.0 0
550 42 100 0.0 0
555 38 100 0.0 0
560 35 100 0.0 4
565 32 100 0.0 3
570 30 100 0.0 0
575 28 100 0.0 4
580 29 100 0.0 0
585 25 100 0.0 2
590 23 100 0.0 0
595 19 100 0.0 2
600 15 100 0.0 1
605 16 100 0.0 5
610 13 100 0.0 3
615 10 100 0.0 0
620 9 100 0.0 1
625 7 100 0.0 3
630 7 100 0.0 1
635 6 100 0.0 0
640 5 100 0.0 0
645 5 100 0.0 3
650 4 100 0.0 3
655 3 100 0.0 2
660 2 100 0.0 1
