time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 12 16 2 4 0 16
180 13 17 1 2 0 17
240 10 17 1 5 1 16
300 9 18 0 4 0 18
360 11 17 1 2 1 16
420 9 18 0 3 0 18
480 9 17 1 4 0 17
540 8 16 2 3 0 16
600 11 18 0 0 0 18
660 13 18 0 1 1 17
720 5 18 0 0 0 18
780 8 18 0 3 0 18
840 9 16 2 1 0 16
900 10 18 0 3 0 18
960 8 18 0 6 0 18
1020 11 18 0 3 0 18
1080 14 17 1 0 1 16
1140 9 17 1 4 0 17
1200 10 18 0 1 0 17
1260 9 17 1 1 0 17
1320 6 18 0 3 0 18
1380 6 18 0 3 0 18
1440 11 16 2 3 0 16
1500 15 18 0 0 2 16
1560 12 18 0 3 0 18
1620 13 17 1 3 1 16
1680 12 18 0 2 0 18
1740 11 17 1 0 0 17
1800 11 18 0 3 1 17
1860 11 18 0 4 0 18
1920 11 18 0 4 0 18
1980 8 17 1 4 0 17
2040 9 17 1 1 0 17
2100 6 18 0 4 0 18
2160 12 15 3 1 1 14
2220 14 17 1 0 0 17
2280 13 18 0 1 1 17
2340 14 17 1 0 2 15
2400 12 18 0 0 1 17
2460 10 18 0 1 0 18
2520 6 18 0 2 0 18
2580 6 17 1 1 0 17
2640 9 18 0 1 0 18
2700 13 17 1 2 0 17
2760 8 17 1 3 0 17
2820 9 18 0 0 0 18
2880 5 18 0 4 0 18
2940 5 18 0 3 0 18
3000 14 17 1 2 0 17
3060 9 17 1 2 1 16
3120 14 17 1 1 0 17
3180 11 18 0 1 0 18
3240 9 17 1 4 0 17
3300 12 15 3 1 2 13
3360 8 18 0 6 0 18
3420 10 18 0 3 0 18
3480 9 17 1 1 0 17
3540 11 18 0 3 0 18
3600 13 18 0 1 0 18
3660 11 17 1 2 1 16
3720 14 17 1 2 0 16
3780 9 18 0 1 1 17
3840 8 17 1 0 0 17
3900 7 18 0 4 0 18
3960 8 16 2 2 0 16
4020 10 18 0 3 1 17
4080 9 18 0 2 0 18
4140 6 17 1 4 0 17
4200 12 17 1 5 0 17
4260 8 17 1 3 0 17
4320 11 16 2 3 0 16
4380 10 17 1 5 0 17
4440 8 18 0 4 0 18
4500 11 17 1 3 0 17
