time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 18 0 77 0 9
180 0 17 1 75 0 8
240 0 18 0 74 0 9
300 0 18 0 74 0 9
360 0 18 0 74 0 9
420 0 18 0 73 0 9
480 0 18 0 73 0 9
540 0 18 0 70 0 9
600 0 17 1 67 0 8
660 0 18 0 66 0 9
720 0 17 1 63 0 8
780 0 17 1 62 0 8
840 0 18 0 59 0 9
900 0 18 0 58 0 9
960 0 17 1 57 0 8
1020 0 18 0 56 0 9
1080 0 18 0 54 0 9
1140 0 18 0 52 0 9
1200 0 18 0 50 0 9
1260 0 18 0 48 0 9
1320 0 18 0 46 0 9
1380 0 17 1 46 0 8
1440 0 17 1 42 0 8
1500 0 18 0 39 0 9
1560 0 18 0 38 0 9
1620 0 18 0 37 0 9
1680 0 18 0 33 0 9
1740 0 17 1 31 0 8
1800 0 18 0 28 0 9
1860 0 17 1 25 0 8
1920 0 18 0 23 0 9
1980 0 18 0 23 0 9
2040 0 18 0 20 0 9
2100 0 18 0 16 0 9
2160 0 18 0 13 0 9
2220 0 18 0 12 0 9
2280 0 18 0 10 0 9
2340 0 18 0 7 0 9
2400 0 18 0 7 0 9
2460 0 18 0 7 0 9
2520 0 18 0 7 0 9
2580 0 17 1 6 0 8
2640 0 18 0 5 0 9
2700 0 18 0 4 0 9
2760 1 18 0 3 0 9
2820 1 17 1 2 0 8
2880 0 18 0 2 0 9
2940 0 17 1 2 0 8
3000 1 18 0 1 0 9
3060 1 18 0 1 0 9
3120 1 18 0 1 0 9
3180 0 17 1 0 0 8
3240 0 18 0 0 0 9
3300 0 17 1 0 0 8
3360 0 16 2 0 0 7
3420 0 17 1 0 0 8
3480 0 18 0 0 0 9
3540 0 17 1 0 0 8
3600 0 17 1 0 0 8
3660 0 18 0 0 0 9
3720 0 18 0 0 0 9
3780 0 18 0 0 0 9
3840 0 18 0 0 0 9
3900 1 18 0 0 0 9
3960 1 18 0 0 0 9
4020 1 18 0 0 0 9
4080 2 15 3 0 0 6
4140 3 18 0 0 0 9
4200 2 18 0 0 0 9
4260 1 18 0 0 0 9
4320 2 18 0 0 0 9
4380 0 18 0 0 0 9
4440 0 18 0 0 0 9
4500 0 18 0 0 0 9
4560 0 18 0 0 0 9
4620 0 18 0 0 0 9
4680 0 18 0 0 0 9
4740 0 18 0 0 0 9
4800 0 18 0 0 0 9
4860 0 17 1 0 0 8
4920 1 18 0 0 0 9
4980 0 18 0 0 0 9
5040 0 17 1 0 0 8
5100 0 17 1 0 0 8
5160 0 18 0 1 0 9
5220 0 18 0 0 0 9
5280 0 18 0 0 0 9
5340 0 18 0 0 0 9
5400 0 18 0 0 0 9
5460 0 18 0 0 0 9
5520 0 17 1 0 0 8
5580 0 18 0 0 0 9
5640 0 18 0 0 0 9
5700 0 18 0 0 0 9
5760 0 18 0 0 0 9
5820 0 18 0 0 0 9
5880 0 17 1 0 0 8
5940 0 18 0 0 0 9
6000 0 18 0 0 0 9
6060 0 17 1 0 0 8
6120 0 17 1 0 0 8
6180 0 18 0 0 0 9
6240 0 17 1 0 0 8
6300 0 18 0 0 0 9
6360 0 18 0 0 0 9
6420 0 17 1 0 0 8
6480 0 18 0 0 0 9
6540 0 17 1 0 0 8
6600 0 18 0 0 0 9
6660 1 18 0 0 0 9
6720 1 18 0 0 0 9
6780 0 18 0 0 0 9
6840 0 18 0 0 0 9
6900 0 18 0 0 0 9
6960 0 18 0 0 0 9
7020 0 18 0 0 0 9
7080 0 18 0 0 0 9
7140 0 18 0 0 0 9
7200 0 18 0 0 0 9
7260 0 18 0 0 0 9
7320 0 18 0 0 0 9
7380 0 18 0 0 0 9
7440 0 18 0 0 0 9
7500 0 18 0 0 0 9
7560 1 18 0 0 0 9
7620 0 17 1 0 0 8
7680 0 18 0 0 0 9
7740 0 17 1 0 0 8
7800 0 18 0 0 0 9
7860 0 18 0 0 0 9
7920 0 17 1 0 0 8
7980 0 18 0 0 0 9
8040 0 18 0 0 0 9
8100 0 18 0 0 0 9
8160 0 18 0 0 0 9
8220 0 18 0 0 0 9
8280 1 17 1 0 0 8
8340 0 18 0 0 0 9
8400 0 18 0 0 0 9
8460 0 18 0 0 0 9
8520 0 17 1 0 0 8
8580 0 17 1 0 0 8
8640 0 18 0 0 0 9
8700 0 18 0 0 0 9
8760 0 18 0 0 0 9
8820 1 18 0 0 0 9
8880 0 18 0 0 0 9
8940 2 17 1 0 0 8
9000 2 18 0 0 0 9
9060 3 18 0 0 0 9
9120 2 18 0 0 0 9
9180 3 18 0 0 0 9
9240 2 18 0 0 0 9
9300 3 18 0 0 0 9
9360 2 17 1 0 0 8
9420 1 17 1 0 0 8
9480 0 17 1 0 0 8
9540 1 18 0 0 0 9
