time,mean_camkii_0.0,std_camkii_0.0,mean_camkii_1e-20,std_camkii_1e-20,mean_camkii_1e-15,std_camkii_1e-15,mean_camkii_1e-14,std_camkii_1e-14,mean_camkii_1e-13,std_camkii_1e-13,mean_camkii_1e-12,std_camkii_1e-12
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,0.0,0.0,0.1,0.30000000000000004,0.1,0.30000000000000004,0.1,0.30000000000000004,0.0,0.0,0.1,0.30000000000000004
722,0.0,0.0,0.2,0.4000000000000001,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.1,0.30000000000000004
842,0.0,0.0,0.2,0.4000000000000001,0.3,0.6403124237432849,0.0,0.0,0.0,0.0,0.1,0.30000000000000004
962,0.0,0.0,0.2,0.4000000000000001,0.2,0.4000000000000001,0.1,0.30000000000000004,0.0,0.0,0.1,0.30000000000000004
1082,0.0,0.0,0.3,0.45825756949558394,0.3,0.9000000000000001,0.0,0.0,0.0,0.0,0.1,0.30000000000000004
1202,0.0,0.0,0.4,0.48989794855663565,0.4,0.66332495807108,0.2,0.6000000000000001,0.0,0.0,0.1,0.30000000000000004
1322,0.0,0.0,0.4,0.48989794855663565,0.4,0.9165151389911681,0.2,0.6000000000000001,0.0,0.0,0.1,0.30000000000000004
1442,0.0,0.0,0.5,0.6708203932499369,0.6,1.2806248474865698,0.2,0.6000000000000001,0.0,0.0,0.1,0.30000000000000004
1562,0.1,0.30000000000000004,0.5,0.5,0.6,1.2806248474865698,0.4,1.2000000000000002,0.0,0.0,0.1,0.30000000000000004
1682,0.0,0.0,0.6,0.6633249580710799,0.8,1.4000000000000001,0.3,0.9,0.0,0.0,0.1,0.30000000000000004
1802,0.1,0.30000000000000004,0.6,0.6633249580710799,0.8,1.4000000000000001,0.4,0.9165151389911681,0.0,0.0,0.2,0.4
1922,0.2,0.4,0.6,0.6633249580710799,1.0,1.8973665961010275,0.6,1.1999999999999997,0.0,0.0,0.2,0.6000000000000001
2042,0.2,0.4,0.6,0.6633249580710799,1.2,1.8867962264113207,0.8,1.4000000000000001,0.0,0.0,0.4,0.66332495807108
2162,0.2,0.4,0.6,0.6633249580710799,1.4,1.9595917942265424,0.9,1.5779733838059498,0.3,0.45825756949558405,0.4,0.66332495807108
2282,0.2,0.4,0.6,0.6633249580710799,1.4,2.0591260281974,0.9,1.8138357147217055,0.3,0.45825756949558405,0.6,0.9165151389911679
2402,0.2,0.4,0.7,0.6403124237432849,1.3,1.9519221295943137,1.1,1.920937271229855,0.4,0.4898979485566356,0.5,0.806225774829855
2522,0.2,0.4,0.6,0.6633249580710799,1.4,2.0591260281974,1.0,1.8973665961010275,0.4,0.4898979485566356,0.6,1.019803902718557
2642,0.3,0.6403124237432849,0.7,0.6403124237432849,1.5,2.0615528128088303,1.2,1.9899748742132397,0.4,0.4898979485566356,0.7,1.1
2762,0.2,0.4,0.6,0.6633249580710799,2.0,2.32379000772445,1.3,2.193171219946131,0.4,0.4898979485566356,1.0,1.61245154965971
2882,0.2,0.4,0.6,0.6633249580710799,2.0,2.32379000772445,1.4,2.244994432064365,0.4,0.4898979485566356,0.9,1.3000000000000003
3002,0.3,0.6403124237432849,0.7,0.6403124237432849,2.1,2.4269322199023193,1.7,2.4103941586387903,0.4,0.4898979485566356,0.9,1.5779733838059498
3122,0.3,0.6403124237432849,0.7,0.6403124237432849,2.1,2.4269322199023193,1.6,2.28910462845192,0.4,0.4898979485566356,1.0,1.5491933384829668
