suON_pp1bycamkii,suON_avgactivity,suOFF_pp1bycamkii,suOFF_avgactivity
4.0,0.9958142280367053,4.0,0.9288885588128064
5.0,0.9932306968184739,5.0,0.933491769852951
6.0,0.9939077814579118,6.0,0.91112000601853
7.0,0.9926872929924633,7.0,0.905048042145143
8.0,0.9894309209701408,8.0,0.8767505338551965
9.0,0.9870094271015184,9.0,0.8341161923537662
10.0,0.8764640749692804,10.0,0.6463068022893562
11.0,0.9751340183912391,11.0,0.41128667300669947
12.0,0.938609256576498,12.0,0.2894260984299738
13.0,0.9518652620857679,13.0,0.17118358638809103
14.0,0.9257064539090546,14.0,0.06880163734883747
15.0,0.8512275293740922,15.0,0.056185679370523475
16.0,0.7005613436754314,16.0,0.036798874997829856
17.0,0.6734559673147518,17.0,0.03280928396852618
18.0,0.3644914438492358,18.0,0.02845858113152224
19.0,0.21423363085191136,19.0,0.021852279807638517
20.0,0.17203987662013237,20.0,0.021143945107918803
21.0,0.05841311422282837,21.0,0.016181165472927226
22.0,0.0429321815821404,22.0,0.016796907401441748
23.0,0.03971303956990658,23.0,0.014353036946444728
24.0,0.014480930711671896,24.0,0.012494044162893833
25.0,0.01598614194857629,25.0,0.011796126149934704
26.0,0.008850904419182907,26.0,0.009810782814010058
27.0,0.008896043395145438,27.0,0.009447741990243038
28.0,0.00940144560464044,28.0,0.008940603666287936
29.0,0.006905877519053856,29.0,0.008108040331867924
30.0,0.0057258983910076985,30.0,0.007062899426889327
