time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 7 3 0 112243 53346
180 0 8 2 0 112243 53346
240 0 9 1 0 112243 53346
300 0 9 1 0 112243 53346
360 0 7 3 0 112243 53346
420 0 7 3 0 112243 53346
480 0 9 1 0 112243 53346
540 0 8 2 0 112243 53346
600 0 9 1 0 112243 53346
660 0 9 1 0 112243 53346
720 0 8 2 0 112243 53346
780 0 9 1 0 112243 53346
840 0 9 1 0 112243 53346
900 0 8 2 0 112243 53346
960 0 10 0 0 112243 53346
1020 0 8 2 0 112243 53346
1080 0 9 1 0 112243 53346
1140 0 9 1 0 112243 53346
1200 0 9 1 0 112243 53346
1260 0 8 2 0 112243 53346
1320 0 9 1 0 112243 53346
1380 1 8 2 0 112243 53346
1440 1 9 1 0 112243 53346
1500 1 7 3 0 112243 53346
1560 0 7 3 0 112243 53346
1620 0 8 2 0 112243 53346
1680 0 9 1 0 112243 53346
1740 0 9 1 0 112243 53346
1800 0 8 2 0 112243 53346
1860 0 9 1 0 112243 53346
1920 1 10 0 0 112243 53346
1980 1 7 3 0 112243 53346
2040 0 7 3 0 112243 53346
2100 0 9 1 0 112243 53346
2160 0 9 1 0 112243 53346
2220 0 8 2 0 112243 53346
2280 0 10 0 0 112243 53346
2340 0 8 2 0 112243 53346
2400 0 9 1 0 112243 53346
2460 0 10 0 0 112243 53346
2520 0 7 3 0 112243 53346
2580 0 9 1 0 112243 53346
2640 0 8 2 0 112243 53346
2700 0 9 1 0 112243 53346
2760 0 9 1 0 112243 53346
2820 0 8 2 0 112243 53346
2880 0 9 1 0 112243 53346
2940 0 9 1 0 112243 53346
3000 0 7 3 0 112243 53346
3060 0 7 3 0 112243 53346
3120 0 8 2 0 112243 53346
3180 0 9 1 0 112243 53346
3240 0 8 2 0 112243 53346
3300 0 9 1 0 112243 53346
3360 0 6 4 0 112243 53346
3420 0 9 1 0 112243 53346
3480 0 9 1 0 112243 53346
3540 0 8 2 0 112243 53346
3600 0 8 2 0 112243 53346
3660 0 10 0 0 112243 53346
3720 0 9 1 0 112243 53346
3780 0 8 2 0 112243 53346
3840 0 8 2 0 112243 53346
3900 0 10 0 0 112243 53346
3960 0 8 2 0 112243 53346
4020 0 9 1 0 112243 53346
4080 0 9 1 0 112243 53346
4140 0 9 1 0 112243 53346
4200 0 8 2 0 112243 53346
4260 0 9 1 0 112243 53346
4320 0 6 4 0 112243 53346
4380 0 10 0 0 112243 53346
4440 0 6 4 0 112243 53346
4500 0 8 2 0 112243 53346
4560 0 9 1 0 112243 53346
4620 0 9 1 0 112243 53346
4680 0 8 2 0 112243 53346
