time CaMKII* CaMKII6 CaMKII7 PP1 x y
1000 0 11 4 0 35894 123056
1500 0 11 4 0 35894 123056
2000 0 13 2 0 35894 123056
2500 0 14 1 0 35894 123056
3000 0 14 1 0 35894 123056
3500 0 12 3 0 35894 123056
4000 0 14 1 0 35894 123056
4500 0 13 2 0 35894 123056
5000 1 11 4 0 35894 123056
5500 0 11 4 0 35894 123056
6000 0 12 3 0 35894 123056
6500 0 12 3 0 35894 123056
7000 0 14 1 0 35894 123056
7500 0 12 3 0 35894 123056
8000 0 15 0 0 35894 123056
8500 0 14 1 0 35894 123056
9000 0 14 1 0 35894 123056
9500 0 11 4 0 35894 123056
10000 1 12 3 0 35894 123056
10500 0 11 4 0 35894 123056
11000 0 14 1 0 35894 123056
11500 0 11 4 0 35894 123056
12000 0 12 3 0 35894 123056
12500 0 13 2 0 35894 123056
13000 0 13 2 0 35894 123056
13500 0 12 3 0 35894 123056
14000 0 13 2 0 35894 123056
14500 0 11 4 0 35894 123056
15000 0 11 4 0 35894 123056
15500 0 13 2 0 35894 123056
16000 0 14 1 0 35894 123056
16500 0 12 3 0 35894 123056
17000 0 15 0 0 35894 123056
17500 0 12 3 0 35894 123056
18000 0 13 2 0 35894 123056
18500 0 12 3 0 35894 123056
19000 0 13 2 0 35894 123056
19500 0 13 2 0 35894 123056
20000 0 12 3 0 35894 123056
20500 0 12 3 0 35894 123056
21000 0 14 1 0 35894 123056
21500 0 12 3 0 35894 123056
22000 0 14 1 0 35894 123056
22500 0 12 3 0 35894 123056
23000 0 13 2 0 35894 123056
23500 0 14 1 0 35894 123056
24000 0 13 2 0 35894 123056
24500 0 10 5 0 35894 123056
25000 0 11 4 0 35894 123056
25500 0 13 2 0 35894 123056
26000 0 13 2 0 35894 123056
26500 0 14 1 0 35894 123056
27000 1 12 3 0 35894 123056
27500 0 12 3 0 35894 123056
28000 0 12 3 0 35894 123056
28500 0 11 4 0 35894 123056
29000 0 12 3 0 35894 123056
29500 0 12 3 0 35894 123056
30000 0 13 2 0 35894 123056
30500 0 12 3 0 35894 123056
31000 0 12 3 0 35894 123056
31500 0 12 3 0 35894 123056
32000 0 13 2 0 35894 123056
32500 1 12 3 0 35894 123056
33000 0 14 1 0 35894 123056
33500 2 13 2 0 35894 123056
34000 0 11 4 0 35894 123056
34500 0 14 1 0 35894 123056
35000 0 12 3 0 35894 123056
35500 0 14 1 0 35894 123056
36000 0 14 1 0 35894 123056
36500 0 13 2 0 35894 123056
37000 0 12 3 0 35894 123056
37500 0 12 3 0 35894 123056
38000 0 13 2 0 35894 123056
38500 0 13 2 0 35894 123056
39000 0 13 2 0 35894 123056
39500 0 12 3 0 35894 123056
40000 0 13 2 0 35894 123056
40500 0 15 0 0 35894 123056
41000 0 11 4 0 35894 123056
41500 0 11 4 0 35894 123056
42000 0 11 4 0 35894 123056
42500 0 13 2 0 35894 123056
43000 0 13 2 0 35894 123056
43500 0 12 3 0 35894 123056
44000 0 14 1 0 35894 123056
44500 0 12 3 0 35894 123056
45000 0 13 2 0 35894 123056
45500 0 12 3 0 35894 123056
46000 0 12 3 0 35894 123056
46500 0 14 1 0 35894 123056
47000 0 11 4 0 35894 123056
47500 0 13 2 0 35894 123056
48000 0 11 4 0 35894 123056
48500 0 14 1 0 35894 123056
49000 0 13 2 0 35894 123056
49500 0 13 2 0 35894 123056
50000 0 12 3 0 35894 123056
50500 1 13 2 0 35894 123056
51000 0 11 4 0 35894 123056
51500 0 11 4 0 35894 123056
