time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 8 4 0 0 2
180 0 9 3 0 0 3
240 0 9 3 0 0 3
300 0 12 0 0 0 6
360 0 11 1 0 0 5
420 0 11 1 0 0 5
480 0 11 1 0 0 5
540 0 10 2 0 0 4
600 0 11 1 0 0 5
660 0 11 1 0 0 5
720 0 11 1 0 0 5
780 0 9 3 0 0 3
840 0 11 1 0 0 5
900 0 11 1 0 0 5
960 0 10 2 0 0 4
1020 0 9 3 0 0 3
1080 0 10 2 0 0 4
1140 0 9 3 0 0 3
1200 0 11 1 0 0 5
1260 0 11 1 0 0 5
1320 0 11 1 0 0 5
1380 0 10 2 0 0 4
1440 0 11 1 0 0 5
1500 0 11 1 0 0 5
1560 0 9 3 0 0 3
1620 0 11 1 0 0 5
1680 0 11 1 0 0 5
1740 0 10 2 0 0 4
1800 0 11 1 0 0 5
1860 0 10 2 0 0 4
1920 0 12 0 0 0 6
1980 0 9 3 0 0 3
2040 0 11 1 0 0 5
2100 0 10 2 0 0 4
2160 0 10 2 0 0 4
2220 0 11 1 0 0 5
2280 0 11 1 0 0 5
2340 0 9 3 0 0 3
2400 0 12 0 0 0 6
2460 0 11 1 0 0 5
2520 0 11 1 0 0 5
2580 0 9 3 0 0 3
2640 0 10 2 0 0 4
2700 0 11 1 0 0 5
2760 0 11 1 0 0 5
2820 0 10 2 0 0 4
2880 0 9 3 0 0 3
2940 0 11 1 0 0 5
3000 0 11 1 0 0 5
3060 0 11 1 0 0 5
3120 0 10 2 0 0 4
3180 0 10 2 0 0 4
3240 0 10 2 0 0 4
3300 0 11 1 0 1 4
3360 0 11 1 0 0 5
3420 0 9 3 0 1 2
3480 0 10 2 0 0 4
3540 0 11 1 0 1 4
3600 0 9 3 0 0 3
3660 0 10 2 0 1 3
3720 0 11 1 0 0 5
3780 0 12 0 0 0 6
3840 0 12 0 0 0 6
3900 0 11 1 0 0 5
3960 0 10 2 0 0 4
4020 0 9 3 0 0 3
4080 0 11 1 0 0 5
4140 0 11 1 0 0 5
4200 0 11 1 0 0 5
4260 0 11 1 0 1 4
