time CaMKII* CaMKII6 CaMKII7 PP1
120 0 10 0.0 0
180 0 10 0.0 0
240 0 10 0.0 0
300 0 10 0.0 0
360 0 10 0.0 0
420 0 10 0.0 0
480 0 10 0.0 0
540 0 10 0.0 0
600 0 10 0.0 0
660 0 10 0.0 0
720 0 10 0.0 0
780 0 10 0.0 0
840 0 10 0.0 0
900 0 10 0.0 0
960 0 10 0.0 0
1020 0 10 0.0 0
1080 0 10 0.0 0
1140 0 10 0.0 0
1200 0 10 0.0 0
1260 0 10 0.0 0
1320 0 10 0.0 0
1380 0 10 0.0 0
1440 0 10 0.0 0
1500 0 10 0.0 0
1560 0 10 0.0 0
1620 0 10 0.0 0
1680 0 10 0.0 0
1740 0 10 0.0 0
1800 0 10 0.0 0
1860 1 10 0.0 0
1920 2 10 0.0 0
1980 2 10 0.0 0
2040 2 10 0.0 0
2100 2 10 0.0 0
2160 1 10 0.0 0
2220 2 10 0.0 0
2280 2 10 0.0 0
2340 2 10 0.0 0
2400 2 10 0.0 0
2460 2 10 0.0 0
2520 2 10 0.0 0
2580 2 10 0.0 0
2640 2 10 0.0 0
2700 2 10 0.0 0
2760 2 10 0.0 0
2820 2 10 0.0 0
2880 2 10 0.0 0
2940 2 10 0.0 0
3000 2 10 0.0 0
3060 2 10 0.0 0
3120 2 10 0.0 0
3180 2 10 0.0 0
3240 2 10 0.0 0
3300 2 10 0.0 0
3360 3 10 0.0 0
3420 3 10 0.0 0
3480 1 10 0.0 0
3540 1 10 0.0 0
3600 1 10 0.0 0
3660 1 10 0.0 0
3720 1 10 0.0 0
3780 1 10 0.0 0
3840 2 10 0.0 0
3900 2 10 0.0 0
3960 2 10 0.0 0
4020 1 10 0.0 0
4080 1 10 0.0 0
4140 1 10 0.0 0
4200 1 10 0.0 0
4260 1 10 0.0 0
4320 1 10 0.0 0
4380 1 10 0.0 0
4440 1 10 0.0 0
4500 1 10 0.0 0
4560 1 10 0.0 0
4620 1 10 0.0 0
4680 1 10 0.0 0
4740 1 10 0.0 0
4800 1 10 0.0 0
4860 1 10 0.0 0
4920 2 10 0.0 0
4980 1 10 0.0 0
5040 2 10 0.0 0
5100 2 10 0.0 0
5160 2 10 0.0 0
5220 2 10 0.0 0
5280 2 10 0.0 0
5340 2 10 0.0 0
5400 2 10 0.0 0
5460 2 10 0.0 0
5520 1 10 0.0 0
5580 1 10 0.0 0
5640 2 10 0.0 0
5700 2 10 0.0 0
5760 2 10 0.0 0
5820 2 10 0.0 0
5880 2 10 0.0 0
5940 2 10 0.0 0
6000 2 10 0.0 0
6060 2 10 0.0 0
6120 2 10 0.0 0
6180 2 10 0.0 0
6240 2 10 0.0 0
6300 2 10 0.0 0
6360 2 10 0.0 0
6420 2 10 0.0 0
6480 2 10 0.0 0
6540 2 10 0.0 0
6600 2 10 0.0 0
6660 2 10 0.0 0
6720 2 10 0.0 0
6780 2 10 0.0 0
6840 1 10 0.0 0
6900 2 10 0.0 0
6960 2 10 0.0 0
7020 2 10 0.0 0
7080 2 10 0.0 0
7140 2 10 0.0 0
7200 2 10 0.0 0
7260 2 10 0.0 0
7320 2 10 0.0 0
7380 2 10 0.0 0
7440 2 10 0.0 0
7500 2 10 0.0 0
7560 2 10 0.0 0
7620 2 10 0.0 0
7680 2 10 0.0 0
7740 2 10 0.0 0
7800 2 10 0.0 0
7860 2 10 0.0 0
7920 2 10 0.0 0
7980 2 10 0.0 0
8040 2 10 0.0 0
8100 2 10 0.0 0
8160 2 10 0.0 0
8220 3 10 0.0 0
8280 3 10 0.0 0
8340 3 10 0.0 0
8400 3 10 0.0 0
8460 3 10 0.0 0
8520 3 10 0.0 0
8580 3 10 0.0 0
8640 3 10 0.0 0
8700 3 10 0.0 0
8760 2 10 0.0 0
8820 2 10 0.0 0
8880 2 10 0.0 0
8940 2 10 0.0 0
9000 2 10 0.0 0
9060 2 10 0.0 0
9120 2 10 0.0 0
9180 1 10 0.0 0
9240 1 10 0.0 0
9300 2 10 0.0 0
9360 2 10 0.0 0
9420 2 10 0.0 0
9480 2 10 0.0 0
9540 2 10 0.0 0
9600 2 10 0.0 0
9660 2 10 0.0 0
9720 2 10 0.0 0
9780 2 10 0.0 0
9840 2 10 0.0 0
9900 2 10 0.0 0
9960 2 10 0.0 0
10020 2 10 0.0 0
10080 2 10 0.0 0
10140 2 10 0.0 0
10200 2 10 0.0 0
10260 1 10 0.0 0
10320 1 10 0.0 0
10380 1 10 0.0 0
10440 1 10 0.0 0
10500 1 10 0.0 0
10560 1 10 0.0 0
10620 1 10 0.0 0
10680 1 10 0.0 0
10740 1 10 0.0 0
10800 1 10 0.0 0
10860 1 10 0.0 0
10920 1 10 0.0 0
10980 0 10 0.0 0
11040 1 10 0.0 0
11100 1 10 0.0 0
11160 1 10 0.0 0
11220 1 10 0.0 0
11280 1 10 0.0 0
11340 1 10 0.0 0
11400 1 10 0.0 0
11460 1 10 0.0 0
11520 1 10 0.0 0
11580 1 10 0.0 0
11640 1 10 0.0 0
11700 1 10 0.0 0
11760 1 10 0.0 0
11820 0 10 0.0 0
11880 0 10 0.0 0
11940 1 10 0.0 0
12000 1 10 0.0 0
12060 1 10 0.0 0
12120 1 10 0.0 0
12180 1 10 0.0 0
12240 0 10 0.0 0
12300 0 10 0.0 0
12360 0 10 0.0 0
12420 1 10 0.0 0
12480 1 10 0.0 0
12540 1 10 0.0 0
12600 1 10 0.0 0
12660 1 10 0.0 0
12720 0 10 0.0 0
12780 0 10 0.0 0
12840 0 10 0.0 0
12900 0 10 0.0 0
12960 0 10 0.0 0
13020 0 10 0.0 0
13080 0 10 0.0 0
13140 0 10 0.0 0
13200 0 10 0.0 0
13260 0 10 0.0 0
13320 0 10 0.0 0
13380 0 10 0.0 0
13440 0 10 0.0 0
13500 0 10 0.0 0
13560 0 10 0.0 0
13620 0 10 0.0 0
13680 0 10 0.0 0
13740 0 10 0.0 0
13800 0 10 0.0 0
13860 0 10 0.0 0
13920 0 10 0.0 0
13980 0 10 0.0 0
14040 0 10 0.0 0
14100 0 10 0.0 0
14160 0 10 0.0 0
14220 1 10 0.0 0
14280 1 10 0.0 0
14340 1 10 0.0 0
14400 3 10 0.0 0
14460 2 10 0.0 0
14520 2 10 0.0 0
14580 2 10 0.0 0
14640 2 10 0.0 0
14700 2 10 0.0 0
14760 2 10 0.0 0
14820 2 10 0.0 0
14880 2 10 0.0 0
14940 0 10 0.0 0
15000 0 10 0.0 0
15060 1 10 0.0 0
15120 2 10 0.0 0
15180 3 10 0.0 0
15240 2 10 0.0 0
15300 2 10 0.0 0
15360 2 10 0.0 0
15420 2 10 0.0 0
15480 2 10 0.0 0
15540 2 10 0.0 0
15600 2 10 0.0 0
15660 2 10 0.0 0
15720 2 10 0.0 0
15780 1 10 0.0 0
15840 1 10 0.0 0
15900 1 10 0.0 0
15960 1 10 0.0 0
16020 1 10 0.0 0
16080 1 10 0.0 0
16140 1 10 0.0 0
16200 1 10 0.0 0
16260 1 10 0.0 0
16320 1 10 0.0 0
16380 1 10 0.0 0
16440 1 10 0.0 0
16500 1 10 0.0 0
16560 1 10 0.0 1
16620 0 10 0.0 0
16680 0 10 0.0 0
16740 0 10 0.0 0
16800 0 10 0.0 0
16860 0 10 0.0 0
16920 0 10 0.0 0
16980 0 10 0.0 0
17040 0 10 0.0 0
17100 1 10 0.0 0
17160 1 10 0.0 0
17220 1 10 0.0 0
17280 1 10 0.0 0
17340 1 10 0.0 0
17400 1 10 0.0 0
17460 1 10 0.0 0
17520 1 10 0.0 0
17580 1 10 0.0 0
17640 1 10 0.0 0
17700 1 10 0.0 0
17760 1 10 0.0 0
17820 1 10 0.0 0
17880 1 10 0.0 0
17940 1 10 0.0 0
18000 1 10 0.0 0
18060 1 10 0.0 0
18120 1 10 0.0 0
18180 1 10 0.0 0
18240 1 10 0.0 0
18300 2 10 0.0 0
18360 2 10 0.0 0
18420 2 10 0.0 0
18480 3 10 0.0 0
18540 2 10 0.0 0
18600 2 10 0.0 0
18660 2 10 0.0 0
18720 2 10 0.0 0
18780 1 10 0.0 0
18840 2 10 0.0 0
18900 1 10 0.0 0
18960 1 10 0.0 0
19020 1 10 0.0 0
19080 0 10 0.0 0
19140 0 10 0.0 0
19200 0 10 0.0 0
19260 0 10 0.0 0
19320 0 10 0.0 0
19380 1 10 0.0 0
19440 1 10 0.0 0
19500 1 10 0.0 0
19560 1 10 0.0 0
19620 1 10 0.0 0
19680 1 10 0.0 0
19740 1 10 0.0 0
19800 1 10 0.0 0
19860 1 10 0.0 0
19920 1 10 0.0 0
19980 1 10 0.0 0
20040 1 10 0.0 0
20100 1 10 0.0 0
20160 2 10 0.0 0
20220 2 10 0.0 0
20280 2 10 0.0 0
20340 2 10 0.0 0
20400 2 10 0.0 0
20460 2 10 0.0 0
20520 2 10 0.0 0
20580 2 10 0.0 0
20640 2 10 0.0 0
20700 2 10 0.0 0
20760 2 10 0.0 0
20820 2 10 0.0 0
20880 2 10 0.0 0
20940 2 10 0.0 0
21000 2 10 0.0 0
21060 2 10 0.0 0
21120 2 10 0.0 0
21180 2 10 0.0 0
21240 2 10 0.0 0
21300 2 10 0.0 1
21360 1 10 0.0 0
21420 1 10 0.0 0
21480 1 10 0.0 0
21540 1 10 0.0 0
21600 1 10 0.0 0
21660 1 10 0.0 0
21720 1 10 0.0 0
21780 1 10 0.0 0
21840 1 10 0.0 0
21900 1 10 0.0 0
21960 1 10 0.0 0
22020 1 10 0.0 0
22080 1 10 0.0 0
22140 1 10 0.0 0
22200 1 10 0.0 0
22260 0 10 0.0 0
22320 0 10 0.0 0
22380 0 10 0.0 0
22440 0 10 0.0 0
22500 0 10 0.0 0
22560 0 10 0.0 0
22620 0 10 0.0 0
22680 0 10 0.0 0
22740 0 10 0.0 0
22800 0 10 0.0 0
22860 0 10 0.0 0
22920 0 10 0.0 0
22980 0 10 0.0 0
23040 0 10 0.0 0
23100 0 10 0.0 0
23160 0 10 0.0 0
23220 0 10 0.0 0
23280 0 10 0.0 0
23340 0 10 0.0 0
23400 0 10 0.0 0
23460 0 10 0.0 0
23520 0 10 0.0 0
23580 0 10 0.0 0
23640 0 10 0.0 0
23700 0 10 0.0 0
23760 0 10 0.0 0
23820 0 10 0.0 0
23880 0 10 0.0 0
23940 0 10 0.0 0
24000 1 10 0.0 0
24060 0 10 0.0 0
24120 0 10 0.0 0
24180 0 10 0.0 0
24240 0 10 0.0 0
24300 0 10 0.0 0
24360 0 10 0.0 0
24420 0 10 0.0 0
24480 0 10 0.0 0
24540 0 10 0.0 0
24600 0 10 0.0 0
24660 0 10 0.0 0
24720 0 10 0.0 0
24780 0 10 0.0 0
24840 0 10 0.0 0
24900 1 10 0.0 0
24960 1 10 0.0 0
25020 1 10 0.0 0
25080 1 10 0.0 0
25140 1 10 0.0 0
25200 1 10 0.0 0
25260 1 10 0.0 0
25320 1 10 0.0 0
25380 1 10 0.0 0
25440 1 10 0.0 0
25500 1 10 0.0 0
25560 1 10 0.0 0
25620 1 10 0.0 0
25680 1 10 0.0 0
25740 1 10 0.0 0
25800 1 10 0.0 0
25860 1 10 0.0 0
25920 1 10 0.0 0
25980 1 10 0.0 0
26040 1 10 0.0 0
26100 1 10 0.0 0
26160 1 10 0.0 0
26220 0 10 0.0 0
26280 0 10 0.0 0
26340 0 10 0.0 0
26400 0 10 0.0 0
26460 0 10 0.0 0
26520 0 10 0.0 0
26580 0 10 0.0 0
26640 0 10 0.0 0
26700 0 10 0.0 0
26760 0 10 0.0 0
26820 1 10 0.0 0
26880 1 10 0.0 0
26940 2 10 0.0 0
27000 2 10 0.0 0
27060 3 10 0.0 0
27120 4 10 0.0 0
27180 3 10 0.0 0
27240 3 10 0.0 0
27300 2 10 0.0 0
27360 2 10 0.0 0
27420 4 10 0.0 0
27480 4 10 0.0 0
27540 4 10 0.0 0
27600 4 10 0.0 0
27660 4 10 0.0 0
27720 4 10 0.0 0
27780 4 10 0.0 0
27840 4 10 0.0 0
27900 4 10 0.0 0
27960 4 10 0.0 0
28020 4 10 0.0 0
28080 4 10 0.0 0
28140 4 10 0.0 0
28200 4 10 0.0 0
28260 3 10 0.0 0
28320 3 10 0.0 0
28380 3 10 0.0 0
28440 3 10 0.0 0
28500 4 10 0.0 0
28560 4 10 0.0 0
28620 4 10 0.0 0
28680 4 10 0.0 0
28740 4 10 0.0 0
28800 4 10 0.0 0
28860 4 10 0.0 0
28920 3 10 0.0 0
28980 3 10 0.0 0
29040 3 10 0.0 0
29100 3 10 0.0 0
29160 3 10 0.0 0
29220 3 10 0.0 0
29280 2 10 0.0 0
29340 2 10 0.0 0
29400 2 10 0.0 0
29460 2 10 0.0 0
29520 2 10 0.0 0
29580 1 10 0.0 0
29640 1 10 0.0 0
29700 1 10 0.0 0
29760 1 10 0.0 0
29820 1 10 0.0 0
29880 1 10 0.0 0
29940 1 10 0.0 0
30000 1 10 0.0 0
30060 1 10 0.0 0
30120 1 10 0.0 0
30180 1 10 0.0 0
30240 1 10 0.0 0
30300 1 10 0.0 0
30360 1 10 0.0 0
30420 1 10 0.0 0
30480 0 10 0.0 0
30540 0 10 0.0 0
30600 0 10 0.0 0
30660 0 10 0.0 0
30720 0 10 0.0 0
30780 0 10 0.0 0
30840 0 10 0.0 0
30900 0 10 0.0 0
30960 0 10 0.0 0
31020 0 10 0.0 0
31080 0 10 0.0 0
31140 0 10 0.0 0
31200 0 10 0.0 0
31260 0 10 0.0 0
31320 0 10 0.0 0
31380 0 10 0.0 0
31440 0 10 0.0 0
31500 0 10 0.0 0
31560 0 10 0.0 0
31620 0 10 0.0 0
31680 0 10 0.0 0
31740 0 10 0.0 0
31800 0 10 0.0 0
31860 0 10 0.0 0
31920 0 10 0.0 0
31980 0 10 0.0 0
32040 0 10 0.0 0
32100 0 10 0.0 0
32160 1 10 0.0 0
32220 1 10 0.0 0
32280 1 10 0.0 0
32340 2 10 0.0 0
32400 2 10 0.0 0
32460 2 10 0.0 0
32520 1 10 0.0 0
32580 0 10 0.0 1
32640 0 10 0.0 0
32700 0 10 0.0 0
32760 0 10 0.0 0
32820 0 10 0.0 0
32880 0 10 0.0 0
32940 0 10 0.0 0
33000 0 10 0.0 0
33060 0 10 0.0 0
33120 0 10 0.0 0
33180 0 10 0.0 0
33240 0 10 0.0 0
33300 0 10 0.0 0
33360 0 10 0.0 0
33420 0 10 0.0 0
33480 0 10 0.0 0
33540 0 10 0.0 0
33600 0 10 0.0 0
33660 0 10 0.0 0
33720 0 10 0.0 0
33780 0 10 0.0 0
33840 0 10 0.0 0
33900 1 10 0.0 0
33960 1 10 0.0 0
34020 1 10 0.0 0
34080 1 10 0.0 0
34140 1 10 0.0 0
34200 1 10 0.0 0
34260 1 10 0.0 0
34320 1 10 0.0 0
34380 1 10 0.0 0
34440 1 10 0.0 0
34500 2 10 0.0 0
34560 2 10 0.0 0
34620 2 10 0.0 0
34680 1 10 0.0 0
34740 2 10 0.0 0
34800 2 10 0.0 0
34860 2 10 0.0 0
34920 0 10 0.0 0
34980 0 10 0.0 0
35040 0 10 0.0 0
35100 0 10 0.0 0
35160 0 10 0.0 0
35220 0 10 0.0 0
35280 0 10 0.0 0
35340 0 10 0.0 0
35400 0 10 0.0 0
35460 0 10 0.0 0
35520 0 10 0.0 0
35580 0 10 0.0 0
35640 0 10 0.0 0
35700 0 10 0.0 0
35760 0 10 0.0 0
35820 0 10 0.0 0
35880 0 10 0.0 0
35940 0 10 0.0 0
36000 0 10 0.0 0
36060 0 10 0.0 0
36120 0 10 0.0 0
36180 0 10 0.0 0
36240 0 10 0.0 0
36300 0 10 0.0 0
36360 0 10 0.0 0
36420 0 10 0.0 0
36480 0 10 0.0 0
36540 0 10 0.0 0
36600 0 10 0.0 0
36660 0 10 0.0 0
36720 0 10 0.0 0
