time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 8 2 0 65381 100700
180 0 8 2 0 65381 100700
240 0 9 1 0 65381 100700
300 0 9 1 0 65381 100700
360 0 8 2 0 65381 100700
420 0 9 1 0 65381 100700
480 0 10 0 0 65381 100700
540 0 8 2 0 65381 100700
600 0 7 3 0 65381 100700
660 0 8 2 0 65381 100700
720 0 9 1 0 65381 100700
780 1 9 1 0 65381 100700
840 1 10 0 0 65381 100700
900 2 8 2 0 65381 100700
960 0 8 2 0 65381 100700
1020 0 10 0 0 65381 100700
1080 1 9 1 0 65381 100700
1140 1 8 2 0 65381 100700
1200 2 9 1 0 65381 100700
1260 1 6 4 0 65381 100700
1320 1 9 1 0 65381 100700
1380 2 9 1 0 65381 100700
1440 3 9 1 0 65381 100700
1500 2 8 2 0 65381 100700
1560 0 9 1 0 65381 100700
1620 0 9 1 0 65381 100700
1680 0 9 1 0 65381 100700
1740 0 8 2 0 65381 100700
1800 0 7 3 0 65381 100700
1860 0 8 2 0 65381 100700
1920 0 8 2 0 65381 100700
1980 1 6 4 0 65381 100700
2040 0 9 1 0 65381 100700
2100 1 10 0 0 65381 100700
2160 1 7 3 0 65381 100700
2220 0 9 1 0 65381 100700
2280 1 9 1 0 65381 100700
2340 2 10 0 0 65381 100700
2400 2 8 2 0 65381 100700
2460 2 9 1 0 65381 100700
2520 3 7 3 0 65381 100700
2580 2 10 0 0 65381 100700
2640 3 10 0 0 65381 100700
2700 3 9 1 0 65381 100700
2760 4 9 1 0 65381 100700
2820 4 9 1 0 65381 100700
2880 5 9 1 0 65381 100700
2940 3 10 0 0 65381 100700
3000 3 9 1 0 65381 100700
3060 4 8 2 0 65381 100700
3120 5 10 0 0 65381 100700
3180 3 9 1 0 65381 100700
3240 4 8 2 0 65381 100700
3300 4 6 4 0 65381 100700
3360 4 7 3 0 65381 100700
3420 2 9 1 0 65381 100700
3480 0 8 2 0 65381 100700
3540 0 8 2 0 65381 100700
3600 0 10 0 0 65381 100700
3660 0 8 2 0 65381 100700
3720 0 8 2 0 65381 100700
