time CaMKII* CaMKII6 CaMKII7 PP1
120 0 10 0.0 0
180 0 10 0.0 0
240 0 10 0.0 0
300 0 10 0.0 0
360 0 10 0.0 0
420 0 10 0.0 0
480 2 10 0.0 0
540 2 10 0.0 0
600 2 10 0.0 0
660 4 10 0.0 0
720 4 10 0.0 0
780 4 10 0.0 0
840 4 10 0.0 0
900 4 10 0.0 0
960 4 10 0.0 0
1020 4 10 0.0 0
1080 4 10 0.0 0
1140 2 10 0.0 0
1200 2 10 0.0 0
1260 2 10 0.0 0
1320 2 10 0.0 0
1380 3 10 0.0 0
1440 3 10 0.0 0
1500 4 10 0.0 0
1560 4 10 0.0 0
1620 4 10 0.0 0
1680 4 10 0.0 0
1740 4 10 0.0 0
1800 5 10 0.0 0
1860 4 10 0.0 0
1920 4 10 0.0 0
1980 4 10 0.0 0
2040 4 10 0.0 0
2100 4 10 0.0 0
2160 4 10 0.0 0
2220 4 10 0.0 0
2280 4 10 0.0 0
2340 4 10 0.0 0
2400 4 10 0.0 0
2460 4 10 0.0 0
2520 4 10 0.0 0
2580 4 10 0.0 0
2640 4 10 0.0 0
2700 4 10 0.0 0
2760 4 10 0.0 0
2820 4 10 0.0 0
2880 4 10 0.0 0
2940 4 10 0.0 0
3000 4 10 0.0 0
3060 4 10 0.0 0
3120 4 10 0.0 0
3180 4 10 0.0 0
3240 4 10 0.0 0
3300 4 10 0.0 0
3360 4 10 0.0 0
3420 4 10 0.0 0
3480 4 10 0.0 0
3540 5 10 0.0 0
3600 5 10 0.0 0
3660 5 10 0.0 0
3720 5 10 0.0 0
3780 5 10 0.0 0
3840 5 10 0.0 0
3900 5 10 0.0 0
3960 5 10 0.0 0
4020 5 10 0.0 0
4080 5 10 0.0 0
4140 5 10 0.0 0
4200 5 10 0.0 0
4260 3 10 0.0 0
4320 4 10 0.0 0
4380 4 10 0.0 0
4440 4 10 0.0 0
4500 4 10 0.0 0
4560 4 10 0.0 0
4620 4 10 0.0 0
4680 4 10 0.0 0
4740 4 10 0.0 0
4800 4 10 0.0 0
4860 4 10 0.0 0
4920 4 10 0.0 0
4980 4 10 0.0 0
5040 4 10 0.0 0
5100 4 10 0.0 0
5160 4 10 0.0 0
5220 4 10 0.0 0
5280 4 10 0.0 0
5340 4 10 0.0 0
5400 4 10 0.0 0
5460 4 10 0.0 0
5520 4 10 0.0 0
5580 4 10 0.0 0
5640 4 10 0.0 0
5700 4 10 0.0 0
5760 4 10 0.0 0
5820 4 10 0.0 0
5880 4 10 0.0 0
5940 4 10 0.0 0
6000 4 10 0.0 0
6060 4 10 0.0 0
6120 4 10 0.0 0
6180 4 10 0.0 0
6240 4 10 0.0 0
6300 4 10 0.0 0
6360 4 10 0.0 0
6420 4 10 0.0 0
6480 4 10 0.0 0
6540 4 10 0.0 0
6600 4 10 0.0 0
6660 4 10 0.0 0
6720 4 10 0.0 0
6780 4 10 0.0 0
6840 4 10 0.0 0
6900 4 10 0.0 0
6960 5 10 0.0 0
7020 5 10 0.0 0
7080 5 10 0.0 0
7140 5 10 0.0 0
7200 5 10 0.0 0
7260 4 10 0.0 0
7320 5 10 0.0 0
7380 5 10 0.0 0
7440 5 10 0.0 0
7500 5 10 0.0 0
7560 6 10 0.0 0
7620 6 10 0.0 0
7680 6 10 0.0 0
7740 6 10 0.0 0
7800 6 10 0.0 0
7860 5 10 0.0 0
7920 5 10 0.0 0
7980 5 10 0.0 0
8040 5 10 0.0 0
8100 5 10 0.0 0
8160 5 10 0.0 0
8220 5 10 0.0 0
8280 5 10 0.0 0
8340 5 10 0.0 0
8400 5 10 0.0 0
8460 5 10 0.0 0
8520 5 10 0.0 0
8580 5 10 0.0 0
8640 5 10 0.0 0
8700 5 10 0.0 0
8760 5 10 0.0 0
8820 5 10 0.0 0
8880 5 10 0.0 0
8940 5 10 0.0 0
9000 5 10 0.0 0
9060 5 10 0.0 0
9120 5 10 0.0 0
9180 5 10 0.0 0
9240 5 10 0.0 0
9300 5 10 0.0 0
9360 5 10 0.0 0
9420 5 10 0.0 0
9480 5 10 0.0 0
9540 5 10 0.0 0
9600 5 10 0.0 0
9660 5 10 0.0 0
9720 5 10 0.0 0
9780 5 10 0.0 0
9840 5 10 0.0 0
9900 5 10 0.0 0
9960 5 10 0.0 0
10020 5 10 0.0 0
10080 5 10 0.0 0
10140 5 10 0.0 0
10200 5 10 0.0 0
10260 5 10 0.0 0
10320 5 10 0.0 0
10380 5 10 0.0 0
10440 5 10 0.0 0
10500 5 10 0.0 0
10560 5 10 0.0 0
10620 5 10 0.0 0
10680 5 10 0.0 0
10740 5 10 0.0 0
10800 5 10 0.0 0
10860 5 10 0.0 0
10920 5 10 0.0 0
10980 5 10 0.0 0
11040 4 10 0.0 0
11100 4 10 0.0 0
11160 5 10 0.0 0
11220 5 10 0.0 0
11280 5 10 0.0 0
11340 5 10 0.0 0
11400 5 10 0.0 0
11460 6 10 0.0 0
11520 6 10 0.0 0
11580 6 10 0.0 0
11640 6 10 0.0 0
11700 7 10 0.0 0
11760 6 10 0.0 0
11820 7 10 0.0 0
11880 7 10 0.0 0
11940 7 10 0.0 0
12000 7 10 0.0 0
12060 8 10 0.0 0
12120 8 10 0.0 0
12180 8 10 0.0 0
12240 8 10 0.0 0
12300 8 10 0.0 0
12360 8 10 0.0 0
12420 8 10 0.0 0
12480 8 10 0.0 0
12540 8 10 0.0 0
12600 8 10 0.0 0
12660 8 10 0.0 0
12720 8 10 0.0 0
12780 8 10 0.0 0
12840 8 10 0.0 0
12900 8 10 0.0 0
12960 8 10 0.0 0
13020 8 10 0.0 0
13080 8 10 0.0 0
13140 8 10 0.0 0
13200 8 10 0.0 0
13260 8 10 0.0 0
13320 8 10 0.0 0
13380 8 10 0.0 0
13440 7 10 0.0 0
13500 8 10 0.0 0
13560 8 10 0.0 0
13620 8 10 0.0 0
13680 8 10 0.0 0
13740 8 10 0.0 0
13800 8 10 0.0 0
13860 8 10 0.0 0
13920 8 10 0.0 0
13980 8 10 0.0 0
14040 8 10 0.0 0
14100 8 10 0.0 0
14160 8 10 0.0 0
14220 8 10 0.0 0
14280 8 10 0.0 0
14340 8 10 0.0 0
14400 8 10 0.0 0
14460 8 10 0.0 0
14520 8 10 0.0 0
14580 8 10 0.0 0
14640 8 10 0.0 0
14700 7 10 0.0 0
14760 7 10 0.0 0
14820 7 10 0.0 0
14880 8 10 0.0 0
14940 8 10 0.0 0
15000 8 10 0.0 0
15060 8 10 0.0 0
15120 8 10 0.0 0
15180 8 10 0.0 0
15240 8 10 0.0 0
15300 8 10 0.0 0
15360 8 10 0.0 0
15420 8 10 0.0 0
15480 8 10 0.0 0
15540 8 10 0.0 0
15600 7 10 0.0 0
15660 8 10 0.0 0
15720 8 10 0.0 0
15780 8 10 0.0 0
15840 8 10 0.0 0
15900 8 10 0.0 0
15960 7 10 0.0 0
16020 7 10 0.0 0
16080 8 10 0.0 0
16140 8 10 0.0 0
16200 8 10 0.0 0
16260 8 10 0.0 0
16320 7 10 0.0 0
16380 7 10 0.0 0
16440 7 10 0.0 0
16500 7 10 0.0 0
16560 7 10 0.0 0
16620 7 10 0.0 0
16680 7 10 0.0 0
16740 7 10 0.0 0
16800 7 10 0.0 0
16860 7 10 0.0 0
16920 7 10 0.0 0
16980 7 10 0.0 0
17040 7 10 0.0 0
17100 7 10 0.0 0
17160 7 10 0.0 0
17220 7 10 0.0 0
17280 7 10 0.0 0
17340 7 10 0.0 0
17400 7 10 0.0 0
17460 7 10 0.0 0
17520 8 10 0.0 0
17580 8 10 0.0 0
17640 8 10 0.0 0
17700 8 10 0.0 0
17760 8 10 0.0 0
17820 8 10 0.0 0
17880 8 10 0.0 0
17940 8 10 0.0 0
18000 8 10 0.0 0
18060 9 10 0.0 0
18120 9 10 0.0 0
18180 9 10 0.0 0
18240 9 10 0.0 0
18300 9 10 0.0 0
18360 9 10 0.0 0
18420 9 10 0.0 0
18480 9 10 0.0 0
18540 9 10 0.0 0
18600 9 10 0.0 0
18660 9 10 0.0 0
18720 9 10 0.0 0
18780 9 10 0.0 0
18840 9 10 0.0 0
18900 9 10 0.0 0
18960 9 10 0.0 0
19020 9 10 0.0 0
19080 9 10 0.0 0
19140 9 10 0.0 0
19200 9 10 0.0 0
19260 9 10 0.0 0
19320 9 10 0.0 0
19380 9 10 0.0 0
19440 9 10 0.0 0
19500 9 10 0.0 0
19560 9 10 0.0 0
19620 9 10 0.0 0
19680 9 10 0.0 0
19740 9 10 0.0 0
19800 9 10 0.0 0
19860 9 10 0.0 0
19920 9 10 0.0 0
19980 9 10 0.0 0
20040 9 10 0.0 0
20100 9 10 0.0 0
20160 9 10 0.0 0
20220 9 10 0.0 0
20280 9 10 0.0 0
20340 9 10 0.0 0
20400 9 10 0.0 0
20460 8 10 0.0 0
20520 8 10 0.0 0
20580 9 10 0.0 0
20640 9 10 0.0 0
20700 9 10 0.0 0
20760 9 10 0.0 0
20820 9 10 0.0 0
20880 9 10 0.0 0
20940 9 10 0.0 0
21000 9 10 0.0 0
21060 9 10 0.0 0
21120 9 10 0.0 0
21180 9 10 0.0 0
21240 9 10 0.0 0
21300 9 10 0.0 0
21360 9 10 0.0 0
21420 9 10 0.0 0
21480 8 10 0.0 0
21540 9 10 0.0 0
21600 8 10 0.0 0
21660 8 10 0.0 0
21720 8 10 0.0 0
21780 8 10 0.0 0
21840 8 10 0.0 0
21900 8 10 0.0 0
21960 8 10 0.0 1
22020 8 10 0.0 0
22080 8 10 0.0 0
22140 8 10 0.0 0
22200 8 10 0.0 0
22260 8 10 0.0 0
22320 8 10 0.0 0
22380 8 10 0.0 0
22440 8 10 0.0 0
22500 8 10 0.0 0
22560 8 10 0.0 0
22620 8 10 0.0 0
22680 8 10 0.0 0
22740 8 10 0.0 0
22800 8 10 0.0 0
22860 8 10 0.0 0
22920 8 10 0.0 0
22980 8 10 0.0 0
23040 8 10 0.0 0
23100 8 10 0.0 0
23160 8 10 0.0 0
23220 8 10 0.0 0
23280 8 10 0.0 0
23340 8 10 0.0 0
23400 8 10 0.0 0
23460 8 10 0.0 0
23520 8 10 0.0 0
23580 8 10 0.0 0
23640 8 10 0.0 0
23700 8 10 0.0 0
23760 8 10 0.0 0
23820 8 10 0.0 0
23880 8 10 0.0 0
23940 8 10 0.0 0
24000 8 10 0.0 0
24060 8 10 0.0 0
24120 8 10 0.0 0
24180 8 10 0.0 0
24240 8 10 0.0 0
24300 8 10 0.0 0
24360 8 10 0.0 0
24420 7 10 0.0 0
24480 8 10 0.0 0
24540 8 10 0.0 0
24600 8 10 0.0 0
24660 7 10 0.0 0
24720 8 10 0.0 0
24780 8 10 0.0 0
24840 8 10 0.0 0
24900 8 10 0.0 0
24960 8 10 0.0 0
25020 8 10 0.0 0
25080 7 10 0.0 0
25140 7 10 0.0 0
25200 6 10 0.0 0
25260 6 10 0.0 0
25320 6 10 0.0 0
25380 6 10 0.0 0
25440 6 10 0.0 0
25500 6 10 0.0 0
25560 6 10 0.0 0
25620 6 10 0.0 0
25680 7 10 0.0 0
25740 6 10 0.0 0
25800 6 10 0.0 0
25860 6 10 0.0 0
25920 7 10 0.0 0
25980 7 10 0.0 0
26040 7 10 0.0 0
26100 7 10 0.0 0
26160 6 10 0.0 0
26220 6 10 0.0 0
26280 6 10 0.0 0
26340 6 10 0.0 0
26400 6 10 0.0 0
26460 6 10 0.0 0
26520 6 10 0.0 0
26580 6 10 0.0 0
26640 4 10 0.0 0
26700 4 10 0.0 0
26760 4 10 0.0 0
26820 4 10 0.0 0
26880 6 10 0.0 0
26940 6 10 0.0 0
27000 4 10 0.0 1
27060 4 10 0.0 0
27120 4 10 0.0 0
27180 4 10 0.0 0
27240 3 10 0.0 0
27300 4 10 0.0 0
27360 4 10 0.0 0
27420 4 10 0.0 0
27480 5 10 0.0 0
27540 5 10 0.0 0
27600 2 10 0.0 0
27660 2 10 0.0 0
27720 1 10 0.0 0
27780 2 10 0.0 0
27840 1 10 0.0 0
27900 2 10 0.0 0
27960 3 10 0.0 0
28020 3 10 0.0 0
28080 3 10 0.0 0
28140 4 10 0.0 0
28200 4 10 0.0 0
28260 4 10 0.0 0
28320 5 10 0.0 0
28380 5 10 0.0 0
28440 4 10 0.0 0
28500 4 10 0.0 0
28560 4 10 0.0 0
28620 4 10 0.0 0
28680 4 10 0.0 0
28740 4 10 0.0 0
28800 5 10 0.0 0
28860 5 10 0.0 0
28920 6 10 0.0 0
28980 6 10 0.0 0
29040 6 10 0.0 0
29100 6 10 0.0 0
29160 6 10 0.0 0
29220 6 10 0.0 0
29280 6 10 0.0 0
29340 6 10 0.0 0
29400 6 10 0.0 0
29460 6 10 0.0 0
29520 6 10 0.0 0
29580 7 10 0.0 0
29640 7 10 0.0 0
29700 7 10 0.0 0
29760 7 10 0.0 0
29820 7 10 0.0 0
29880 7 10 0.0 0
29940 7 10 0.0 0
30000 7 10 0.0 0
30060 7 10 0.0 0
30120 7 10 0.0 0
30180 7 10 0.0 0
30240 7 10 0.0 0
30300 7 10 0.0 0
30360 7 10 0.0 0
30420 7 10 0.0 0
30480 7 10 0.0 0
30540 7 10 0.0 0
30600 7 10 0.0 0
30660 7 10 0.0 0
30720 7 10 0.0 1
30780 7 10 0.0 0
30840 7 10 0.0 0
30900 7 10 0.0 0
30960 7 10 0.0 0
31020 7 10 0.0 0
31080 7 10 0.0 0
31140 7 10 0.0 0
31200 7 10 0.0 0
31260 7 10 0.0 0
31320 7 10 0.0 0
31380 7 10 0.0 0
31440 7 10 0.0 0
31500 7 10 0.0 0
31560 7 10 0.0 0
31620 6 10 0.0 0
31680 6 10 0.0 0
31740 6 10 0.0 0
31800 6 10 0.0 0
31860 6 10 0.0 0
31920 6 10 0.0 0
31980 6 10 0.0 0
32040 6 10 0.0 0
32100 6 10 0.0 0
32160 6 10 0.0 0
32220 6 10 0.0 0
32280 6 10 0.0 0
32340 6 10 0.0 0
32400 6 10 0.0 0
32460 6 10 0.0 0
32520 6 10 0.0 0
32580 6 10 0.0 0
32640 6 10 0.0 0
32700 6 10 0.0 0
32760 6 10 0.0 0
32820 6 10 0.0 0
32880 6 10 0.0 0
32940 6 10 0.0 0
33000 6 10 0.0 0
33060 6 10 0.0 0
33120 6 10 0.0 0
33180 6 10 0.0 0
33240 6 10 0.0 0
33300 6 10 0.0 0
33360 6 10 0.0 0
33420 6 10 0.0 0
33480 6 10 0.0 0
33540 6 10 0.0 0
33600 6 10 0.0 0
33660 6 10 0.0 0
33720 6 10 0.0 0
33780 6 10 0.0 0
33840 6 10 0.0 0
33900 6 10 0.0 0
33960 6 10 0.0 0
34020 6 10 0.0 0
34080 6 10 0.0 0
34140 6 10 0.0 0
34200 6 10 0.0 0
34260 4 10 0.0 0
34320 6 10 0.0 0
34380 6 10 0.0 0
34440 6 10 0.0 0
34500 4 10 0.0 0
34560 4 10 0.0 0
34620 4 10 0.0 0
34680 4 10 0.0 0
34740 4 10 0.0 0
34800 4 10 0.0 0
34860 4 10 0.0 0
34920 4 10 0.0 0
34980 4 10 0.0 0
35040 4 10 0.0 0
35100 4 10 0.0 0
35160 4 10 0.0 0
35220 4 10 0.0 0
35280 4 10 0.0 0
35340 5 10 0.0 0
35400 5 10 0.0 0
35460 5 10 0.0 0
35520 5 10 0.0 0
35580 5 10 0.0 0
35640 5 10 0.0 0
35700 5 10 0.0 0
35760 5 10 0.0 0
35820 5 10 0.0 0
35880 5 10 0.0 0
35940 5 10 0.0 0
36000 5 10 0.0 0
36060 5 10 0.0 0
36120 5 10 0.0 0
36180 5 10 0.0 0
36240 5 10 0.0 0
36300 5 10 0.0 0
36360 5 10 0.0 0
36420 5 10 0.0 0
36480 5 10 0.0 0
36540 5 10 0.0 0
36600 5 10 0.0 0
36660 5 10 0.0 0
36720 5 10 0.0 0
