time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 9 1 0 93848 72093
180 0 9 1 0 93848 72093
240 0 9 1 0 93848 72093
300 0 8 2 0 93848 72093
360 0 10 0 0 93848 72093
420 0 8 2 0 93848 72093
480 0 9 1 0 93848 72093
540 0 9 1 0 93848 72093
600 0 8 2 0 93848 72093
660 0 9 1 0 93848 72093
720 0 8 2 0 93848 72093
780 0 8 2 0 93848 72093
840 0 9 1 0 93848 72093
900 0 10 0 0 93848 72093
960 0 9 1 0 93848 72093
1020 0 8 2 0 93848 72093
1080 0 9 1 0 93848 72093
1140 0 10 0 0 93848 72093
1200 0 7 3 0 93848 72093
1260 0 8 2 0 93848 72093
1320 0 8 2 0 93848 72093
1380 0 10 0 0 93848 72093
1440 0 8 2 0 93848 72093
1500 0 8 2 0 93848 72093
1560 0 10 0 0 93848 72093
1620 0 8 2 0 93848 72093
1680 0 9 1 0 93848 72093
1740 0 9 1 0 93848 72093
1800 0 9 1 0 93848 72093
1860 0 8 2 0 93848 72093
1920 0 9 1 0 93848 72093
1980 0 9 1 0 93848 72093
2040 0 8 2 0 93848 72093
2100 0 9 1 0 93848 72093
2160 0 8 2 0 93848 72093
2220 0 9 1 0 93848 72093
2280 0 8 2 0 93848 72093
2340 0 8 2 0 93848 72093
2400 0 8 2 0 93848 72093
2460 0 7 3 0 93848 72093
2520 1 10 0 0 93848 72093
2580 1 9 1 0 93848 72093
2640 0 9 1 0 93848 72093
2700 1 9 1 0 93848 72093
2760 0 8 2 0 93848 72093
2820 3 10 0 0 93848 72093
2880 2 10 0 0 93848 72093
2940 2 9 1 0 93848 72093
3000 3 10 0 0 93848 72093
3060 2 9 1 0 93848 72093
3120 3 10 0 0 93848 72093
3180 4 9 1 0 93848 72093
3240 4 10 0 0 93848 72093
3300 5 8 2 0 93848 72093
3360 6 8 2 0 93848 72093
3420 6 8 2 0 93848 72093
3480 6 9 1 0 93848 72093
3540 6 8 2 0 93848 72093
3600 6 8 2 0 93848 72093
3660 6 10 0 0 93848 72093
3720 6 10 0 0 93848 72093
3780 6 9 1 0 93848 72093
3840 7 9 1 0 93848 72093
3900 7 10 0 0 93848 72093
3960 7 9 1 0 93848 72093
4020 8 10 0 0 93848 72093
4080 8 10 0 0 93848 72093
4140 9 10 0 0 93848 72093
4200 9 9 1 0 93848 72093
4260 9 10 0 0 93848 72093
4320 8 8 2 0 93848 72093
4380 8 9 1 0 93848 72093
4440 7 9 1 0 93848 72093
4500 8 9 1 0 93848 72093
4560 8 9 1 0 93848 72093
4620 8 9 1 0 93848 72093
4680 8 9 1 0 93848 72093
4740 8 8 2 0 93848 72093
4800 8 8 2 0 93848 72093
4860 9 8 2 0 93848 72093
4920 10 10 0 0 93848 72093
4980 10 9 1 0 93848 72093
5040 10 10 0 0 93848 72093
5100 10 8 2 0 93848 72093
5160 10 9 1 0 93848 72093
5220 10 9 1 0 93848 72093
5280 10 10 0 0 93848 72093
5340 10 9 1 0 93848 72093
5400 10 9 1 0 93848 72093
5460 10 10 0 0 93848 72093
5520 10 8 2 0 93848 72093
5580 10 9 1 0 93848 72093
5640 9 9 1 0 93848 72093
5700 9 8 2 0 93848 72093
5760 9 8 2 0 93848 72093
5820 9 8 2 0 93848 72093
5880 9 9 1 0 93848 72093
5940 9 9 1 0 93848 72093
6000 9 10 0 0 93848 72093
6060 9 9 1 0 93848 72093
6120 8 10 0 0 93848 72093
6180 8 7 3 0 93848 72093
6240 7 10 0 0 93848 72093
6300 7 9 1 0 93848 72093
6360 8 10 0 0 93848 72093
6420 8 8 2 0 93848 72093
6480 8 8 2 0 93848 72093
6540 7 9 1 0 93848 72093
6600 8 9 1 0 93848 72093
6660 9 9 1 0 93848 72093
6720 9 8 2 0 93848 72093
6780 8 8 2 0 93848 72093
6840 8 9 1 0 93848 72093
6900 9 10 0 0 93848 72093
6960 9 9 1 0 93848 72093
7020 9 10 0 0 93848 72093
7080 9 10 0 0 93848 72093
7140 9 10 0 0 93848 72093
7200 9 9 1 0 93848 72093
7260 9 8 2 0 93848 72093
7320 10 10 0 0 93848 72093
7380 10 10 0 0 93848 72093
7440 10 9 1 0 93848 72093
7500 10 9 1 0 93848 72093
7560 10 8 2 0 93848 72093
7620 10 9 1 0 93848 72093
7680 10 8 2 0 93848 72093
7740 10 8 2 0 93848 72093
7800 10 8 2 0 93848 72093
7860 10 7 3 0 93848 72093
7920 10 8 2 0 93848 72093
7980 10 9 1 0 93848 72093
8040 10 10 0 0 93848 72093
8100 10 9 1 0 93848 72093
8160 10 9 1 0 93848 72093
8220 10 8 2 0 93848 72093
8280 10 9 1 0 93848 72093
8340 10 10 0 0 93848 72093
8400 10 10 0 0 93848 72093
8460 9 8 2 0 93848 72093
8520 9 9 1 0 93848 72093
8580 9 9 1 0 93848 72093
8640 9 9 1 0 93848 72093
8700 9 10 0 0 93848 72093
8760 9 9 1 0 93848 72093
8820 9 10 0 0 93848 72093
8880 9 9 1 0 93848 72093
8940 9 9 1 0 93848 72093
9000 10 7 3 0 93848 72093
9060 10 10 0 0 93848 72093
9120 10 9 1 0 93848 72093
9180 10 9 1 0 93848 72093
9240 10 10 0 0 93848 72093
9300 10 7 3 0 93848 72093
9360 10 7 3 0 93848 72093
9420 10 9 1 0 93848 72093
9480 10 8 2 0 93848 72093
9540 10 8 2 0 93848 72093
9600 10 8 2 0 93848 72093
9660 9 9 1 0 93848 72093
9720 10 8 2 0 93848 72093
9780 9 7 3 0 93848 72093
9840 9 9 1 0 93848 72093
9900 10 8 2 0 93848 72093
9960 10 9 1 0 93848 72093
10020 10 9 1 0 93848 72093
10080 10 9 1 0 93848 72093
10140 10 9 1 0 93848 72093
10200 10 9 1 0 93848 72093
10260 10 10 0 0 93848 72093
10320 10 8 2 0 93848 72093
10380 10 8 2 0 93848 72093
10440 10 8 2 0 93848 72093
10500 10 10 0 0 93848 72093
10560 10 9 1 0 93848 72093
10620 10 9 1 0 93848 72093
10680 10 8 2 0 93848 72093
10740 10 10 0 0 93848 72093
10800 10 8 2 0 93848 72093
10860 10 10 0 1 93848 72093
10920 10 9 1 0 93848 72093
10980 10 7 3 0 93848 72093
11040 10 9 1 0 93848 72093
11100 10 10 0 0 93848 72093
11160 10 8 2 0 93848 72093
11220 10 9 1 0 93848 72093
11280 10 10 0 0 93848 72093
11340 10 9 1 0 93848 72093
11400 10 10 0 0 93848 72093
11460 10 8 2 0 93848 72093
11520 10 9 1 0 93848 72093
11580 10 9 1 0 93848 72093
11640 10 8 2 0 93848 72093
11700 10 8 2 0 93848 72093
11760 9 10 0 0 93848 72093
11820 9 10 0 0 93848 72093
11880 10 9 1 0 93848 72093
11940 10 9 1 0 93848 72093
12000 10 8 2 0 93848 72093
12060 10 9 1 0 93848 72093
12120 10 10 0 0 93848 72093
12180 10 10 0 0 93848 72093
