time,mean_camkii_0.0,std_camkii_0.0,mean_camkii_1e-20,std_camkii_1e-20,mean_camkii_1e-19,std_camkii_1e-19,mean_camkii_1e-18,std_camkii_1e-18,mean_camkii_1e-17,std_camkii_1e-17,mean_camkii_1e-16,std_camkii_1e-16,mean_camkii_1e-15,std_camkii_1e-15,mean_camkii_1e-14,std_camkii_1e-14,mean_camkii_1e-13,std_camkii_1e-13,mean_camkii_1e-12,std_camkii_1e-12
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.15612494995995993,0.0,0.0,0.025,0.15612494995995993,0.0,0.0,0.025,0.15612494995995996
242,0.025,0.15612494995995996,0.0,0.0,0.0,0.0,0.025,0.1561249499599599,0.05,0.21794494717703355,0.0,0.0,0.05,0.2179449471770336,0.075,0.2633913438213187,0.05,0.21794494717703367,0.025,0.15612494995995996
362,0.15,0.4213074886588179,0.025,0.1561249499599599,0.1,0.2999999999999999,0.075,0.26339134382131846,0.1,0.2999999999999998,0.05,0.21794494717703355,0.125,0.5092887196865841,0.125,0.33071891388307384,0.2,0.4,0.075,0.26339134382131846
482,0.175,0.37996710383926646,0.125,0.33071891388307384,0.275,0.5910795208768446,0.1,0.3,0.175,0.3799671038392664,0.125,0.3992179855667828,0.15,0.4213074886588179,0.15,0.3570714214271425,0.175,0.44087980221370987,0.15,0.4213074886588179
602,0.3,0.4582575694955839,0.25,0.4330127018922193,0.375,0.6959705453537527,0.125,0.33071891388307384,0.25,0.48733971724044817,0.175,0.49434299833212997,0.1,0.48989794855663554,0.225,0.41758232721225175,0.225,0.47368238303741056,0.2,0.5099019513592781
722,0.35,0.4769696007084727,0.35,0.5267826876426369,0.425,0.8027297179001158,0.15,0.3570714214271425,0.3,0.6,0.225,0.611861912526021,0.275,0.4993746088859545,0.3,0.5567764362830021,0.45,0.7053367989832945,0.375,0.7644442425710327
842,0.4,0.5385164807134504,0.525,0.6703543838895962,0.5,0.8366600265340756,0.225,0.4736823830374105,0.35,0.6538348415311009,0.325,0.9588404455382559,0.4,0.5830951894845301,0.55,0.7729812416870152,0.625,0.9921567416492215,0.45,0.7399324293474372
962,0.475,0.6319612329882272,0.65,0.6538348415311009,0.775,0.9350802104632523,0.45,0.7399324293474371,0.45,0.7053367989832942,0.475,0.9743587634952541,0.525,0.8058380730643103,0.6,0.8602325267042625,0.825,1.2427288521636566,0.55,0.9205976319760983
1082,0.525,0.6703543838895963,0.7,0.8124038404635958,0.975,1.0121141239998581,0.65,0.8231038816577163,0.55,0.947364766074821,0.625,1.297834735241741,0.625,1.0413332799829265,0.875,1.2487493743742177,0.85,1.441353530539957,0.625,1.1333026956643137
1202,0.675,0.6851094803022361,0.8,0.8717797887081347,1.025,1.0603655030224246,0.75,0.82915619758885,0.55,0.7729812416870151,0.825,1.3207478941872295,1.075,1.506444489518283,1.025,1.293976429460753,1.2,1.7635192088548397,0.9,1.4798648586948742
1322,0.775,0.6887488656977958,0.825,0.8912771734987943,1.225,1.083685840084662,0.9,0.969535971483266,0.7,1.0770329614269012,1.075,1.6338222057494505,1.15,1.7542804792848838,1.15,1.388344337691482,1.15,1.620956507744733,1.0,1.4832396974191326
1442,0.9,0.9433981132056606,1.075,1.034105893997322,1.425,1.2018215341721914,1.025,1.1065147988165362,0.925,1.1913752557443862,1.2,1.7204650534085253,1.35,1.7542804792848838,1.725,1.9619824158233428,1.475,1.8026022855860357,1.025,1.665645520511492
1562,1.0,0.8944271909999159,1.1,1.0908712114635715,1.45,1.3407087677791925,1.275,1.1399013115177998,1.025,1.25474100913296,1.6,2.0952326839756963,1.5,1.857417562100671,2.15,2.5253712598348783,1.825,2.234809835310378,1.225,1.9427750770482928
1682,1.1,0.8602325267042629,1.275,1.1399013115177998,1.525,1.3414078425296314,1.5,1.118033988749895,1.15,1.2359207094308273,1.7,2.20454076850486,1.8,2.2045407685048604,2.325,2.4432304434907484,2.425,2.7100507375324177,1.7,2.368543856465402
1802,1.3,0.9539392014169459,1.425,1.3395428324618814,1.625,1.3358050007392546,1.65,1.2359207094308275,1.425,1.3580776855541072,1.925,2.432976572020372,2.15,2.4652586071242104,2.7,2.874021572639983,2.725,2.756696392423366,2.0,2.5199206336708304
1922,1.425,0.9457140159688868,1.45,1.2439855304624732,1.825,1.3207478941872293,1.775,1.1065147988165362,1.45,1.359227721906819,2.05,2.50948201826592,2.425,3.00738673934697,3.3,3.1717503054307405,3.275,2.8808635858020075,2.225,2.57378612165036
2042,1.55,0.9733961166965893,1.6,1.3379088160259651,1.95,1.448274835796024,1.9,1.240967364599086,1.55,1.3219304066402287,2.475,2.747612600058459,2.95,3.0736785778607367,3.825,3.33831918785487,3.925,3.1335881988544694,2.725,3.2938389456681096
