time,mean_camkii_0.0,std_camkii_0.0,mean_camkii_1e-20,std_camkii_1e-20,mean_camkii_1e-15,std_camkii_1e-15,mean_camkii_1e-14,std_camkii_1e-14,mean_camkii_1e-13,std_camkii_1e-13,mean_camkii_1e-12,std_camkii_1e-12
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.30000000000000004
722,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
842,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
962,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1082,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.0,0.0,0.0,0.0,0.0,0.0
1202,0.0,0.0,0.0,0.0,0.3,0.6403124237432849,0.0,0.0,0.0,0.0,0.1,0.30000000000000004
1322,0.0,0.0,0.1,0.30000000000000004,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.1,0.30000000000000004
1442,0.0,0.0,0.1,0.30000000000000004,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.2,0.4000000000000001
1562,0.0,0.0,0.1,0.30000000000000004,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.2,0.4000000000000001
1682,0.0,0.0,0.1,0.30000000000000004,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.2,0.6000000000000001
1802,0.0,0.0,0.1,0.30000000000000004,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.4,0.66332495807108
1922,0.1,0.30000000000000004,0.1,0.30000000000000004,0.3,0.6403124237432849,0.0,0.0,0.0,0.0,0.4,0.66332495807108
2042,0.1,0.30000000000000004,0.1,0.30000000000000004,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.4,0.66332495807108
2162,0.0,0.0,0.1,0.30000000000000004,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.5,0.9219544457292888
2282,0.1,0.30000000000000004,0.1,0.30000000000000004,0.3,0.9000000000000001,0.0,0.0,0.0,0.0,0.4,0.66332495807108
2402,0.1,0.30000000000000004,0.1,0.30000000000000004,0.4,0.9165151389911681,0.1,0.30000000000000004,0.0,0.0,0.6,1.0198039027185568
2522,0.1,0.30000000000000004,0.1,0.30000000000000004,0.5,1.2041594578792296,0.1,0.30000000000000004,0.0,0.0,0.7,1.1
2642,0.1,0.30000000000000004,0.1,0.30000000000000004,0.3,0.6403124237432849,0.1,0.30000000000000004,0.0,0.0,0.8,1.2489995996796797
2762,0.1,0.30000000000000004,0.1,0.30000000000000004,0.3,0.6403124237432849,0.2,0.4000000000000001,0.0,0.0,0.9,1.445683229480096
2882,0.1,0.30000000000000004,0.1,0.30000000000000004,0.7,1.4177446878757822,0.1,0.30000000000000004,0.0,0.0,0.6,1.0198039027185568
3002,0.1,0.30000000000000004,0.1,0.30000000000000004,0.8,1.6000000000000003,0.2,0.4000000000000001,0.0,0.0,0.9,1.3747727084867518
3122,0.2,0.4000000000000001,0.1,0.30000000000000004,0.7,1.1874342087037917,0.3,0.45825756949558405,0.0,0.0,0.8,1.2489995996796797
3242,0.3,0.45825756949558394,0.1,0.30000000000000004,0.8,1.1661903789690602,0.1,0.30000000000000004,0.0,0.0,1.0,1.5491933384829668
