time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 5 1 0 0 2
180 0 6 0 0 0 3
240 0 6 0 0 0 3
300 0 6 0 0 0 3
360 0 5 1 0 0 2
420 0 6 0 0 0 3
480 0 6 0 0 0 3
540 0 6 0 0 0 3
600 0 6 0 0 0 3
660 0 6 0 0 0 3
720 0 6 0 0 0 3
780 0 6 0 0 0 3
840 0 6 0 0 0 3
900 0 6 0 0 0 3
960 0 6 0 0 0 3
1020 0 5 1 0 0 2
1080 0 6 0 0 0 3
1140 0 6 0 0 0 3
1200 0 5 1 0 0 2
1260 0 6 0 0 1 2
1320 0 6 0 0 1 2
1380 0 6 0 0 0 3
1440 0 6 0 0 0 3
1500 0 6 0 0 1 2
1560 0 6 0 0 0 3
1620 0 6 0 0 0 3
1680 0 6 0 0 0 3
1740 0 6 0 0 0 3
1800 0 5 1 0 0 2
1860 0 6 0 0 0 3
1920 0 6 0 0 0 3
1980 0 6 0 0 0 3
2040 0 5 1 0 0 2
2100 0 6 0 0 0 3
2160 0 6 0 0 0 3
2220 0 6 0 0 0 3
2280 0 6 0 0 0 3
2340 0 6 0 0 0 3
2400 0 6 0 0 0 3
2460 0 6 0 0 0 3
2520 0 6 0 0 0 3
2580 0 6 0 0 0 3
2640 0 6 0 0 0 3
2700 0 6 0 0 0 3
2760 0 6 0 0 0 3
2820 0 5 1 0 0 2
2880 0 6 0 0 0 3
2940 0 6 0 0 0 3
3000 0 6 0 0 0 3
3060 0 6 0 0 0 3
3120 0 6 0 0 0 3
3180 0 5 1 0 0 2
3240 0 5 1 0 0 2
3300 0 6 0 0 0 3
3360 0 6 0 0 0 3
3420 0 6 0 0 0 3
3480 0 6 0 0 0 3
3540 0 6 0 0 1 2
3600 0 6 0 0 0 3
3660 0 6 0 0 1 2
3720 0 6 0 0 0 3
3780 1 5 1 0 0 2
3840 0 6 0 0 1 2
3900 0 6 0 0 2 1
3960 0 5 1 0 1 1
4020 1 5 1 0 1 1
4080 1 6 0 0 0 3
4140 1 5 1 1 0 2
4200 1 6 0 0 0 3
4260 1 6 0 0 1 2
4320 0 6 0 0 1 2
4380 1 6 0 0 1 2
4440 1 6 0 0 0 3
4500 1 6 0 0 1 2
4560 0 5 1 0 1 1
4620 0 6 0 0 0 3
4680 0 6 0 0 0 3
4740 0 6 0 0 1 2
4800 0 6 0 0 1 2
4860 0 6 0 0 0 3
4920 0 6 0 0 0 3
4980 0 6 0 0 0 3
5040 0 6 0 0 0 3
5100 0 6 0 0 0 3
5160 0 5 1 0 0 2
5220 0 5 1 0 0 2
5280 0 6 0 0 0 3
5340 0 6 0 0 0 3
5400 0 6 0 0 0 3
5460 0 6 0 0 0 3
5520 0 6 0 0 0 3
5580 0 6 0 0 0 3
5640 0 6 0 0 0 3
5700 0 6 0 0 0 3
5760 0 6 0 0 0 3
5820 0 5 1 0 0 2
5880 0 6 0 0 0 3
5940 0 6 0 0 0 3
6000 0 6 0 0 0 3
6060 0 5 1 0 0 2
6120 0 6 0 0 0 3
6180 0 5 1 0 0 2
6240 0 6 0 0 0 3
6300 0 6 0 0 0 3
6360 0 6 0 0 0 3
6420 0 5 1 0 0 2
6480 0 6 0 0 0 3
6540 0 5 1 0 0 2
6600 0 6 0 0 0 3
6660 0 6 0 0 0 3
6720 0 5 1 0 0 2
6780 0 5 1 0 0 2
6840 0 6 0 0 0 3
6900 0 6 0 0 0 3
6960 0 6 0 0 0 3
7020 0 6 0 0 0 3
7080 0 6 0 0 0 3
7140 0 6 0 0 0 3
7200 0 6 0 0 0 3
7260 0 6 0 0 0 3
7320 0 6 0 0 0 3
7380 0 6 0 0 0 3
7440 0 6 0 0 0 3
7500 0 6 0 0 0 3
7560 0 6 0 0 0 3
7620 0 6 0 0 0 3
7680 0 6 0 0 0 3
7740 0 6 0 0 1 2
7800 0 5 1 0 1 1
7860 0 6 0 0 2 1
7920 1 4 2 0 0 1
7980 1 6 0 0 1 2
8040 1 6 0 0 2 1
8100 1 6 0 0 1 2
8160 0 6 0 0 1 2
8220 0 6 0 0 2 1
8280 1 6 0 0 0 3
8340 0 5 1 0 0 2
8400 0 6 0 0 1 2
8460 1 6 0 0 2 1
8520 1 6 0 0 3 0
8580 1 5 1 0 0 2
8640 1 6 0 0 2 1
8700 2 5 1 0 2 0
8760 2 6 0 0 3 0
8820 3 6 0 0 1 2
8880 3 6 0 0 0 3
8940 2 6 0 0 1 2
9000 3 6 0 0 2 1
9060 2 6 0 0 1 2
9120 2 6 0 0 1 2
9180 2 6 0 0 0 3
9240 2 6 0 0 3 0
9300 3 5 1 0 2 0
9360 3 6 0 0 2 1
9420 4 6 0 0 1 2
9480 3 6 0 0 2 1
9540 3 6 0 0 1 2
9600 3 6 0 0 0 3
9660 3 6 0 0 2 1
9720 3 6 0 0 2 1
9780 4 6 0 0 0 3
9840 5 6 0 0 2 1
9900 5 6 0 0 2 1
9960 5 6 0 0 1 2
10020 4 6 0 0 1 2
10080 5 6 0 0 1 2
10140 4 6 0 0 3 0
10200 5 5 1 0 1 1
10260 5 6 0 0 0 3
10320 5 6 0 0 1 2
10380 4 6 0 0 2 1
10440 4 6 0 0 2 1
10500 5 6 0 0 2 1
10560 5 5 1 0 1 1
10620 6 5 1 0 1 1
10680 6 6 0 0 1 2
10740 5 6 0 0 2 1
10800 5 6 0 0 1 2
10860 5 6 0 0 2 1
10920 5 6 0 0 3 0
10980 5 6 0 0 3 0
11040 6 6 0 0 1 2
11100 6 6 0 0 3 0
11160 6 6 0 0 2 1
11220 5 6 0 0 2 1
11280 5 6 0 0 2 1
11340 6 6 0 0 1 2
11400 6 6 0 0 1 2
11460 6 6 0 0 0 3
11520 6 5 1 0 0 2
11580 6 6 0 0 2 1
11640 6 6 0 0 2 1
11700 6 6 0 0 1 2
11760 6 6 0 0 1 2
11820 6 6 0 0 3 0
11880 6 6 0 0 2 1
11940 6 6 0 0 1 2
12000 5 5 1 0 1 1
12060 5 6 0 0 3 0
12120 5 6 0 0 3 0
12180 6 6 0 0 2 1
12240 5 5 1 0 2 0
12300 5 6 0 0 2 1
12360 6 6 0 0 2 1
12420 6 6 0 0 2 1
12480 6 6 0 0 0 2
12540 6 6 0 0 0 3
12600 6 6 0 0 0 3
12660 6 6 0 0 2 1
12720 6 6 0 0 2 1
12780 6 6 0 0 3 0
12840 6 6 0 0 1 2
12900 6 6 0 0 2 1
12960 6 6 0 0 1 2
13020 6 6 0 0 3 0
13080 6 6 0 0 1 2
13140 6 6 0 0 3 0
13200 6 5 1 0 2 0
13260 6 6 0 0 3 0
13320 6 6 0 0 2 1
13380 6 6 0 0 3 0
13440 6 6 0 0 2 1
13500 6 6 0 0 1 2
13560 6 6 0 0 1 2
13620 5 5 1 0 2 0
13680 5 6 0 0 3 0
13740 6 6 0 0 2 1
13800 6 6 0 0 3 0
13860 6 5 1 0 2 0
13920 6 6 0 0 1 2
13980 5 6 0 0 2 1
14040 5 6 0 0 2 1
14100 6 6 0 0 3 0
14160 6 6 0 0 2 1
14220 6 6 0 0 2 1
14280 6 6 0 0 2 1
14340 6 6 0 0 1 2
14400 6 6 0 0 1 2
14460 6 6 0 0 3 0
14520 5 6 0 0 2 1
14580 6 6 0 0 3 0
14640 6 6 0 0 3 0
14700 6 6 0 0 2 1
14760 6 6 0 0 3 0
14820 6 6 0 0 3 0
14880 6 6 0 0 2 1
14940 6 6 0 0 1 2
15000 6 6 0 0 1 2
15060 6 6 0 0 2 1
15120 6 6 0 0 3 0
15180 6 5 1 0 2 0
15240 6 6 0 0 2 1
15300 6 6 0 0 1 2
15360 6 6 0 1 2 1
15420 6 6 0 0 2 1
15480 6 5 1 0 0 2
15540 6 6 0 0 1 2
15600 6 6 0 0 3 0
15660 6 6 0 0 1 2
15720 6 6 0 0 3 0
15780 6 4 2 0 1 0
15840 6 6 0 0 1 2
15900 6 6 0 0 3 0
15960 6 6 0 0 2 1
16020 6 6 0 0 3 0
16080 6 6 0 0 2 1
16140 6 6 0 0 3 0
16200 6 6 0 0 3 0
16260 6 6 0 0 2 1
16320 6 6 0 0 2 1
16380 6 6 0 0 2 1
16440 6 6 0 0 2 1
16500 6 6 0 0 3 0
16560 6 5 1 0 2 0
16620 6 6 0 0 3 0
16680 6 6 0 0 3 0
16740 6 6 0 0 2 1
16800 6 6 0 0 2 1
16860 6 6 0 0 2 1
16920 6 5 1 0 2 0
16980 6 6 0 0 2 1
17040 6 6 0 0 1 2
17100 6 6 0 0 3 0
17160 6 6 0 0 3 0
17220 6 6 0 0 3 0
17280 6 6 0 0 2 1
17340 6 5 1 0 2 0
17400 6 6 0 0 3 0
17460 6 6 0 0 3 0
17520 6 6 0 0 2 1
17580 6 6 0 0 1 2
17640 6 6 0 0 1 2
17700 6 6 0 0 2 1
17760 6 6 0 0 2 1
17820 6 6 0 0 1 2
17880 6 6 0 0 1 2
17940 6 6 0 0 2 1
18000 6 6 0 0 3 0
18060 6 6 0 0 2 1
18120 6 6 0 0 2 1
18180 6 6 0 0 1 2
18240 6 5 1 0 2 0
18300 6 5 1 0 2 0
18360 6 6 0 0 2 1
18420 6 6 0 0 2 1
18480 6 6 0 0 2 1
18540 6 6 0 0 1 2
18600 6 6 0 0 1 2
18660 6 6 0 0 3 0
18720 6 6 0 0 2 1
18780 6 5 1 0 2 0
18840 6 6 0 0 2 1
18900 6 6 0 0 1 2
18960 6 6 0 0 2 1
19020 6 5 1 0 2 0
19080 6 6 0 0 2 1
19140 6 6 0 0 3 0
19200 6 5 1 0 2 0
19260 6 6 0 0 3 0
19320 6 5 1 0 1 1
19380 6 6 0 0 2 1
19440 6 6 0 0 2 1
19500 6 6 0 0 3 0
19560 6 6 0 0 3 0
19620 6 6 0 0 3 0
19680 6 6 0 0 3 0
19740 6 5 1 0 2 0
19800 6 6 0 0 1 2
19860 6 6 0 0 2 1
19920 6 6 0 0 2 1
19980 6 6 0 0 2 1
20040 6 6 0 0 2 1
20100 6 6 0 0 2 1
20160 5 5 1 0 1 1
20220 5 6 0 0 2 1
20280 5 6 0 0 3 0
20340 5 6 0 0 3 0
20400 5 6 0 0 0 3
20460 5 6 0 0 1 2
20520 5 6 0 0 2 1
20580 5 6 0 0 3 0
20640 4 6 0 0 2 1
20700 5 5 1 0 1 1
20760 5 6 0 0 1 2
20820 5 5 1 0 0 2
20880 5 5 1 0 1 1
20940 5 6 0 0 2 1
21000 6 6 0 0 1 2
21060 6 6 0 0 2 1
21120 6 5 1 0 1 1
21180 6 6 0 0 0 3
21240 6 6 0 0 2 1
21300 6 6 0 0 2 1
21360 6 6 0 0 1 2
21420 6 6 0 0 2 1
21480 6 6 0 0 1 2
21540 6 6 0 0 3 0
21600 6 6 0 0 2 1
21660 6 6 0 0 1 2
21720 6 6 0 0 3 0
21780 6 6 0 0 3 0
21840 6 5 1 0 2 0
21900 6 6 0 0 2 1
21960 6 6 0 0 2 1
22020 6 6 0 0 2 1
22080 6 5 1 0 1 1
22140 6 5 1 0 0 2
22200 6 5 1 0 2 0
22260 6 6 0 0 2 1
22320 6 6 0 0 3 0
22380 6 6 0 0 3 0
22440 6 5 1 0 2 0
22500 6 6 0 0 2 1
22560 6 6 0 0 1 2
22620 6 6 0 0 1 2
22680 6 6 0 0 0 3
22740 6 6 0 0 3 0
22800 6 6 0 0 2 1
22860 6 6 0 0 3 0
22920 6 6 0 0 1 2
22980 6 6 0 0 1 2
23040 6 6 0 0 3 0
23100 6 6 0 0 1 2
23160 6 6 0 0 1 2
23220 6 6 0 0 0 3
23280 6 6 0 0 2 1
23340 6 5 1 0 1 1
23400 6 5 1 0 1 1
23460 6 5 1 0 2 0
23520 6 5 1 0 1 1
23580 6 6 0 0 2 1
23640 5 6 0 0 2 1
23700 6 6 0 0 0 3
23760 6 6 0 0 3 0
23820 6 6 0 0 3 0
23880 6 6 0 0 1 2
23940 6 6 0 0 1 2
24000 6 6 0 0 2 1
24060 6 6 0 0 2 1
24120 6 6 0 0 3 0
24180 6 6 0 0 2 1
24240 6 6 0 0 2 1
24300 6 6 0 0 2 1
24360 6 6 0 0 2 1
24420 6 6 0 0 2 1
24480 6 6 0 0 2 1
24540 6 6 0 0 2 1
24600 6 6 0 0 2 1
24660 6 6 0 0 1 2
24720 6 6 0 0 2 1
24780 6 6 0 0 3 0
24840 6 6 0 0 1 2
24900 5 6 0 0 2 1
24960 5 6 0 0 3 0
25020 5 6 0 0 2 1
25080 6 6 0 0 1 2
25140 6 6 0 0 2 1
25200 6 6 0 0 2 1
25260 6 5 1 0 1 1
25320 6 6 0 0 2 1
25380 6 6 0 0 2 1
25440 6 5 1 0 0 2
25500 5 6 0 0 3 0
25560 5 6 0 0 2 1
25620 5 6 0 0 2 1
25680 5 6 0 0 3 0
25740 6 6 0 0 1 2
25800 6 6 0 0 2 1
25860 5 5 1 0 1 1
25920 6 6 0 0 2 1
25980 6 6 0 0 3 0
26040 6 6 0 0 2 1
26100 6 6 0 0 2 1
26160 6 6 0 0 2 1
26220 6 6 0 0 2 1
26280 6 6 0 0 1 2
26340 6 6 0 0 2 1
26400 6 6 0 0 3 0
26460 6 6 0 0 1 2
26520 6 6 0 0 2 1
26580 6 6 0 0 2 1
26640 6 6 0 0 3 0
26700 6 6 0 0 3 0
26760 6 6 0 0 2 1
26820 6 6 0 0 2 1
26880 6 6 0 0 2 1
26940 6 6 0 0 1 2
27000 6 6 0 0 3 0
27060 6 5 1 0 2 0
27120 6 6 0 0 1 2
27180 6 6 0 0 3 0
27240 6 5 1 0 2 0
27300 6 6 0 0 2 1
27360 6 6 0 0 1 2
27420 6 6 0 0 0 3
27480 6 6 0 0 1 2
27540 6 6 0 0 2 1
27600 6 6 0 0 3 0
27660 6 6 0 0 3 0
27720 6 6 0 0 2 1
27780 6 6 0 0 3 0
27840 6 6 0 0 1 2
27900 6 6 0 0 1 2
27960 6 6 0 0 2 1
28020 6 6 0 0 2 1
28080 6 6 0 0 3 0
28140 6 6 0 0 1 2
28200 6 6 0 0 2 1
28260 6 6 0 0 0 3
28320 6 6 0 0 2 1
28380 6 6 0 0 2 1
28440 6 6 0 0 3 0
28500 6 5 1 0 1 1
28560 6 6 0 0 2 1
28620 5 6 0 0 3 0
28680 5 6 0 0 2 1
28740 5 6 0 0 2 1
28800 6 6 0 0 1 2
28860 6 6 0 0 2 1
28920 6 6 0 0 3 0
28980 6 5 1 0 1 1
29040 6 6 0 0 2 1
29100 5 5 1 0 2 0
29160 5 6 0 0 2 1
29220 6 6 0 0 2 1
29280 6 6 0 0 2 1
29340 6 6 0 0 2 1
29400 6 5 1 0 1 1
29460 6 6 0 0 3 0
29520 6 5 1 0 2 0
29580 6 6 0 0 2 1
29640 6 6 0 0 1 2
29700 5 6 0 0 2 1
29760 6 6 0 0 2 1
29820 6 6 0 0 3 0
29880 6 6 0 0 2 1
29940 6 6 0 0 1 2
30000 6 6 0 0 2 1
30060 6 6 0 0 2 1
30120 6 6 0 0 2 1
30180 6 6 0 0 1 2
30240 6 6 0 0 3 0
30300 6 6 0 0 2 1
30360 5 6 0 0 3 0
30420 6 6 0 0 2 1
30480 5 6 0 0 3 0
30540 6 6 0 0 2 1
30600 6 6 0 0 3 0
30660 6 6 0 0 2 1
30720 6 6 0 0 2 1
30780 6 6 0 0 0 3
30840 6 5 1 0 1 1
30900 6 6 0 0 0 3
30960 6 6 0 0 2 1
31020 6 6 0 0 1 2
31080 6 6 0 0 1 2
31140 6 6 0 0 3 0
31200 6 6 0 0 2 1
31260 6 6 0 0 3 0
31320 6 6 0 0 2 1
31380 6 6 0 0 2 1
31440 6 6 0 0 2 1
31500 6 6 0 0 2 1
31560 6 6 0 0 2 1
31620 6 6 0 0 2 1
31680 6 6 0 0 2 1
31740 6 6 0 0 2 1
31800 6 5 1 0 2 0
31860 6 6 0 0 2 1
31920 6 6 0 0 3 0
31980 6 6 0 0 3 0
32040 6 6 0 0 3 0
32100 6 6 0 0 3 0
32160 6 5 1 0 1 1
32220 6 6 0 0 3 0
32280 6 6 0 0 2 1
32340 6 6 0 0 2 1
32400 6 6 0 0 1 2
32460 6 6 0 0 3 0
32520 6 6 0 0 2 1
32580 6 6 0 0 1 2
32640 6 5 1 0 0 2
32700 6 6 0 0 2 1
32760 6 5 1 0 1 1
32820 6 5 1 0 1 1
32880 6 6 0 0 2 1
32940 6 6 0 0 3 0
33000 6 6 0 0 3 0
33060 6 6 0 0 1 2
33120 6 6 0 0 1 2
33180 6 6 0 0 3 0
33240 6 6 0 0 3 0
33300 6 6 0 0 3 0
33360 6 6 0 0 2 1
33420 6 6 0 0 3 0
33480 6 6 0 0 2 1
33540 6 6 0 0 2 1
33600 6 6 0 0 3 0
33660 6 6 0 0 3 0
33720 6 6 0 0 2 1
33780 6 5 1 0 0 2
33840 6 6 0 0 2 1
33900 6 6 0 0 1 2
33960 6 5 1 0 1 1
34020 6 6 0 0 3 0
34080 6 5 1 0 1 1
34140 6 6 0 0 2 1
34200 6 6 0 0 3 0
34260 6 6 0 0 3 0
34320 6 6 0 0 3 0
34380 6 6 0 0 1 2
34440 6 6 0 0 2 1
34500 6 6 0 0 2 1
34560 6 6 0 0 3 0
34620 6 6 0 0 1 2
34680 6 5 1 0 1 1
34740 6 6 0 0 2 1
