time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 6 0 0 0 3
180 0 6 0 0 0 3
240 0 6 0 0 0 3
300 0 6 0 0 0 3
360 0 6 0 0 0 3
420 0 6 0 0 0 3
480 0 6 0 0 0 3
540 0 5 1 0 0 2
600 0 6 0 0 0 3
660 0 5 1 0 0 2
720 0 6 0 0 0 3
780 0 6 0 0 0 3
840 0 6 0 0 0 3
900 0 6 0 0 0 3
960 0 6 0 0 0 3
1020 0 6 0 0 0 3
1080 0 6 0 0 0 3
1140 0 5 1 0 0 2
1200 0 6 0 0 0 3
1260 0 6 0 0 0 3
1320 0 6 0 0 0 3
1380 0 6 0 0 0 3
1440 0 6 0 0 0 3
1500 0 6 0 0 0 3
1560 0 6 0 0 0 3
1620 0 6 0 0 0 3
1680 0 6 0 0 0 3
1740 0 6 0 0 0 3
1800 0 5 1 0 0 2
1860 0 6 0 0 0 3
1920 0 5 1 0 0 2
1980 0 6 0 0 0 3
2040 0 6 0 0 0 3
2100 0 5 1 0 0 2
2160 0 6 0 0 0 3
2220 0 6 0 0 0 3
2280 0 6 0 0 0 3
2340 0 6 0 0 0 3
2400 0 5 1 0 0 2
2460 0 6 0 0 0 3
2520 0 6 0 0 0 3
2580 0 6 0 0 0 3
2640 0 6 0 0 0 3
2700 0 6 0 0 0 3
2760 0 6 0 0 0 3
2820 0 6 0 0 0 3
2880 0 6 0 0 0 3
2940 0 6 0 0 0 3
3000 0 5 1 0 0 2
3060 0 6 0 0 0 3
3120 0 6 0 0 0 3
3180 0 6 0 0 0 3
3240 0 5 1 0 0 2
3300 0 6 0 0 0 3
3360 0 6 0 0 0 3
3420 0 5 1 0 0 2
3480 0 6 0 0 0 3
3540 0 5 1 0 0 2
3600 0 6 0 0 0 3
3660 0 6 0 0 0 3
3720 0 6 0 0 0 3
3780 0 6 0 0 0 3
3840 0 6 0 0 0 3
3900 0 6 0 0 0 3
3960 0 6 0 0 0 3
4020 0 6 0 0 0 3
4080 0 6 0 0 0 3
4140 0 6 0 0 0 3
4200 0 6 0 0 0 3
4260 0 6 0 0 0 3
4320 0 5 1 0 0 2
4380 0 6 0 0 0 3
4440 1 6 0 0 0 3
4500 1 6 0 0 0 3
4560 1 6 0 0 0 3
4620 1 6 0 0 0 3
4680 1 6 0 0 1 2
4740 1 6 0 0 1 2
4800 1 6 0 0 0 3
4860 1 6 0 0 0 3
4920 1 6 0 0 0 3
4980 1 6 0 0 0 3
5040 1 6 0 0 1 2
5100 1 6 0 0 1 2
5160 1 6 0 0 1 2
5220 1 6 0 0 1 2
5280 2 6 0 0 0 3
5340 2 6 0 0 1 2
5400 2 6 0 0 1 2
5460 2 6 0 0 0 3
5520 2 5 1 0 0 2
5580 2 6 0 0 0 3
5640 2 6 0 0 0 3
5700 2 6 0 0 1 2
5760 2 6 0 0 1 2
5820 2 5 1 0 1 1
5880 2 6 0 0 1 2
5940 2 5 1 0 0 2
6000 2 6 0 0 1 2
6060 2 6 0 0 1 2
6120 2 6 0 0 0 3
6180 2 6 0 0 0 3
6240 2 5 1 0 1 1
6300 2 6 0 0 1 2
6360 2 6 0 0 1 2
6420 2 6 0 0 1 2
6480 2 5 1 0 0 2
6540 2 6 0 0 0 3
6600 2 6 0 0 0 3
6660 2 6 0 0 1 2
6720 2 6 0 0 1 2
6780 2 6 0 0 1 2
6840 2 6 0 0 1 2
6900 2 5 1 0 0 2
6960 1 6 0 0 1 2
7020 1 5 1 0 1 1
7080 2 6 0 0 0 3
7140 2 6 0 0 0 3
7200 2 6 0 0 1 2
7260 2 5 1 0 1 1
7320 2 6 0 0 1 2
7380 2 6 0 0 1 2
7440 2 6 0 0 0 3
7500 2 6 0 0 1 2
7560 2 6 0 0 1 2
7620 2 6 0 0 0 3
7680 2 6 0 0 0 3
7740 2 6 0 0 1 2
7800 2 6 0 0 1 2
7860 2 6 0 0 1 2
7920 2 6 0 0 0 3
7980 2 6 0 0 0 3
8040 2 5 1 0 0 2
8100 2 6 0 0 0 3
8160 2 6 0 0 1 2
8220 2 5 1 0 0 2
8280 2 6 0 0 1 2
8340 2 6 0 0 1 2
8400 2 6 0 0 0 3
8460 2 6 0 0 0 3
8520 2 6 0 0 0 3
8580 2 6 0 0 1 2
8640 2 6 0 0 0 3
8700 2 6 0 0 1 2
8760 2 6 0 0 1 2
8820 2 6 0 0 1 2
8880 1 6 0 0 1 2
8940 2 6 0 0 0 3
9000 1 6 0 0 1 2
9060 1 5 1 0 1 1
9120 1 4 2 0 1 0
9180 1 6 0 0 1 2
9240 1 6 0 0 1 2
9300 1 6 0 0 1 2
9360 2 6 0 0 0 3
9420 2 6 0 0 1 2
9480 2 6 0 0 1 2
