time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 5 1 0 0 2
180 0 4 2 0 0 1
240 0 6 0 0 0 3
300 0 5 1 0 0 2
360 0 5 1 0 0 2
420 0 5 1 0 0 2
480 0 6 0 0 0 3
540 0 6 0 0 0 3
600 0 6 0 0 0 3
660 0 6 0 0 0 3
720 0 3 3 0 0 0
780 0 5 1 0 0 2
840 0 5 1 0 0 2
900 0 5 1 0 0 2
960 0 5 1 0 0 2
1020 0 6 0 0 0 3
1080 0 6 0 0 0 3
1140 0 6 0 0 0 3
1200 0 6 0 0 1 2
1260 0 5 1 0 0 2
1320 0 5 1 0 0 2
1380 0 5 1 0 0 2
1440 0 4 2 0 0 1
1500 0 5 1 0 0 2
1560 0 5 1 0 0 2
1620 0 5 1 0 0 2
1680 0 6 0 0 0 3
1740 0 4 2 0 0 1
1800 0 6 0 0 0 3
1860 0 5 1 0 0 2
1920 0 6 0 0 0 3
1980 0 5 1 0 0 2
2040 0 6 0 0 0 3
2100 0 4 2 0 0 1
2160 0 6 0 0 0 3
2220 0 4 2 0 0 1
2280 0 5 1 0 0 2
2340 0 6 0 0 0 3
2400 0 3 3 0 0 0
2460 0 4 2 0 0 1
2520 0 6 0 0 0 3
2580 0 4 2 0 0 1
2640 0 5 1 0 0 2
2700 0 5 1 0 0 2
2760 0 4 2 0 0 1
2820 0 3 3 0 0 0
2880 0 4 2 0 0 1
2940 0 4 2 0 0 1
3000 0 5 1 0 0 2
3060 0 5 1 0 0 2
3120 0 4 2 0 0 1
3180 0 5 1 0 0 2
3240 0 4 2 0 0 1
3300 0 6 0 0 0 3
3360 0 6 0 0 0 3
3420 0 5 1 0 0 2
3480 0 5 1 0 0 2
3540 0 5 1 0 0 2
3600 0 5 1 0 0 2
3660 0 5 1 0 0 2
3720 0 6 0 0 0 3
3780 0 6 0 0 0 3
3840 0 5 1 0 0 2
3900 0 5 1 0 0 2
3960 0 4 2 0 0 1
4020 0 5 1 0 0 2
4080 0 5 1 0 0 2
4140 0 6 0 0 0 3
4200 0 4 2 0 0 1
4260 0 4 2 0 0 1
4320 0 4 2 0 0 1
4380 0 5 1 0 0 2
4440 0 6 0 0 0 3
4500 0 6 0 0 0 3
4560 0 6 0 0 0 3
4620 0 6 0 0 0 3
4680 0 6 0 0 0 3
4740 0 5 1 0 0 2
4800 0 5 1 0 1 1
4860 1 6 0 0 0 3
4920 1 5 1 0 0 2
4980 0 5 1 0 1 1
5040 0 5 1 0 0 2
5100 0 5 1 0 0 2
5160 1 5 1 0 0 2
5220 0 6 0 0 1 2
5280 0 6 0 0 2 1
5340 0 5 1 0 1 1
5400 0 5 1 0 0 2
5460 1 5 1 0 2 0
5520 1 5 1 0 1 1
5580 1 6 0 0 1 2
5640 1 6 0 0 1 2
5700 1 6 0 0 1 2
5760 1 5 1 0 2 0
5820 1 5 1 0 1 1
5880 1 5 1 0 1 1
5940 1 6 0 0 1 2
6000 1 4 2 0 0 1
6060 1 4 2 0 0 1
6120 1 6 0 0 1 2
6180 1 6 0 0 3 0
6240 0 6 0 0 3 0
6300 1 5 1 0 1 1
6360 3 4 2 0 0 1
6420 1 6 0 0 1 2
6480 1 6 0 0 1 2
6540 1 6 0 0 1 2
6600 1 5 1 0 2 0
6660 1 6 0 0 1 2
6720 1 5 1 0 1 1
6780 1 5 1 0 0 2
6840 1 6 0 0 1 2
6900 0 5 1 0 0 2
6960 1 5 1 0 0 2
7020 1 6 0 0 0 3
7080 1 5 1 0 0 2
7140 1 5 1 0 0 2
7200 1 6 0 0 1 2
7260 0 5 1 0 1 1
7320 0 5 1 0 1 1
7380 0 5 1 0 0 2
7440 0 5 1 0 0 2
7500 0 6 0 0 2 1
7560 0 6 0 0 2 1
7620 0 6 0 0 0 3
7680 0 6 0 0 0 3
7740 0 6 0 0 1 2
7800 0 4 2 0 0 1
7860 0 5 1 0 0 2
