time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 18 0 80 0 9
180 0 18 0 74 0 9
240 0 18 0 74 0 9
300 0 18 0 70 0 9
360 0 17 1 66 0 8
420 0 18 0 66 0 9
480 0 18 0 60 0 9
540 0 18 0 56 0 9
600 0 18 0 53 0 9
660 0 17 1 51 0 8
720 0 17 1 50 0 8
780 0 18 0 49 0 9
840 0 18 0 44 0 9
900 0 18 0 42 0 9
960 0 18 0 37 0 9
1020 0 18 0 35 0 9
1080 0 17 1 31 0 8
1140 0 17 1 27 0 8
1200 0 18 0 26 0 9
1260 0 18 0 24 0 9
1320 0 18 0 23 0 9
1380 1 18 0 22 0 9
1440 0 17 1 19 0 8
1500 0 18 0 18 0 9
1560 0 18 0 17 0 9
1620 0 18 0 17 0 9
1680 0 18 0 12 0 9
1740 0 18 0 11 0 9
1800 0 18 0 10 0 9
1860 0 17 1 10 0 8
1920 0 18 0 9 0 9
1980 0 18 0 8 0 9
2040 0 18 0 8 0 9
2100 0 18 0 7 0 9
2160 1 18 0 7 0 9
2220 0 18 0 7 0 9
2280 0 18 0 4 0 9
2340 0 18 0 4 0 9
2400 1 18 0 3 0 9
2460 1 18 0 2 0 9
2520 0 18 0 1 0 9
2580 0 17 1 0 0 8
2640 0 18 0 0 0 9
2700 0 18 0 0 0 9
2760 0 17 1 0 0 8
2820 0 18 0 0 0 9
2880 0 18 0 0 0 9
2940 0 18 0 0 0 9
3000 0 18 0 0 0 9
3060 0 17 1 0 0 8
3120 0 18 0 0 0 9
3180 0 17 1 0 0 8
3240 0 18 0 0 0 9
3300 1 18 0 0 0 9
3360 0 18 0 0 0 9
3420 1 18 0 0 0 9
3480 0 18 0 0 0 9
3540 1 17 1 0 0 8
3600 1 17 1 0 0 8
3660 0 18 0 0 0 9
3720 0 18 0 0 0 9
3780 0 18 0 0 0 9
3840 0 18 0 0 0 9
3900 0 18 0 0 0 9
3960 0 18 0 0 0 9
4020 0 18 0 0 0 9
4080 0 18 0 0 0 9
4140 0 18 0 0 0 9
4200 0 17 1 0 0 8
4260 0 18 0 0 0 9
4320 0 18 0 0 0 9
4380 0 18 0 0 0 9
4440 0 18 0 0 0 9
4500 0 18 0 0 0 9
4560 0 18 0 0 0 9
4620 0 18 0 0 0 9
4680 0 17 1 0 0 8
4740 0 18 0 0 0 9
4800 0 18 0 0 0 9
4860 0 18 0 0 0 9
4920 0 18 0 0 0 9
4980 0 18 0 0 0 9
5040 0 18 0 0 0 9
5100 0 17 1 0 0 8
5160 1 16 2 0 0 7
5220 1 17 1 0 0 8
5280 0 18 0 0 0 9
5340 0 17 1 0 0 8
5400 1 18 0 0 0 9
5460 1 18 0 1 0 9
5520 0 17 1 0 0 8
5580 0 18 0 0 0 9
5640 0 18 0 0 0 9
5700 0 18 0 0 0 9
5760 0 18 0 0 0 9
5820 0 18 0 1 0 9
5880 0 17 1 0 0 8
5940 2 18 0 0 0 9
6000 1 17 1 0 0 8
6060 1 17 1 0 0 8
6120 0 17 1 0 0 8
6180 0 18 0 0 0 9
6240 0 18 0 0 0 9
6300 0 18 0 0 0 9
6360 0 18 0 0 0 9
6420 0 17 1 0 0 8
6480 0 18 0 0 0 9
6540 0 18 0 0 0 9
6600 0 17 1 0 0 8
6660 0 18 0 0 0 9
6720 0 18 0 0 0 9
6780 0 16 2 0 0 7
6840 0 18 0 0 0 9
6900 1 18 0 0 0 9
6960 1 18 0 0 0 9
7020 3 18 0 0 0 9
7080 1 18 0 0 0 9
7140 2 18 0 0 0 9
7200 2 18 0 0 0 9
7260 2 18 0 0 0 9
7320 2 18 0 0 0 9
7380 2 17 1 0 0 8
7440 2 18 0 0 0 9
7500 2 18 0 0 0 9
7560 2 18 0 0 0 9
7620 2 18 0 0 0 9
7680 2 18 0 0 0 9
7740 2 18 0 0 0 9
7800 1 18 0 0 0 9
7860 0 17 1 0 1 7
7920 0 18 0 0 0 9
7980 1 18 0 0 0 9
8040 0 17 1 0 0 8
8100 0 18 0 0 0 9
8160 0 17 1 0 0 8
8220 1 17 1 0 0 8
8280 0 17 1 0 0 8
8340 0 18 0 0 0 9
8400 0 17 1 0 0 8
8460 0 18 0 0 0 9
8520 1 18 0 0 0 9
8580 1 18 0 0 0 9
8640 0 18 0 0 0 9
8700 0 18 0 0 0 9
8760 1 18 0 0 0 9
8820 0 17 1 0 0 8
8880 0 17 1 0 0 8
8940 0 18 0 0 0 9
9000 0 18 0 0 0 9
9060 0 18 0 0 0 9
9120 0 18 0 1 0 9
9180 0 17 1 0 0 8
9240 0 18 0 0 0 9
9300 1 17 1 0 0 8
9360 1 17 1 0 0 8
9420 0 16 2 0 0 7
9480 0 18 0 0 0 9
