time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 18 0 78 0 9
180 0 18 0 75 0 9
240 0 18 0 75 0 9
300 0 18 0 72 0 9
360 0 18 0 67 0 9
420 0 18 0 66 0 9
480 0 18 0 61 0 9
540 0 18 0 61 0 9
600 0 18 0 60 0 9
660 0 18 0 58 0 9
720 0 17 1 54 0 8
780 0 18 0 54 0 9
840 0 18 0 54 0 9
900 0 17 1 51 0 8
960 0 18 0 48 0 9
1020 0 18 0 48 0 9
1080 0 17 1 47 0 8
1140 0 18 0 46 0 9
1200 0 17 1 44 0 8
1260 0 18 0 41 0 9
1320 0 18 0 40 0 9
1380 0 18 0 39 0 9
1440 0 18 0 38 0 9
1500 0 18 0 36 0 9
1560 0 18 0 35 0 9
1620 0 17 1 33 0 8
1680 0 17 1 33 0 8
1740 0 17 1 33 0 8
1800 0 18 0 27 0 9
1860 0 18 0 27 0 9
1920 0 18 0 24 0 9
1980 0 18 0 24 0 9
2040 0 18 0 22 0 9
2100 0 17 1 22 0 8
2160 0 18 0 19 0 9
2220 0 18 0 19 0 9
2280 0 18 0 17 0 9
2340 0 18 0 16 0 9
2400 0 18 0 15 0 9
2460 0 18 0 13 0 9
2520 0 17 1 11 0 8
2580 0 18 0 9 0 9
2640 0 18 0 8 0 9
2700 0 17 1 7 0 8
2760 0 18 0 6 0 9
2820 1 18 0 5 0 9
2880 0 18 0 4 0 9
2940 0 18 0 4 0 9
3000 0 18 0 3 0 9
3060 0 18 0 1 0 9
3120 0 18 0 0 0 9
3180 0 18 0 0 0 9
3240 0 18 0 0 0 9
3300 0 18 0 0 0 9
3360 1 18 0 0 0 9
3420 1 17 1 0 0 8
3480 0 18 0 0 0 9
3540 0 18 0 0 0 9
3600 0 18 0 0 0 9
3660 0 17 1 0 0 8
3720 0 18 0 0 0 9
3780 0 18 0 0 0 9
3840 0 16 2 1 0 7
3900 0 17 1 0 0 8
3960 0 17 1 0 0 8
4020 0 18 0 0 0 9
4080 0 18 0 0 0 9
4140 0 17 1 0 0 8
4200 1 18 0 0 0 9
4260 2 18 0 0 0 9
4320 3 18 0 0 0 9
4380 1 17 1 0 0 8
4440 2 18 0 0 0 9
4500 1 18 0 0 0 9
4560 0 17 1 0 0 8
4620 0 18 0 0 0 9
4680 0 18 0 0 0 9
4740 0 18 0 0 0 9
4800 0 18 0 0 0 9
4860 0 18 0 0 0 9
4920 0 17 1 0 0 8
4980 0 18 0 0 0 9
5040 1 18 0 0 0 9
5100 0 18 0 0 0 9
5160 0 18 0 0 0 9
5220 0 17 1 0 0 8
5280 0 18 0 0 0 9
5340 1 18 0 0 0 9
5400 0 17 1 0 0 8
5460 1 18 0 0 0 9
5520 0 18 0 0 0 9
5580 0 18 0 0 0 9
5640 0 18 0 0 0 9
5700 0 17 1 0 0 8
5760 0 18 0 0 0 9
5820 0 18 0 0 0 9
5880 0 18 0 0 0 9
5940 0 18 0 0 0 9
6000 0 17 1 0 0 8
6060 1 18 0 0 0 9
6120 1 17 1 0 0 8
6180 1 18 0 0 0 9
6240 2 18 0 0 0 9
6300 2 18 0 0 0 9
6360 2 17 1 0 0 8
6420 2 18 0 0 0 9
6480 1 18 0 0 0 9
6540 3 18 0 0 0 9
6600 3 18 0 0 0 9
6660 3 18 0 0 0 9
6720 4 18 0 0 0 9
6780 4 18 0 0 0 9
6840 3 18 0 0 0 9
6900 2 18 0 0 0 9
6960 1 18 0 0 0 9
7020 2 18 0 0 0 9
7080 1 18 0 0 0 9
7140 1 18 0 0 0 9
7200 1 17 1 0 0 8
7260 1 18 0 0 0 9
7320 1 18 0 0 0 9
7380 0 18 0 0 0 9
7440 0 18 0 0 0 9
7500 0 16 2 0 0 7
7560 0 18 0 0 0 9
7620 0 18 0 0 0 9
7680 0 18 0 0 0 9
7740 0 18 0 0 0 9
7800 0 18 0 0 0 9
7860 0 18 0 0 0 9
7920 1 16 2 0 0 7
7980 1 18 0 0 0 9
8040 1 18 0 0 0 9
8100 2 18 0 0 0 9
8160 3 18 0 0 0 9
8220 3 16 2 0 0 7
8280 3 18 0 0 0 9
8340 3 18 0 0 0 9
8400 3 18 0 0 0 9
8460 3 18 0 0 0 9
8520 2 18 0 0 0 9
8580 1 18 0 0 0 9
