D,k,intermediate_state
1e-16,1e-09,0.333117
1e-16,1.2e-08,0.559148
1e-16,2.3e-08,0.721334
1e-16,3.4e-08,0.761094
1e-16,4.5e-08,0.775963
1e-16,5.6e-08,0.783051
1e-16,6.7e-08,0.786966
1e-16,7.8e-08,0.789352
1e-16,8.9e-08,0.790912
1e-16,1e-07,0.791988
2.78256e-16,1e-09,0.333117
2.78256e-16,1.2e-08,0.379440
2.78256e-16,2.3e-08,0.606536
2.78256e-16,3.4e-08,0.702088
2.78256e-16,4.5e-08,0.741104
2.78256e-16,5.6e-08,0.760210
2.78256e-16,6.7e-08,0.770888
2.78256e-16,7.8e-08,0.777436
2.78256e-16,8.9e-08,0.781734
2.78256e-16,1e-07,0.784704
7.74264e-16,1e-09,0.333117
7.74264e-16,1.2e-08,0.333489
7.74264e-16,2.3e-08,0.419848
7.74264e-16,3.4e-08,0.565665
7.74264e-16,4.5e-08,0.652298
7.74264e-16,5.6e-08,0.699820
7.74264e-16,6.7e-08,0.727617
7.74264e-16,7.8e-08,0.745050
7.74264e-16,8.9e-08,0.756638
7.74264e-16,1e-07,0.764708
2.15443e-15,1e-09,0.333117
2.15443e-15,1.2e-08,0.333117
2.15443e-15,2.3e-08,0.335460
2.15443e-15,3.4e-08,0.383959
2.15443e-15,4.5e-08,0.477952
2.15443e-15,5.6e-08,0.561100
2.15443e-15,6.7e-08,0.620678
2.15443e-15,7.8e-08,0.661863
2.15443e-15,8.9e-08,0.690709
2.15443e-15,1e-07,0.711429
5.99484e-15,1e-09,0.333117
5.99484e-15,1.2e-08,0.333117
5.99484e-15,2.3e-08,0.333117
5.99484e-15,3.4e-08,0.333605
5.99484e-15,4.5e-08,0.344294
5.99484e-15,5.6e-08,0.380761
5.99484e-15,6.7e-08,0.435633
5.99484e-15,7.8e-08,0.492765
5.99484e-15,8.9e-08,0.543302
5.99484e-15,1e-07,0.585030
1.6681e-14,1e-09,0.333117
1.6681e-14,1.2e-08,0.333117
1.6681e-14,2.3e-08,0.333117
1.6681e-14,3.4e-08,0.333117
1.6681e-14,4.5e-08,0.333123
1.6681e-14,5.6e-08,0.333521
1.6681e-14,6.7e-08,0.336989
1.6681e-14,7.8e-08,0.348284
1.6681e-14,8.9e-08,0.369671
1.6681e-14,1e-07,0.399262
4.64159e-14,1e-09,0.333117
4.64159e-14,1.2e-08,0.333117
4.64159e-14,2.3e-08,0.333117
4.64159e-14,3.4e-08,0.333117
4.64159e-14,4.5e-08,0.333117
4.64159e-14,5.6e-08,0.333117
4.64159e-14,6.7e-08,0.333117
4.64159e-14,7.8e-08,0.333132
4.64159e-14,8.9e-08,0.333305
4.64159e-14,1e-07,0.334168
1.29155e-13,1e-09,0.333117
1.29155e-13,1.2e-08,0.333117
1.29155e-13,2.3e-08,0.333117
1.29155e-13,3.4e-08,0.333117
1.29155e-13,4.5e-08,0.333117
1.29155e-13,5.6e-08,0.333117
1.29155e-13,6.7e-08,0.333117
1.29155e-13,7.8e-08,0.333117
1.29155e-13,8.9e-08,0.333117
1.29155e-13,1e-07,0.333117
3.59381e-13,1e-09,0.333117
3.59381e-13,1.2e-08,0.333117
3.59381e-13,2.3e-08,0.333117
3.59381e-13,3.4e-08,0.333117
3.59381e-13,4.5e-08,0.333117
3.59381e-13,5.6e-08,0.333117
3.59381e-13,6.7e-08,0.333117
3.59381e-13,7.8e-08,0.333117
3.59381e-13,8.9e-08,0.333117
3.59381e-13,1e-07,0.333117
1e-12,1e-09,0.333117
1e-12,1.2e-08,0.333117
1e-12,2.3e-08,0.333117
1e-12,3.4e-08,0.333117
1e-12,4.5e-08,0.333117
1e-12,5.6e-08,0.333117
1e-12,6.7e-08,0.333117
1e-12,7.8e-08,0.333117
1e-12,8.9e-08,0.333117
1e-12,1e-07,0.333117
