time CaMKII* CaMKII6 CaMKII7 PP1
10 0 100 0.0 4
15 0 100 0.0 4
20 0 100 0.0 0
25 0 100 0.0 3
30 0 100 0.0 2
35 0 100 0.0 0
40 0 100 0.0 1
45 0 100 0.0 4
50 0 100 0.0 9
55 0 100 0.0 3
60 0 100 0.0 1
65 0 100 0.0 8
70 0 100 0.0 9
75 0 100 0.0 2
80 0 100 0.0 5
85 0 100 0.0 1
90 0 100 0.0 2
95 0 100 0.0 3
100 0 100 0.0 3
105 0 100 0.0 1
110 0 100 0.0 4
115 0 100 0.0 6
120 0 100 0.0 9
125 0 100 0.0 5
130 0 100 0.0 2
135 0 100 0.0 0
140 0 100 0.0 0
145 0 100 0.0 3
150 0 100 0.0 5
155 0 100 0.0 4
160 0 100 0.0 2
165 0 100 0.0 4
170 0 100 0.0 4
175 0 100 0.0 1
180 0 100 0.0 2
185 0 100 0.0 3
190 0 100 0.0 0
195 0 100 0.0 3
200 0 100 0.0 0
205 0 100 0.0 1
210 0 100 0.0 0
215 0 100 0.0 2
220 0 100 0.0 0
225 0 100 0.0 3
230 0 100 0.0 0
235 0 100 0.0 3
240 0 100 0.0 5
245 0 100 0.0 7
250 0 100 0.0 3
255 0 100 0.0 0
260 0 100 0.0 1
265 0 100 0.0 1
270 0 100 0.0 1
275 0 100 0.0 4
280 0 100 0.0 1
285 0 100 0.0 4
290 0 100 0.0 0
295 0 100 0.0 2
300 0 100 0.0 4
305 0 100 0.0 2
310 0 100 0.0 3
315 0 100 0.0 1
320 0 100 0.0 0
325 0 100 0.0 2
330 0 100 0.0 2
335 0 100 0.0 3
340 0 100 0.0 4
345 0 100 0.0 2
350 0 100 0.0 1
355 0 100 0.0 0
360 0 100 0.0 2
365 0 100 0.0 0
370 0 100 0.0 4
375 0 100 0.0 9
380 0 100 0.0 0
385 0 100 0.0 1
390 0 100 0.0 5
395 0 100 0.0 1
400 0 100 0.0 11
405 0 100 0.0 1
410 0 100 0.0 0
415 0 100 0.0 1
420 0 100 0.0 0
425 0 100 0.0 1
430 0 100 0.0 1
435 0 100 0.0 2
440 0 100 0.0 4
445 0 100 0.0 1
450 0 100 0.0 2
455 0 100 0.0 1
460 0 100 0.0 8
465 0 100 0.0 4
470 0 100 0.0 0
475 0 100 0.0 5
480 0 100 0.0 5
485 0 100 0.0 5
490 0 100 0.0 0
495 0 100 0.0 0
500 0 100 0.0 1
505 0 100 0.0 1
510 0 100 0.0 1
515 0 100 0.0 1
520 0 100 0.0 2
525 0 100 0.0 2
530 0 100 0.0 5
535 0 100 0.0 0
540 0 100 0.0 9
545 0 100 0.0 2
550 0 100 0.0 6
555 0 100 0.0 0
560 0 100 0.0 5
565 0 100 0.0 3
570 0 100 0.0 1
575 0 100 0.0 4
580 0 100 0.0 0
585 0 100 0.0 8
590 0 100 0.0 4
595 0 100 0.0 7
600 0 100 0.0 0
605 0 100 0.0 2
610 0 100 0.0 0
615 0 100 0.0 4
620 0 100 0.0 5
625 0 100 0.0 3
630 0 100 0.0 0
635 0 100 0.0 0
640 0 100 0.0 2
645 0 100 0.0 1
650 0 100 0.0 3
655 0 100 0.0 1
660 0 100 0.0 0
665 0 100 0.0 3
670 0 100 0.0 0
675 0 100 0.0 3
680 0 100 0.0 4
685 0 100 0.0 3
690 0 100 0.0 6
695 0 100 0.0 1
700 0 100 0.0 0
705 0 100 0.0 1
710 0 100 0.0 1
715 0 100 0.0 2
720 0 100 0.0 1
725 0 100 0.0 0
730 0 100 0.0 4
735 0 100 0.0 1
740 0 100 0.0 6
745 0 100 0.0 0
750 0 100 0.0 9
755 0 100 0.0 1
760 0 100 0.0 0
765 0 100 0.0 4
770 0 100 0.0 2
775 0 100 0.0 3
780 0 100 0.0 2
785 0 100 0.0 1
790 0 100 0.0 3
795 0 100 0.0 0
800 0 100 0.0 3
805 0 100 0.0 0
810 0 100 0.0 0
815 0 100 0.0 2
820 0 100 0.0 3
825 0 100 0.0 1
830 0 100 0.0 0
835 0 100 0.0 0
840 0 100 0.0 5
845 0 100 0.0 4
850 0 100 0.0 6
855 0 100 0.0 10
860 0 100 0.0 7
865 0 100 0.0 2
870 0 100 0.0 3
875 0 100 0.0 0
880 0 100 0.0 1
885 0 100 0.0 2
890 0 100 0.0 1
895 0 100 0.0 2
900 0 100 0.0 2
905 0 100 0.0 2
910 0 100 0.0 2
915 0 100 0.0 6
920 0 100 0.0 0
925 0 100 0.0 0
930 0 100 0.0 0
935 0 100 0.0 5
940 0 100 0.0 7
945 0 100 0.0 0
950 0 100 0.0 2
955 0 100 0.0 1
960 0 100 0.0 4
965 0 100 0.0 1
970 0 100 0.0 1
975 0 100 0.0 5
980 0 100 0.0 1
985 0 100 0.0 7
990 0 100 0.0 0
995 0 100 0.0 2
1000 0 100 0.0 1
1005 74 100 0.0 0
1010 90 100 0.0 0
1015 85 100 0.0 0
1020 75 100 0.0 1
1025 75 100 0.0 0
1030 72 100 0.0 0
1035 68 100 0.0 0
1040 61 100 0.0 0
1045 57 100 0.0 0
1050 51 100 0.0 1
1055 45 100 0.0 0
1060 44 100 0.0 0
1065 43 100 0.0 3
1070 37 100 0.0 3
1075 37 100 0.0 0
1080 36 100 0.0 1
1085 32 100 0.0 0
1090 28 100 0.0 3
1095 28 100 0.0 1
1100 23 100 0.0 0
1105 14 100 0.0 0
1110 13 100 0.0 0
1115 9 100 0.0 5
1120 6 100 0.0 0
1125 4 100 0.0 5
1130 2 100 0.0 1
1135 2 100 0.0 2
1140 1 100 0.0 8
1145 1 100 0.0 8
1150 0 100 0.0 0
1155 0 100 0.0 0
1160 0 100 0.0 0
1165 0 100 0.0 0
1170 0 100 0.0 6
1175 0 100 0.0 4
1180 0 100 0.0 5
1185 0 100 0.0 0
1190 0 100 0.0 0
1195 0 100 0.0 0
1200 0 100 0.0 10
1205 0 100 0.0 2
1210 0 100 0.0 2
1215 0 100 0.0 3
1220 0 100 0.0 1
1225 0 100 0.0 7
1230 0 100 0.0 3
1235 0 100 0.0 4
1240 0 100 0.0 2
1245 0 100 0.0 1
1250 0 100 0.0 1
1255 0 100 0.0 4
1260 0 100 0.0 1
1265 0 100 0.0 5
1270 0 100 0.0 4
1275 0 100 0.0 3
1280 0 100 0.0 6
1285 0 100 0.0 0
1290 0 100 0.0 3
1295 0 100 0.0 1
1300 0 100 0.0 1
1305 0 100 0.0 1
1310 0 100 0.0 0
1315 0 100 0.0 2
1320 0 100 0.0 1
1325 0 100 0.0 3
1330 0 100 0.0 5
1335 0 100 0.0 6
1340 0 100 0.0 2
1345 0 100 0.0 1
1350 0 100 0.0 8
1355 0 100 0.0 3
1360 0 100 0.0 0
1365 0 100 0.0 4
1370 0 100 0.0 0
1375 0 100 0.0 5
1380 0 100 0.0 4
1385 0 100 0.0 1
1390 0 100 0.0 1
1395 0 100 0.0 2
1400 0 100 0.0 6
1405 0 100 0.0 1
1410 0 100 0.0 7
1415 0 100 0.0 2
1420 0 100 0.0 2
1425 0 100 0.0 1
1430 0 100 0.0 5
1435 0 100 0.0 2
1440 0 100 0.0 5
1445 0 100 0.0 1
1450 0 100 0.0 8
1455 0 100 0.0 2
1460 0 100 0.0 4
1465 0 100 0.0 5
1470 0 100 0.0 3
1475 0 100 0.0 7
1480 0 100 0.0 2
1485 0 100 0.0 6
1490 0 100 0.0 6
1495 0 100 0.0 1
1500 0 100 0.0 3
1505 0 100 0.0 4
1510 0 100 0.0 2
1515 0 100 0.0 5
1520 0 100 0.0 6
1525 0 100 0.0 6
1530 0 100 0.0 5
1535 0 100 0.0 0
1540 0 100 0.0 0
1545 0 100 0.0 2
1550 0 100 0.0 4
1555 0 100 0.0 2
1560 0 100 0.0 1
1565 0 100 0.0 1
1570 0 100 0.0 1
1575 0 100 0.0 1
1580 0 100 0.0 0
1585 0 100 0.0 5
1590 0 100 0.0 1
1595 0 100 0.0 4
1600 0 100 0.0 10
1605 0 100 0.0 8
1610 0 100 0.0 7
1615 0 100 0.0 7
1620 0 100 0.0 3
1625 0 100 0.0 5
1630 0 100 0.0 0
1635 0 100 0.0 4
1640 0 100 0.0 6
1645 0 100 0.0 4
1650 0 100 0.0 6
1655 0 100 0.0 3
1660 0 100 0.0 4
1665 0 100 0.0 0
1670 0 100 0.0 1
1675 0 100 0.0 4
1680 0 100 0.0 1
1685 0 100 0.0 0
1690 0 100 0.0 14
1695 0 100 0.0 2
1700 0 100 0.0 2
1705 0 100 0.0 5
1710 0 100 0.0 8
1715 0 100 0.0 1
1720 0 100 0.0 2
1725 0 100 0.0 4
1730 0 100 0.0 6
1735 0 100 0.0 0
1740 0 100 0.0 0
1745 0 100 0.0 5
1750 0 100 0.0 12
1755 0 100 0.0 0
1760 0 100 0.0 2
1765 0 100 0.0 2
1770 0 100 0.0 2
1775 0 100 0.0 0
1780 0 100 0.0 4
1785 0 100 0.0 4
1790 0 100 0.0 3
1795 0 100 0.0 12
1800 0 100 0.0 1
1805 0 100 0.0 0
1810 0 100 0.0 4
1815 0 100 0.0 7
1820 0 100 0.0 4
1825 0 100 0.0 8
1830 0 100 0.0 2
1835 0 100 0.0 5
1840 0 100 0.0 2
1845 0 100 0.0 4
1850 0 100 0.0 8
1855 0 100 0.0 1
1860 0 100 0.0 0
1865 0 100 0.0 5
1870 0 100 0.0 2
