time CaMKII* CaMKII6 CaMKII7 PP1 x y time CaMKII* CaMKII6 CaMKII7 PP1
10 0 66 34 0 154783 1752934 10 0 100 0.0 4
15 0 80 20 0 154783 1752934 15 0 100 0.0 4
20 0 83 17 0 154783 1752934 20 0 100 0.0 0
25 0 87 13 0 154783 1752934 25 0 100 0.0 3
30 0 86 14 0 154783 1752934 30 0 100 0.0 2
35 0 86 14 0 154783 1752934 35 0 100 0.0 0
40 0 90 10 0 154783 1752934 40 0 100 0.0 1
45 0 85 15 0 154783 1752934 45 0 100 0.0 4
50 0 84 16 0 154783 1752934 50 0 100 0.0 9
55 0 87 13 0 154783 1752934 55 0 100 0.0 3
60 0 80 20 1 154783 1752934 60 0 100 0.0 1
65 0 77 23 0 154783 1752934 65 0 100 0.0 8
70 0 80 20 0 154783 1752934 70 0 100 0.0 9
75 0 86 14 0 154783 1752934 75 0 100 0.0 2
80 0 79 21 1 154783 1752934 80 0 100 0.0 5
85 0 87 13 1 154783 1752934 85 0 100 0.0 1
90 0 84 16 1 154783 1752934 90 0 100 0.0 2
95 0 86 14 0 154783 1752934 95 0 100 0.0 3
100 0 87 13 0 154783 1752934 100 0 100 0.0 3
105 0 86 14 0 154783 1752934 105 0 100 0.0 1
110 0 82 18 0 154783 1752934 110 0 100 0.0 4
115 0 88 12 1 154783 1752934 115 0 100 0.0 6
120 0 85 15 0 154783 1752934 120 0 100 0.0 9
125 0 82 18 0 154783 1752934 125 0 100 0.0 5
130 0 86 14 0 154783 1752934 130 0 100 0.0 2
135 0 82 18 0 154783 1752934 135 0 100 0.0 0
140 0 83 17 0 154783 1752934 140 0 100 0.0 0
145 0 84 16 0 154783 1752934 145 0 100 0.0 3
150 0 87 13 1 154783 1752934 150 0 100 0.0 5
155 0 89 11 1 154783 1752934 155 0 100 0.0 4
160 0 83 17 0 154783 1752934 160 0 100 0.0 2
165 0 86 14 0 154783 1752934 165 0 100 0.0 4
170 0 85 15 0 154783 1752934 170 0 100 0.0 4
175 0 84 16 0 154783 1752934 175 0 100 0.0 1
180 0 87 13 0 154783 1752934 180 0 100 0.0 2
185 0 89 11 0 154783 1752934 185 0 100 0.0 3
190 0 85 15 0 154783 1752934 190 0 100 0.0 0
195 0 87 13 0 154783 1752934 195 0 100 0.0 3
200 0 85 15 0 154783 1752934 200 0 100 0.0 0
205 0 91 9 0 154783 1752934 205 0 100 0.0 1
210 0 88 12 0 154783 1752934 210 0 100 0.0 0
