Dpp,Dsub,KL_divergence,ks_p,is_bistable,mean_activity
1e-14,1e-15,1.5413105283838737,0.0,0,1.0
2e-14,1e-15,1.5279980128217452,0.0,0,1.0
5e-14,1e-15,1.4640841791554735,0.0,0,1.0
1e-13,1e-15,1.4048739143836828,0.0,0,0.9994540518753469
2e-13,1e-15,0.9152295058383497,0.0,10,0.932631747525249
5e-13,1e-15,0.22841367776079385,0.0,10,0.5867948434404666
1e-12,1e-15,0.04271104067539079,1.2033103296916835e-150,10,0.256381399324866
1e-14,3e-15,1.5392563881774217,0.0,0,1.0
2e-14,3e-15,1.5123361492459577,0.0,0,1.0
5e-14,3e-15,1.4725862890266468,0.0,0,1.0
1e-13,3e-15,1.4189461619478818,0.0,0,1.0
2e-13,3e-15,0.7579451458625283,0.0,10,0.9066417859473348
5e-13,3e-15,0.2712073739801224,0.0,10,0.6128493348224625
1e-12,3e-15,0.09632123170205212,0.0,10,0.3783837220944232
1e-14,1e-14,1.5344877897949871,0.0,0,1.0
2e-14,1e-14,1.504612759185666,0.0,0,1.0
5e-14,1e-14,1.4690547697945184,0.0,0,1.0
1e-13,1e-14,1.4287083566926233,0.0,0,1.0
2e-13,1e-14,1.2573111754445878,0.0,0,0.9890394970221198
5e-13,1e-14,0.13394242734310305,0.0,10,0.47003606995865965
1e-12,1e-14,0.026570849900068916,4.7756173406704265e-12,10,0.004067458257912582
1e-14,3e-14,1.5298397328519042,0.0,0,1.0
2e-14,3e-14,1.507550919654895,0.0,0,1.0
5e-14,3e-14,1.485371575216386,0.0,0,1.0
1e-13,3e-14,1.29355918403822,0.0,0,0.9941393532826989
2e-13,3e-14,0.9807398106751917,0.0,10,0.9671726655940115
5e-13,3e-14,0.36966406669873375,0.0,10,0.7172542427316437
1e-12,3e-14,0.07172052573566937,2.889184703325392e-232,10,0.30207735121824636
1e-14,1e-13,1.528342526595111,0.0,0,1.0
2e-14,1e-13,1.5282145686962867,0.0,0,1.0
5e-14,1e-13,1.482914102837328,0.0,0,1.0
1e-13,1e-13,1.31504145463256,0.0,0,0.9944766628616459
2e-13,1e-13,0.8999277052346448,0.0,10,0.9423415578023412
5e-13,1e-13,0.3635541363147104,0.0,10,0.7123078071353933
1e-12,1e-13,0.022811727184238087,4.634943383369804e-58,10,0.15222694733825232
1e-14,3e-13,1.5329285651111315,0.0,0,1.0
2e-14,3e-13,1.5205124856525318,0.0,0,1.0
5e-14,3e-13,1.453367248727961,0.0,0,1.0
1e-13,3e-13,1.4355954703772134,0.0,0,1.0
2e-13,3e-13,0.934808166731405,0.0,10,0.9378767059766353
5e-13,3e-13,0.1418310288778608,0.0,10,0.45910521979976265
1e-12,3e-13,0.009073429520571503,1.275969280079286e-29,10,0.09686466893413381
1e-14,1e-12,1.5297269925423056,0.0,0,1.0
2e-14,1e-12,1.5346656335448063,0.0,0,1.0
5e-14,1e-12,1.504721009271596,0.0,0,1.0
1e-13,1e-12,1.3255994136131497,0.0,0,0.9957205780562887
2e-13,1e-12,1.166808762294346,0.0,0,0.9785274818078903
5e-13,1e-12,0.306545980714507,0.0,10,0.6267135370048584
1e-12,1e-12,0.1104951623314134,0.0,10,0.4088533951870996
