time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 5 1 0 0 2
180 0 6 0 0 0 3
240 0 4 2 0 0 1
300 0 4 2 0 0 1
360 0 5 1 0 0 2
420 0 4 2 0 0 1
480 0 5 1 0 0 2
540 0 6 0 0 0 3
600 0 6 0 0 0 3
660 0 4 2 0 0 1
720 0 5 1 0 0 2
780 0 5 1 0 0 2
840 0 6 0 0 0 3
900 0 5 1 0 0 2
960 0 4 2 0 0 1
1020 0 5 1 0 0 2
1080 0 5 1 0 0 2
1140 0 5 1 0 0 2
1200 0 4 2 0 0 1
1260 0 6 0 0 0 3
1320 0 5 1 0 0 2
1380 0 5 1 0 0 2
1440 0 5 1 0 0 2
1500 0 6 0 0 0 3
1560 0 4 2 0 0 1
1620 0 5 1 0 0 2
1680 0 5 1 0 0 2
1740 0 4 2 0 0 1
1800 0 4 2 0 0 1
1860 0 4 2 0 0 1
1920 0 4 2 0 0 1
1980 0 4 2 0 0 1
2040 0 5 1 0 0 2
2100 0 5 1 0 0 2
2160 0 5 1 0 0 2
2220 0 5 1 0 0 2
2280 0 6 0 0 0 3
2340 0 5 1 0 0 2
2400 0 6 0 0 1 2
2460 0 5 1 0 0 2
2520 0 5 1 0 0 2
2580 0 5 1 0 1 1
2640 0 5 1 0 1 1
2700 0 6 0 0 0 3
2760 0 4 2 0 0 1
2820 0 4 2 0 0 1
2880 0 5 1 0 0 2
2940 0 5 1 0 0 2
3000 0 5 1 0 0 2
3060 0 5 1 0 0 2
3120 0 4 2 0 0 1
3180 0 5 1 0 0 2
3240 0 4 2 0 0 1
3300 0 5 1 0 0 2
3360 0 5 1 0 0 2
3420 0 5 1 0 0 2
3480 0 5 1 0 0 2
3540 0 6 0 0 0 3
3600 0 4 2 0 0 1
3660 0 5 1 0 0 2
3720 0 5 1 0 0 2
3780 0 4 2 0 0 1
3840 0 5 1 0 0 2
3900 0 5 1 0 0 2
3960 0 5 1 0 0 2
4020 0 5 1 0 0 2
4080 0 5 1 0 0 2
4140 0 4 2 0 0 1
4200 0 4 2 0 0 1
4260 0 3 3 0 0 0
4320 0 5 1 0 0 2
4380 0 5 1 0 0 2
4440 0 4 2 0 0 1
4500 0 5 1 0 0 2
4560 0 4 2 0 0 1
4620 0 4 2 0 0 1
4680 0 4 2 0 0 1
4740 0 4 2 0 0 1
4800 0 3 3 0 0 0
4860 0 5 1 0 0 2
4920 0 6 0 0 0 3
4980 0 4 2 0 0 1
5040 0 4 2 0 0 1
5100 0 5 1 0 0 2
5160 0 4 2 0 0 1
5220 0 5 1 0 0 2
5280 0 4 2 0 0 1
5340 0 5 1 0 0 2
5400 0 5 1 0 0 2
5460 0 5 1 0 0 2
5520 0 3 3 0 0 0
5580 0 5 1 0 0 2
5640 0 5 1 0 0 2
5700 0 5 1 0 0 2
5760 0 6 0 0 0 3
5820 0 4 2 0 0 1
5880 0 5 1 0 0 2
5940 0 4 2 0 0 1
6000 0 3 3 0 0 0
6060 0 5 1 0 0 2
6120 0 4 2 0 0 1
6180 0 5 1 0 0 2
6240 0 5 1 0 0 2
6300 0 5 1 0 0 2
6360 0 6 0 0 0 3
6420 0 4 2 0 0 1
6480 0 5 1 0 0 2
6540 0 5 1 0 0 2
6600 0 5 1 0 0 2
6660 0 5 1 0 0 2
6720 0 5 1 0 0 2
6780 0 5 1 0 0 2
6840 0 5 1 0 0 2
6900 0 6 0 0 0 3
6960 0 3 3 0 0 0
7020 0 4 2 0 0 1
7080 0 5 1 0 0 2
7140 0 5 1 0 0 2
7200 0 6 0 0 0 3
7260 0 6 0 0 0 3
7320 0 6 0 0 0 3
7380 0 5 1 0 0 2
7440 0 5 1 0 0 2
7500 0 6 0 0 0 3
7560 0 5 1 0 0 2
7620 0 5 1 0 0 2
7680 0 5 1 0 0 2
7740 0 5 1 0 0 2
7800 0 4 2 0 0 1
7860 0 4 2 0 0 1
7920 0 5 1 0 0 2
7980 0 6 0 0 0 3
8040 0 4 2 0 0 1
8100 0 4 2 0 0 1
8160 0 4 2 0 0 1
8220 0 5 1 0 0 2
8280 0 5 1 0 0 2
8340 0 4 2 0 0 1
8400 0 5 1 0 0 2
8460 0 5 1 0 0 2
8520 0 6 0 0 0 3
8580 0 5 1 0 0 2
8640 0 3 3 0 0 0
8700 0 3 3 0 0 0
8760 0 6 0 0 1 2
8820 0 5 1 0 1 1
8880 0 4 2 0 0 1
8940 0 4 2 0 0 1
9000 0 6 0 0 1 2
9060 0 4 2 0 1 0
9120 0 6 0 0 1 2
9180 0 6 0 0 0 3
9240 0 4 2 0 0 1
9300 0 5 1 0 0 2
9360 0 3 3 0 0 0
9420 0 3 3 0 0 0
9480 0 5 1 0 0 2
9540 0 6 0 0 0 3
9600 0 6 0 0 0 3
9660 0 4 2 0 0 1
9720 0 4 2 0 0 1
9780 0 3 3 0 0 0
9840 0 4 2 0 0 1
9900 0 5 1 0 0 2
9960 0 5 1 0 0 2
10020 0 4 2 0 0 1
10080 0 6 0 0 0 3
10140 0 4 2 0 0 1
10200 0 6 0 0 0 3
10260 0 4 2 0 0 1
10320 0 5 1 0 0 2
10380 0 5 1 0 0 2
10440 0 6 0 0 0 3
10500 0 5 1 0 0 2
10560 0 5 1 0 0 2
10620 0 4 2 0 0 1
10680 0 5 1 0 0 2
10740 0 5 1 0 0 2
10800 0 4 2 0 0 1
10860 0 3 3 0 0 0
10920 0 4 2 0 0 1
10980 0 4 2 0 0 1
11040 0 5 1 0 0 2
11100 0 5 1 0 0 2
11160 0 3 3 0 0 0
11220 0 6 0 0 0 3
11280 0 5 1 0 0 2
11340 0 4 2 0 0 1
11400 0 5 1 0 0 2
11460 0 5 1 0 0 2
11520 0 3 3 0 0 0
11580 0 5 1 0 0 2
11640 0 5 1 0 0 2
11700 0 5 1 0 0 2
11760 0 5 1 0 0 2
11820 0 4 2 0 0 1
11880 0 5 1 0 0 2
11940 0 6 0 0 0 3
12000 0 4 2 0 0 1
12060 0 5 1 0 0 2
12120 0 5 1 0 0 2
12180 0 5 1 0 0 2
12240 0 6 0 0 0 3
12300 0 4 2 0 0 1
12360 0 4 2 0 0 1
12420 0 5 1 0 0 2
12480 0 5 1 0 0 2
12540 0 6 0 0 0 3
12600 0 4 2 0 0 1
12660 0 4 2 0 0 1
12720 0 6 0 0 0 3
12780 0 4 2 0 0 1
12840 0 4 2 0 0 1
12900 0 5 1 0 0 2
12960 0 4 2 0 0 1
13020 0 5 1 0 0 2
13080 0 5 1 0 0 2
13140 0 5 1 0 0 2
13200 0 5 1 0 0 2
13260 0 4 2 0 1 0
13320 0 6 0 0 1 2
13380 0 6 0 0 2 1
13440 0 6 0 0 1 2
13500 0 5 1 0 0 2
13560 0 5 1 0 0 2
13620 0 4 2 0 0 1
13680 0 6 0 0 0 3
13740 0 5 1 0 0 2
13800 0 5 1 0 0 2
13860 0 5 1 0 0 2
13920 0 4 2 0 0 1
13980 0 4 2 0 0 1
14040 0 6 0 0 0 3
14100 0 6 0 0 1 2
14160 0 5 1 0 0 2
14220 1 4 2 0 0 1
14280 0 4 2 0 0 1
14340 0 6 0 0 0 3
14400 0 5 1 0 0 2
14460 0 5 1 0 0 2
14520 0 5 1 0 0 2
14580 0 6 0 0 0 2
14640 0 5 1 0 0 2
14700 0 5 1 0 0 2
14760 0 5 1 0 0 2
14820 0 4 2 0 0 1
14880 0 5 1 0 0 2
14940 0 6 0 0 0 3
15000 0 6 0 0 0 3
15060 0 4 2 0 0 1
15120 0 5 1 0 0 2
15180 0 4 2 0 0 1
15240 0 4 2 0 0 1
15300 0 4 2 0 0 1
15360 0 3 3 0 0 0
15420 0 5 1 0 0 2
15480 0 5 1 0 0 2
15540 0 5 1 0 0 2
15600 0 3 3 0 0 0
15660 1 4 2 0 0 1
15720 1 4 2 0 0 1
15780 0 6 0 0 1 2
15840 0 4 2 0 0 1
15900 0 6 0 0 2 1
15960 0 6 0 0 2 1
16020 0 5 1 0 1 1
16080 1 5 1 0 1 1
16140 2 5 1 0 0 2
16200 0 6 0 0 3 0
16260 1 5 1 0 0 2
16320 1 5 1 0 1 1
16380 1 4 2 0 1 0
16440 1 5 1 0 1 1
16500 1 5 1 0 1 1
16560 0 4 2 1 0 1
16620 0 5 1 0 0 2
16680 0 5 1 0 0 2
16740 0 4 2 0 0 1
16800 0 5 1 0 0 2
16860 0 6 0 0 0 3
16920 0 4 2 0 0 1
16980 0 5 1 0 0 2
17040 0 5 1 0 0 2
17100 0 4 2 0 0 1
17160 0 4 2 0 0 1
17220 0 4 2 0 0 1
17280 0 4 2 0 0 1
17340 0 5 1 0 0 2
17400 0 6 0 0 0 3
17460 0 6 0 0 0 3
17520 0 5 1 0 0 2
17580 0 4 2 0 0 1
17640 0 4 2 0 0 1
17700 0 5 1 0 0 2
17760 0 4 2 0 0 1
17820 0 3 3 0 0 0
17880 0 5 1 0 0 2
17940 0 5 1 0 0 2
18000 0 6 0 0 0 3
18060 0 5 1 0 0 2
18120 0 5 1 0 0 2
18180 0 4 2 0 0 1
18240 0 4 2 0 0 1
18300 0 4 2 0 0 1
18360 0 4 2 0 0 1
18420 0 3 3 0 0 0
18480 0 4 2 0 0 1
18540 0 5 1 0 0 2
18600 0 5 1 0 0 2
18660 0 5 1 0 0 2
18720 0 5 1 0 0 2
18780 0 5 1 0 0 2
18840 0 6 0 0 0 3
18900 0 4 2 0 0 1
18960 0 5 1 0 0 2
19020 0 5 1 0 0 2
19080 0 5 1 0 0 2
19140 0 5 1 0 0 2
19200 0 4 2 0 0 1
19260 0 3 3 0 0 0
19320 0 5 1 0 0 2
19380 0 4 2 0 0 1
19440 0 6 0 0 0 3
19500 0 5 1 0 0 2
19560 0 4 2 0 0 1
19620 0 4 2 0 0 1
19680 0 5 1 0 0 2
19740 0 3 3 0 0 0
19800 0 5 1 0 0 2
19860 0 5 1 0 0 2
19920 0 5 1 0 0 2
19980 0 5 1 0 0 2
20040 0 5 1 0 0 2
20100 0 5 1 0 0 2
20160 0 5 1 0 0 2
20220 0 3 3 0 0 0
20280 0 4 2 0 0 1
20340 0 5 1 0 0 2
20400 0 6 0 0 0 3
20460 0 4 2 0 0 1
20520 0 5 1 0 0 2
20580 0 5 1 0 0 2
20640 0 6 0 0 1 2
20700 0 5 1 0 1 1
20760 0 4 2 0 0 1
20820 0 6 0 0 0 3
20880 0 6 0 0 0 3
20940 0 4 2 0 0 1
21000 0 5 1 0 1 1
21060 1 5 1 0 0 2
21120 0 3 3 0 0 0
21180 0 5 1 0 0 2
21240 0 4 2 0 0 1
21300 0 5 1 0 0 2
21360 0 4 2 0 0 1
21420 0 5 1 0 0 2
21480 0 5 1 0 0 2
21540 0 4 2 0 0 1
21600 0 6 0 0 0 3
21660 0 4 2 0 0 1
21720 0 5 1 0 0 2
21780 0 3 3 0 0 0
21840 0 3 3 0 0 0
21900 0 3 3 0 0 0
21960 0 4 2 0 0 1
22020 0 5 1 0 0 2
22080 0 4 2 0 0 1
22140 0 5 1 1 0 2
22200 0 4 2 0 0 1
22260 0 5 1 0 0 2
22320 0 5 1 0 0 2
22380 0 3 3 0 0 0
22440 0 5 1 0 0 2
22500 0 5 1 0 0 2
22560 0 4 2 0 0 1
22620 0 3 3 0 0 0
22680 0 3 3 0 0 0
22740 0 4 2 0 0 1
22800 0 4 2 0 0 1
22860 0 4 2 0 0 1
22920 0 5 1 0 0 2
22980 0 4 2 0 0 1
23040 0 4 2 0 0 1
23100 0 5 1 0 0 2
23160 0 5 1 0 0 2
23220 0 5 1 0 0 2
23280 0 6 0 0 0 3
23340 0 4 2 0 0 1
23400 0 4 2 0 0 1
23460 0 5 1 0 0 2
23520 0 3 3 0 0 0
23580 0 5 1 0 0 2
23640 0 4 2 0 0 1
23700 0 4 2 0 0 1
23760 0 5 1 0 0 2
23820 0 5 1 0 0 2
23880 0 4 2 0 0 1
23940 1 5 1 0 0 2
24000 1 4 2 0 0 1
24060 0 3 3 0 0 0
24120 0 5 1 0 0 2
24180 0 5 1 0 0 2
24240 0 6 0 0 0 3
24300 0 5 1 0 0 2
24360 0 4 2 0 0 1
24420 0 4 2 0 0 1
24480 0 5 1 0 0 2
24540 0 5 1 0 0 2
24600 0 4 2 0 0 1
24660 0 5 1 0 0 2
24720 0 4 2 0 0 1
24780 0 5 1 0 0 2
24840 0 5 1 0 0 2
24900 0 5 1 0 0 2
24960 0 6 0 0 0 3
25020 0 5 1 0 0 2
25080 0 4 2 0 0 1
25140 0 4 2 0 0 1
25200 0 5 1 0 0 2
25260 0 4 2 0 0 1
25320 0 5 1 0 0 2
25380 0 6 0 0 0 3
25440 0 5 1 0 0 2
25500 0 4 2 0 0 1
25560 0 5 1 0 0 2
25620 0 6 0 0 0 3
25680 0 5 1 0 0 2
25740 0 4 2 0 0 1
25800 0 5 1 0 0 2
25860 0 3 3 0 0 0
25920 0 5 1 0 0 2
25980 0 4 2 0 0 1
26040 0 5 1 0 0 2
26100 0 4 2 0 0 1
26160 0 4 2 0 0 1
26220 0 5 1 0 0 2
26280 0 5 1 0 0 2
26340 0 5 1 0 0 2
26400 0 4 2 0 0 1
26460 0 5 1 0 0 2
26520 0 5 1 0 0 2
26580 0 3 3 0 0 0
26640 0 4 2 0 0 1
26700 0 5 1 0 0 2
26760 0 4 2 0 0 1
26820 0 3 3 0 0 0
26880 0 5 1 0 0 2
26940 0 4 2 0 0 1
27000 0 3 3 0 0 0
27060 0 4 2 0 0 1
27120 0 6 0 0 0 3
27180 0 4 2 0 0 1
27240 0 5 1 0 0 2
27300 0 5 1 0 0 2
27360 0 6 0 0 0 3
27420 0 4 2 0 0 1
27480 0 5 1 0 0 2
27540 0 5 1 0 0 2
27600 0 5 1 0 0 2
27660 0 4 2 0 0 1
27720 0 5 1 0 0 2
27780 0 4 2 0 0 1
27840 0 4 2 0 0 1
27900 0 6 0 0 0 3
27960 0 5 1 0 0 2
28020 0 5 1 0 1 1
28080 0 5 1 0 0 2
28140 0 5 1 0 0 2
28200 0 4 2 0 0 1
28260 0 4 2 0 0 1
28320 0 4 2 0 0 1
28380 0 5 1 0 0 2
28440 0 5 1 0 0 2
28500 0 5 1 0 0 2
28560 0 5 1 0 0 2
28620 0 5 1 0 0 2
28680 0 5 1 0 0 2
28740 0 4 2 0 0 1
28800 0 5 1 0 0 2
28860 0 4 2 0 0 1
28920 0 6 0 0 0 3
28980 0 5 1 0 0 2
29040 0 3 3 0 0 0
29100 0 5 1 0 0 2
29160 0 4 2 0 0 1
29220 0 5 1 0 0 2
29280 0 5 1 0 0 2
29340 0 4 2 0 0 1
29400 0 4 2 0 0 1
29460 0 5 1 0 0 2
29520 0 6 0 0 0 3
29580 0 4 2 0 0 1
29640 0 3 3 0 0 0
29700 0 5 1 0 0 2
29760 0 5 1 0 0 2
29820 0 5 1 0 0 2
29880 0 5 1 0 0 2
29940 0 4 2 0 0 1
30000 0 6 0 0 0 3
30060 0 5 1 0 0 2
30120 0 5 1 0 0 2
30180 0 4 2 0 0 1
30240 0 5 1 0 0 2
30300 0 5 1 0 0 2
30360 0 5 1 0 0 2
30420 0 5 1 0 0 2
30480 0 4 2 0 0 1
30540 0 4 2 0 0 1
30600 0 4 2 0 0 1
30660 0 5 1 0 0 2
30720 0 6 0 0 0 3
30780 0 3 3 0 0 0
30840 0 5 1 0 0 2
30900 0 5 1 0 0 2
30960 0 6 0 0 0 3
31020 0 5 1 0 0 2
31080 0 4 2 0 0 1
31140 0 5 1 0 0 2
31200 0 4 2 0 0 1
31260 0 4 2 0 0 1
31320 0 5 1 0 0 2
31380 0 4 2 0 0 1
31440 0 4 2 0 0 1
31500 0 6 0 0 0 3
31560 0 5 1 0 0 2
31620 0 4 2 0 0 1
31680 0 6 0 0 0 3
31740 0 5 1 0 0 2
31800 0 5 1 0 0 2
31860 0 5 1 0 0 2
31920 0 6 0 0 0 3
31980 0 5 1 0 0 2
32040 0 4 2 0 0 1
32100 0 4 2 0 0 1
32160 0 4 2 0 0 1
32220 0 4 2 0 0 1
32280 0 5 1 0 0 2
32340 0 5 1 0 0 2
32400 0 5 1 0 0 2
32460 0 3 3 0 0 0
32520 0 6 0 0 0 3
32580 0 6 0 0 0 3
32640 0 6 0 0 0 3
32700 0 4 2 0 0 1
32760 0 4 2 0 0 1
32820 0 4 2 0 0 1
32880 0 4 2 0 0 1
32940 0 5 1 0 0 2
33000 0 4 2 0 0 1
33060 0 5 1 0 0 2
33120 0 4 2 0 0 1
33180 0 4 2 0 0 1
33240 0 5 1 0 0 2
33300 0 5 1 0 0 2
33360 0 6 0 0 0 3
33420 0 3 3 0 0 0
33480 0 4 2 0 0 1
33540 0 5 1 0 0 2
33600 0 5 1 0 0 2
33660 0 4 2 0 0 1
33720 0 4 2 0 0 1
33780 0 6 0 0 0 3
33840 0 3 3 0 0 0
33900 0 6 0 0 0 3
33960 0 5 1 0 0 2
34020 0 4 2 0 0 1
34080 0 6 0 0 0 3
34140 0 5 1 0 0 2
34200 0 5 1 0 0 2
34260 0 4 2 0 0 1
34320 0 6 0 0 0 3
34380 0 6 0 0 0 3
34440 0 5 1 0 0 2
34500 0 6 0 0 0 3
34560 0 4 2 0 0 1
34620 0 3 3 0 0 0
34680 0 6 0 0 0 3
34740 0 3 3 0 0 0
