time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 8 0 0 0 4
180 0 8 0 0 0 4
240 0 8 0 0 0 4
300 0 8 0 0 0 4
360 0 7 1 0 0 3
420 0 8 0 0 0 4
480 0 8 0 0 0 4
540 0 8 0 0 0 4
600 0 8 0 0 0 4
660 0 8 0 0 0 4
720 0 7 1 0 0 3
780 0 8 0 0 0 4
840 0 7 1 0 1 2
900 1 8 0 0 1 3
960 1 8 0 0 0 4
1020 1 8 0 0 2 2
1080 1 8 0 0 1 3
1140 0 8 0 0 0 4
1200 0 8 0 0 1 3
1260 0 8 0 0 0 4
1320 0 6 2 0 0 2
1380 0 8 0 0 0 4
1440 1 8 0 0 0 4
1500 1 8 0 0 0 4
1560 1 8 0 0 0 4
1620 0 7 1 0 3 0
1680 1 8 0 0 1 3
1740 2 8 0 0 1 3
1800 2 8 0 0 2 2
1860 1 8 0 0 0 4
1920 2 7 1 0 1 2
1980 3 8 0 0 0 4
2040 3 8 0 0 0 4
2100 3 8 0 0 2 2
2160 3 8 0 0 1 3
2220 4 8 0 0 1 3
2280 3 8 0 0 2 2
2340 3 7 1 0 1 2
2400 3 8 0 0 3 1
2460 3 8 0 0 0 4
2520 2 8 0 0 0 4
2580 4 8 0 0 1 3
2640 4 8 0 0 1 3
2700 4 8 0 0 2 2
2760 5 8 0 0 3 1
2820 5 8 0 0 0 4
2880 4 8 0 0 0 4
2940 4 8 0 0 3 1
3000 5 8 0 0 3 1
3060 3 8 0 0 2 2
3120 3 8 0 0 2 2
3180 3 8 0 0 2 2
3240 3 8 0 0 2 2
3300 3 8 0 0 3 1
3360 3 8 0 0 2 2
3420 4 8 0 0 2 2
3480 5 8 0 0 1 3
3540 6 8 0 0 1 3
3600 6 8 0 0 1 3
3660 4 8 0 0 0 4
3720 3 8 0 0 1 3
3780 4 8 0 0 1 3
3840 4 8 0 0 2 2
3900 5 8 0 0 2 2
3960 2 8 0 0 1 3
4020 4 7 1 0 1 2
4080 3 8 0 0 2 2
4140 7 8 0 0 0 4
4200 6 8 0 0 2 2
4260 7 8 0 0 1 3
4320 6 8 0 0 1 3
4380 7 8 0 0 1 3
4440 7 8 0 0 1 3
4500 3 8 0 0 1 3
4560 3 8 0 0 3 1
4620 4 8 0 0 2 2
4680 3 8 0 0 0 4
4740 3 8 0 0 0 4
4800 3 8 0 0 2 2
4860 3 8 0 0 3 1
4920 3 8 0 0 2 2
4980 3 8 0 0 3 1
5040 4 8 0 0 3 1
5100 4 8 0 0 2 2
5160 5 8 0 0 2 2
5220 5 8 0 0 2 2
5280 6 8 0 0 4 0
5340 7 8 0 0 4 0
5400 7 8 0 0 2 2
5460 7 8 0 0 3 1
5520 6 8 0 0 4 0
5580 8 8 0 0 2 2
5640 8 8 0 0 2 2
5700 8 8 0 0 2 2
5760 8 8 0 0 3 1
5820 8 8 0 0 3 1
5880 8 8 0 0 4 0
5940 8 8 0 0 4 0
6000 8 8 0 0 3 1
6060 8 8 0 0 2 2
6120 7 8 0 0 2 2
6180 7 8 0 0 1 3
6240 7 8 0 0 2 2
6300 8 8 0 0 2 2
6360 5 8 0 0 0 4
6420 6 8 0 0 3 1
6480 6 8 0 0 2 2
6540 5 8 0 0 0 4
6600 5 8 0 0 2 2
6660 5 8 0 0 4 0
6720 5 8 0 0 2 2
6780 6 8 0 0 3 1
6840 6 8 0 0 4 0
6900 6 8 0 0 3 1
6960 0 8 0 0 2 2
7020 2 8 0 0 1 3
7080 3 8 0 0 2 2
7140 2 8 0 0 2 2
7200 2 8 0 0 0 4
7260 0 8 0 1 0 4
7320 0 8 0 1 0 4
7380 0 8 0 0 0 4
7440 0 8 0 0 0 4
7500 0 8 0 0 0 4
7560 0 8 0 0 0 4
7620 0 8 0 0 0 4
7680 0 8 0 0 0 4
7740 0 8 0 0 0 4
7800 0 8 0 0 0 4
7860 0 8 0 0 0 4
7920 0 8 0 0 0 4
7980 0 8 0 0 0 4
8040 0 8 0 0 0 4
8100 0 8 0 0 1 3
8160 0 8 0 0 0 4
8220 0 8 0 0 0 4
8280 0 8 0 0 1 3
8340 0 8 0 0 2 2
8400 0 8 0 0 1 3
8460 2 8 0 0 1 3
8520 2 8 0 0 1 3
8580 1 8 0 0 0 4
8640 1 8 0 0 1 3
8700 1 8 0 0 1 3
8760 1 8 0 0 1 3
8820 1 8 0 0 1 3
8880 1 8 0 0 2 2
8940 2 8 0 0 1 3
9000 0 8 0 0 0 4
9060 0 8 0 0 0 4
9120 0 8 0 0 0 4
9180 0 8 0 0 0 4
9240 0 8 0 0 0 4
9300 0 8 0 0 1 3
9360 0 8 0 0 0 4
9420 0 8 0 0 0 4
9480 0 8 0 0 0 4
9540 0 8 0 0 1 3
9600 0 8 0 0 0 4
9660 1 8 0 0 0 4
9720 0 7 1 0 0 3
9780 0 8 0 0 0 4
9840 0 8 0 0 0 4
9900 0 8 0 0 0 4
9960 0 8 0 0 0 4
10020 0 8 0 0 0 4
10080 0 8 0 0 0 4
10140 0 8 0 0 0 4
10200 0 7 1 0 0 3
10260 0 8 0 0 0 4
10320 0 7 1 0 0 3
10380 0 7 1 0 0 3
10440 0 8 0 0 0 4
10500 0 8 0 0 0 4
10560 0 8 0 0 0 4
10620 0 8 0 0 0 4
10680 0 8 0 0 0 4
10740 0 8 0 0 0 4
10800 0 8 0 0 0 4
10860 0 8 0 0 1 3
10920 0 8 0 0 1 3
10980 0 8 0 1 0 4
11040 0 5 3 0 0 1
11100 0 8 0 0 0 4
11160 0 7 1 0 0 3
11220 0 7 1 0 0 3
11280 0 8 0 1 0 4
11340 0 8 0 0 0 4
11400 0 8 0 0 0 4
11460 0 8 0 0 0 4
11520 0 8 0 0 0 4
11580 0 8 0 0 1 3
11640 0 8 0 0 0 4
11700 0 8 0 0 1 3
11760 2 8 0 0 2 2
11820 2 8 0 0 2 2
11880 4 8 0 0 1 3
11940 3 8 0 0 1 3
12000 3 7 1 0 2 1
12060 3 7 1 0 1 2
12120 4 8 0 0 2 2
12180 4 7 1 0 1 2
12240 5 8 0 0 1 3
12300 6 8 0 0 2 2
12360 7 8 0 0 2 2
12420 8 8 0 0 1 3
12480 8 8 0 0 1 3
12540 8 8 0 0 3 1
12600 8 8 0 0 4 0
12660 8 8 0 0 4 0
12720 8 8 0 0 4 0
12780 8 8 0 0 4 0
12840 8 8 0 0 4 0
12900 7 8 0 0 4 0
12960 7 8 0 0 4 0
13020 8 8 0 0 3 1
13080 8 7 1 0 0 2
13140 7 8 0 0 3 1
13200 4 8 0 0 0 4
13260 6 8 0 0 2 2
13320 7 8 0 0 3 1
13380 7 8 0 0 2 2
13440 8 8 0 0 1 3
13500 8 8 0 0 3 1
13560 8 8 0 0 3 1
13620 8 8 0 0 4 0
13680 8 8 0 0 4 0
13740 7 8 0 0 2 2
13800 6 8 0 0 2 2
13860 6 8 0 0 2 2
13920 7 8 0 0 2 2
13980 7 8 0 0 2 2
14040 7 8 0 0 3 1
14100 7 8 0 0 4 0
14160 7 8 0 0 3 1
14220 7 8 0 0 2 2
14280 7 8 0 0 2 2
14340 4 7 1 0 0 3
14400 4 8 0 0 2 2
14460 2 8 0 0 0 4
14520 2 8 0 0 1 3
14580 2 8 0 0 3 1
14640 3 8 0 0 3 1
14700 3 8 0 0 3 1
14760 3 8 0 0 2 2
14820 3 8 0 0 1 3
14880 3 8 0 0 2 2
14940 1 8 0 0 3 1
15000 2 8 0 0 3 1
15060 0 7 1 0 0 3
15120 0 8 0 1 0 4
15180 0 8 0 0 0 4
15240 0 8 0 0 0 4
15300 0 8 0 0 0 4
15360 0 8 0 0 0 4
15420 0 8 0 0 0 4
15480 0 8 0 0 0 4
15540 0 8 0 0 0 4
15600 0 7 1 0 0 3
15660 0 8 0 0 0 4
15720 0 8 0 0 0 4
15780 0 8 0 0 0 4
15840 0 7 1 0 0 3
15900 1 8 0 0 0 4
15960 0 8 0 0 3 1
16020 0 8 0 0 2 2
16080 0 8 0 0 1 3
16140 1 8 0 0 1 3
16200 0 7 1 0 0 3
16260 0 8 0 0 0 4
16320 0 8 0 0 0 4
16380 0 8 0 0 0 4
16440 0 8 0 0 0 4
16500 0 8 0 0 0 4
16560 0 8 0 0 0 4
16620 0 8 0 0 0 4
16680 0 8 0 0 0 4
16740 0 8 0 0 0 4
16800 0 8 0 0 0 4
16860 0 8 0 0 0 4
16920 1 8 0 0 0 4
16980 2 8 0 0 0 4
17040 0 8 0 0 0 4
17100 0 8 0 0 0 4
17160 0 8 0 0 1 3
17220 0 8 0 0 0 4
17280 0 8 0 0 0 4
17340 0 8 0 0 1 3
17400 0 8 0 0 0 4
17460 0 8 0 0 2 2
17520 1 8 0 0 1 3
17580 2 8 0 0 1 3
17640 1 8 0 0 2 2
17700 1 8 0 0 2 2
17760 1 8 0 0 1 3
17820 1 8 0 0 1 3
17880 0 8 0 0 0 4
17940 0 8 0 0 0 4
18000 0 8 0 0 0 4
18060 0 8 0 0 0 4
18120 0 8 0 0 0 4
18180 0 8 0 0 0 4
18240 0 8 0 0 0 4
18300 1 8 0 0 0 4
18360 2 8 0 0 2 2
18420 0 8 0 0 0 4
18480 0 8 0 0 1 3
18540 1 8 0 0 1 3
18600 1 8 0 0 2 2
18660 0 8 0 0 0 4
18720 0 8 0 0 0 4
18780 0 8 0 1 0 4
18840 0 8 0 0 0 4
18900 0 8 0 0 0 4
18960 0 8 0 0 0 4
19020 0 8 0 0 1 3
19080 0 8 0 0 0 4
19140 0 8 0 0 1 3
19200 1 7 1 0 1 2
19260 0 8 0 0 0 4
19320 2 8 0 0 0 4
19380 2 8 0 0 0 4
19440 2 8 0 0 2 2
19500 0 8 0 0 1 3
19560 2 8 0 0 1 3
19620 0 8 0 0 2 2
19680 1 8 0 0 2 2
19740 2 8 0 0 1 3
19800 5 8 0 0 1 3
19860 3 8 0 0 1 3
19920 3 8 0 0 0 4
19980 3 8 0 0 2 2
20040 3 8 0 0 2 2
20100 3 7 1 0 0 3
20160 3 8 0 0 1 3
20220 4 8 0 0 0 4
20280 3 8 0 0 1 3
20340 3 8 0 0 2 2
20400 3 8 0 0 2 2
20460 2 8 0 0 0 4
20520 3 8 0 0 0 4
20580 1 8 0 0 1 3
20640 0 8 0 0 1 3
20700 1 8 0 0 0 4
20760 0 8 0 0 0 4
20820 0 8 0 0 0 4
20880 0 8 0 0 0 4
20940 0 7 1 0 0 3
21000 0 8 0 0 0 4
21060 0 8 0 0 0 4
21120 0 8 0 0 0 4
21180 0 8 0 0 0 4
21240 0 8 0 0 0 4
21300 0 8 0 0 0 4
21360 0 8 0 0 0 4
21420 0 8 0 0 1 3
21480 0 8 0 0 0 4
21540 0 8 0 0 0 4
21600 0 8 0 0 0 4
21660 1 8 0 0 0 4
21720 3 8 0 0 2 2
21780 4 8 0 0 1 3
21840 4 8 0 0 1 3
21900 4 8 0 0 1 3
21960 0 7 1 1 0 3
22020 0 7 1 0 0 3
22080 0 8 0 0 0 4
22140 0 7 1 0 0 3
22200 0 8 0 0 0 4
22260 0 8 0 0 0 4
22320 0 8 0 0 0 4
22380 0 8 0 0 0 4
22440 0 8 0 0 0 4
22500 0 8 0 0 0 4
22560 1 8 0 0 1 3
22620 0 8 0 0 0 4
22680 0 8 0 0 1 3
22740 0 8 0 0 1 3
22800 2 7 1 0 0 3
22860 2 8 0 0 0 4
22920 2 8 0 0 1 3
22980 3 8 0 0 1 3
23040 1 8 0 0 1 3
23100 2 8 0 0 1 3
23160 2 8 0 0 1 3
23220 3 8 0 0 3 1
23280 3 8 0 0 3 1
23340 5 8 0 0 0 4
23400 6 8 0 0 2 2
23460 6 8 0 0 3 1
23520 6 8 0 0 2 2
23580 6 8 0 0 1 3
23640 6 8 0 0 2 2
23700 6 7 1 0 1 2
23760 6 8 0 0 3 1
23820 6 8 0 0 4 0
23880 6 7 1 0 2 1
23940 5 8 0 0 0 4
24000 5 8 0 0 1 3
24060 6 8 0 0 3 1
24120 6 8 0 0 4 0
24180 6 8 0 0 3 1
24240 6 8 0 0 3 1
24300 6 8 0 0 3 1
24360 6 7 1 0 3 0
24420 6 8 0 0 4 0
24480 7 8 0 0 3 1
24540 8 8 0 0 4 0
24600 8 8 0 0 4 0
24660 8 8 0 0 4 0
24720 8 7 1 0 2 1
24780 1 7 1 0 1 2
24840 3 8 0 0 2 2
24900 3 8 0 0 3 1
24960 4 8 0 0 1 3
25020 5 8 0 0 0 4
25080 4 8 0 0 1 3
25140 5 8 0 0 3 1
25200 5 8 0 0 3 1
25260 5 8 0 0 2 2
25320 7 8 0 0 1 3
25380 7 8 0 0 2 2
25440 1 8 0 0 0 4
25500 2 8 0 0 0 4
25560 0 8 0 0 0 4
25620 0 8 0 0 0 4
