Dpp,Dsub,KL_divergence,ks_p,is_bistable,mean_activity
1e-14,1e-15,0.928089366762554,0.0,0,1.0
2e-14,1e-15,0.9119151977588357,0.0,0,1.0
5e-14,1e-15,0.8706380557877074,0.0,0,1.0
1e-13,1e-15,0.7722514925226718,0.0,0,0.9938601091647142
2e-13,1e-15,0.5996432799876903,0.0,10,0.9609171888938338
5e-13,1e-15,0.22556797878353518,0.0,10,0.6884363650032185
1e-12,1e-15,0.08451807541803828,0.0,10,0.4605888217662246
2e-12,1e-15,0.04337388204410701,5.4798783119368015e-241,10,0.33860181454656235
5e-12,1e-15,0.12772061247268068,0.0,10,0.6129300526847478
1e-14,3e-15,0.9169252211048112,0.0,0,1.0
2e-14,3e-15,0.9092330067182994,0.0,0,1.0
5e-14,3e-15,0.8369629500664613,0.0,0,0.997579527048036
1e-13,3e-15,0.8666232041971369,0.0,0,1.0
2e-13,3e-15,0.7052862913216965,0.0,10,0.9711206664275772
5e-13,3e-15,0.323686032805792,0.0,10,0.7827966620766141
1e-12,3e-15,0.004499444060490585,2.0577470580706283e-10,10,0.027519982546936682
2e-12,3e-15,0.01628202399662428,7.124311102766518e-84,10,0.1831870934572909
5e-12,3e-15,0.09878935683932605,0.0,10,0.5466330579013684
1e-14,1e-14,0.9180404490790264,0.0,0,1.0
2e-14,1e-14,0.9178610912726999,0.0,0,1.0
5e-14,1e-14,0.8848337089148852,0.0,0,1.0
1e-13,1e-14,0.8561597713383214,0.0,0,0.9995305055821848
2e-13,1e-14,0.6450810045480122,0.0,10,0.9557312566596385
5e-13,1e-14,0.1346801847211899,0.0,10,0.5762668037019361
1e-12,1e-14,0.1201748958700485,0.0,10,0.5198465601186982
2e-12,1e-14,0.12121139485562085,0.0,10,0.5702295483684309
5e-12,1e-14,0.19096459736264065,0.0,10,0.7655535327782892
1e-14,3e-14,0.9153975262883883,0.0,0,1.0
2e-14,3e-14,0.9092644994446604,0.0,0,1.0
5e-14,3e-14,0.8805151533751086,0.0,0,0.9996916832899098
1e-13,3e-14,0.8406255787475579,0.0,0,1.0
2e-13,3e-14,0.5835909157829163,0.0,10,0.9473497016172643
5e-13,3e-14,0.14944386014577016,0.0,10,0.5890457868750902
1e-12,3e-14,0.0853502814960093,0.0,10,0.44435028841391166
2e-12,3e-14,0.0009607087551561453,0.30629315395492684,10,0.007575906309586504
5e-12,3e-14,0.0066555020238333144,5.042443480568794e-10,10,0.007185538896412393
1e-14,1e-13,0.9058610504066693,0.0,0,1.0
2e-14,1e-13,0.9103443358149946,0.0,0,1.0
5e-14,1e-13,0.8885664720138925,0.0,0,1.0
1e-13,1e-13,0.7251409274559123,0.0,0,0.9897851254153138
2e-13,1e-13,0.5309137332929568,0.0,10,0.9286456038071902
5e-13,1e-13,0.05915708803472862,7.8e-322,10,0.3986946430599065
1e-12,1e-13,0.07881302054856826,0.0,10,0.4185364996691295
2e-12,1e-13,0.10270628243137976,0.0,10,0.5448314646129018
5e-12,1e-13,0.007320935919245802,1.2717599858392905e-22,10,0.0452623699452167
1e-14,3e-13,0.9268482226623203,0.0,0,1.0
2e-14,3e-13,0.9175234888768378,0.0,0,1.0
5e-14,3e-13,0.9033123373343425,0.0,0,1.0
1e-13,3e-13,0.8426706795268963,0.0,0,1.0
2e-13,3e-13,0.5842456423149093,0.0,10,0.9609504900872474
5e-13,3e-13,0.2157169952426708,0.0,10,0.6583037498141694
1e-12,3e-13,0.031472909200472035,1.4469889858217563e-60,10,0.05519528868493776
2e-12,3e-13,0.1704155985424679,0.0,10,0.6811392001259486
5e-12,3e-13,0.013357035398504129,1.0653684212471603e-72,10,0.19140503535431647
1e-14,1e-12,0.9177761029033308,0.0,0,1.0
2e-14,1e-12,0.9126259905211587,0.0,0,1.0
5e-14,1e-12,0.8908062902309701,0.0,0,1.0
1e-13,1e-12,0.8474544067404141,0.0,0,1.0
2e-13,1e-12,0.5582951781977968,0.0,10,0.927436609459644
5e-13,1e-12,0.07276135488632458,0.0,10,0.4266350509032794
1e-12,1e-12,0.021419839696474912,6.84437325650909e-112,10,0.2065857210385087
2e-12,1e-12,0.026436275291320567,1.0368268754510455e-153,10,0.22942512377002938
5e-12,1e-12,0.13000882121101465,0.0,10,0.6325887177339649
