D N AvgCaMKII
1e-16 6 5.30507
1e-16 7.33333 6.20817
1e-16 8.66667 7.11127
1e-16 10 7.54536
1e-16 11.3333 7.82313
1e-16 12.6667 8.10089
1e-16 14 8.37866
1e-16 15.3333 8.65642
1e-16 16.6667 8.93419
1e-16 18 9.21195
1.43845e-16 6 5.30847
1.43845e-16 7.33333 6.29079
1.43845e-16 8.66667 7.19389
1.43845e-16 10 7.70582
1.43845e-16 11.3333 8.01635
1.43845e-16 12.6667 8.29412
1.43845e-16 14 8.57188
1.43845e-16 15.3333 8.84965
1.43845e-16 16.6667 9.12741
1.43845e-16 18 9.40518
2.06914e-16 6 5.31188
2.06914e-16 7.33333 6.37342
2.06914e-16 8.66667 7.27651
2.06914e-16 10 7.78844
2.06914e-16 11.3333 8.16998
2.06914e-16 12.6667 8.48735
2.06914e-16 14 8.76511
2.06914e-16 15.3333 9.04288
2.06914e-16 16.6667 9.32064
2.06914e-16 18 9.59841
2.97635e-16 6 5.31528
2.97635e-16 7.33333 6.44137
2.97635e-16 8.66667 7.35914
2.97635e-16 10 7.87106
2.97635e-16 11.3333 8.25261
2.97635e-16 12.6667 8.63415
2.97635e-16 14 8.95834
2.97635e-16 15.3333 9.2361
2.97635e-16 16.6667 9.51387
2.97635e-16 18 9.79163
4.28133e-16 6 5.31868
4.28133e-16 7.33333 6.44477
4.28133e-16 8.66667 7.44176
4.28133e-16 10 7.95369
4.28133e-16 11.3333 8.33523
4.28133e-16 12.6667 8.71677
4.28133e-16 14 9.09831
4.28133e-16 15.3333 9.42933
4.28133e-16 16.6667 9.70709
4.28133e-16 18 9.98486
6.15848e-16 6 5.32208
6.15848e-16 7.33333 6.44817
6.15848e-16 8.66667 7.52438
6.15848e-16 10 8.03631
6.15848e-16 11.3333 8.41785
6.15848e-16 12.6667 8.79939
6.15848e-16 14 9.18093
6.15848e-16 15.3333 9.56247
6.15848e-16 16.6667 9.90032
6.15848e-16 18 10.1781
8.85867e-16 6 5.32548
8.85867e-16 7.33333 6.45157
8.85867e-16 8.66667 7.57766
8.85867e-16 10 8.11893
8.85867e-16 11.3333 8.50047
8.85867e-16 12.6667 8.88202
8.85867e-16 14 9.26356
8.85867e-16 15.3333 9.6451
8.85867e-16 16.6667 10.0266
8.85867e-16 18 10.3713
1.27427e-15 6 5.73827
1.27427e-15 7.33333 6.86436
1.27427e-15 8.66667 7.97744
1.27427e-15 10 8.53191
1.27427e-15 11.3333 8.91345
1.27427e-15 12.6667 9.29499
1.27427e-15 14 9.67653
1.27427e-15 15.3333 10.0581
1.27427e-15 16.6667 10.4224
1.27427e-15 18 10.7687
1.83298e-15 6 6.35575
1.83298e-15 7.33333 7.48184
1.83298e-15 8.66667 8.55559
1.83298e-15 10 9.11006
1.83298e-15 11.3333 9.49161
1.83298e-15 12.6667 9.87315
1.83298e-15 14 10.2292
1.83298e-15 15.3333 10.5756
1.83298e-15 16.6667 10.9219
1.83298e-15 18 11.2682
2.63665e-15 6 6.97323
2.63665e-15 7.33333 8.06047
2.63665e-15 8.66667 9.13374
2.63665e-15 10 9.68822
2.63665e-15 11.3333 10.0361
2.63665e-15 12.6667 10.3824
2.63665e-15 14 10.7287
2.63665e-15 15.3333 11.0751
2.63665e-15 16.6667 11.4214
2.63665e-15 18 11.7677
3.79269e-15 6 7.58897
3.79269e-15 7.33333 8.7234
3.79269e-15 8.66667 9.79867
3.79269e-15 10 10.3267
3.79269e-15 11.3333 10.6731
3.79269e-15 12.6667 11.0194
3.79269e-15 14 11.364
3.79269e-15 15.3333 11.6926
3.79269e-15 16.6667 12.0212
3.79269e-15 18 12.3499
5.45559e-15 6 8.31411
5.45559e-15 7.33333 9.44854
5.45559e-15 8.66667 10.5805
5.45559e-15 10 11.044
5.45559e-15 11.3333 11.3663
5.45559e-15 12.6667 11.6949
5.45559e-15 14 12.0236
5.45559e-15 15.3333 12.3522
5.45559e-15 16.6667 12.6808
5.45559e-15 18 13.0094
7.8476e-15 6 9.38902
7.8476e-15 7.33333 10.5075
7.8476e-15 8.66667 11.5672
7.8476e-15 10 12.0307
7.8476e-15 11.3333 12.2955
7.8476e-15 12.6667 12.5603
7.8476e-15 14 12.8251
7.8476e-15 15.3333 13.1129
7.8476e-15 16.6667 13.4415
7.8476e-15 18 13.7701
1.12884e-14 6 10.402
1.12884e-14 7.33333 11.4616
1.12884e-14 8.66667 12.5213
1.12884e-14 10 12.8376
1.12884e-14 11.3333 13.1024
1.12884e-14 12.6667 13.3672
1.12884e-14 14 13.632
1.12884e-14 15.3333 13.8968
1.12884e-14 16.6667 14.1616
1.12884e-14 18 14.4264
1.62378e-14 6 11.2909
1.62378e-14 7.33333 12.3506
1.62378e-14 8.66667 13.202
1.62378e-14 10 13.4482
1.62378e-14 11.3333 13.5857
1.62378e-14 12.6667 13.8144
1.62378e-14 14 14.0792
1.62378e-14 15.3333 14.344
1.62378e-14 16.6667 14.6088
1.62378e-14 18 14.8736
2.33572e-14 6 12.1799
2.33572e-14 7.33333 13.2396
2.33572e-14 8.66667 13.8434
2.33572e-14 10 14.0897
2.33572e-14 11.3333 14.2271
2.33572e-14 12.6667 14.3645
2.33572e-14 14 14.5265
2.33572e-14 15.3333 14.7913
2.33572e-14 16.6667 15.056
2.33572e-14 18 15.3208
3.35982e-14 6 13.0689
3.35982e-14 7.33333 13.9122
3.35982e-14 8.66667 14.4849
3.35982e-14 10 14.7311
3.35982e-14 11.3333 14.8685
3.35982e-14 12.6667 15.006
3.35982e-14 14 15.1434
3.35982e-14 15.3333 15.2809
3.35982e-14 16.6667 15.5033
3.35982e-14 18 15.7681
4.83293e-14 6 13.9579
4.83293e-14 7.33333 14.5537
4.83293e-14 8.66667 15.1263
4.83293e-14 10 15.3725
4.83293e-14 11.3333 15.51
4.83293e-14 12.6667 15.6474
4.83293e-14 14 15.7848
4.83293e-14 15.3333 15.9223
4.83293e-14 16.6667 16.0597
4.83293e-14 18 16.2153
6.95193e-14 6 14.4626
6.95193e-14 7.33333 14.9253
6.95193e-14 8.66667 15.4902
6.95193e-14 10 15.7365
6.95193e-14 11.3333 15.8739
6.95193e-14 12.6667 16.0114
6.95193e-14 14 16.1445
6.95193e-14 15.3333 16.2615
6.95193e-14 16.6667 16.3784
6.95193e-14 18 16.4954
1e-13 6 14.9277
1e-13 7.33333 15.3904
1e-13 8.66667 15.8531
1e-13 10 16.0564
1e-13 11.3333 16.1734
1e-13 12.6667 16.2904
1e-13 14 16.4073
1e-13 15.3333 16.5243
1e-13 16.6667 16.6412
1e-13 18 16.7582
