Dxy_50NM,mean_rise_time_50NM,std_rise_time_50NM,Dxy_60NM,mean_rise_time_60NM,std_rise_time_60NM,Dxy_70NM,mean_rise_time_70NM,std_rise_time_70NM,Dxy_80NM,mean_rise_time_80NM,std_rise_time_80NM,Dxy_90NM,mean_rise_time_90NM,std_rise_time_90NM,Dxy_100NM,mean_rise_time_100NM,std_rise_time_100NM,Dxy_120NM,mean_rise_time_120NM,std_rise_time_120NM
0.0,,,0.0,,,0.0,,,0.0,,,0.0,10.679718180672948,,0.0,9.076453365837107,,0.0,4.79389409150016,
1.0000000000000001e-20,,,1.0000000000000001e-20,,,1.0000000000000001e-20,,,1.0000000000000001e-20,,,1.0000000000000001e-20,9.713421467488422,,1.0000000000000001e-20,12.455823967653012,,1.0000000000000001e-20,3.504138717182504,
1e-19,,,1e-19,,,1e-19,,,1e-19,,,1e-19,7.049727231493847,,1e-19,9.769078787522627,,1e-19,4.140316830847765,
1e-18,,,1e-18,,,1e-18,,,1e-18,11.010402974349661,,1e-18,8.653095578131332,,1e-18,7.527943316583212,,1e-18,3.1827803888662416,
1e-17,,,1e-17,,,1e-17,,,1e-17,16.758753472836474,,1e-17,3.7288888888888887,0.7681881059020523,1e-17,2.7227777777777784,0.5278554211893748,1e-17,2.6872222222222213,0.631527004984499
1e-16,,,1e-16,,,1e-16,,,1e-16,4.012777777777779,,1e-16,2.7294444444444443,0.6386183581822616,1e-16,2.8761111111111117,0.7850514569908503,1e-16,1.5038888888888888,0.2269437372490001
9.999999999999999e-16,,,9.999999999999999e-16,,,9.999999999999999e-16,,,9.999999999999999e-16,12.410589758194588,,9.999999999999999e-16,2.0961111111111106,0.29663246265578314,9.999999999999999e-16,2.4244444444444446,0.5901352769168511,9.999999999999999e-16,1.6266666666666667,0.2739205300632347
5e-15,,,5e-15,,,5e-15,,,5e-15,10.028199880579221,,5e-15,2.3633333333333333,0.4830109684872719,5e-15,2.2127777777777777,0.4288431754567192,5e-15,1.5372222222222225,0.2872234902185637
7.999999999999999e-15,,,7.999999999999999e-15,,,7.999999999999999e-15,17.569610785044485,,7.999999999999999e-15,4.445,,7.999999999999999e-15,2.4433333333333334,0.4345645791557224,7.999999999999999e-15,1.867222222222222,0.3194455845390283,7.999999999999999e-15,1.4394444444444443,0.2685600376585476
1e-14,,,1e-14,,,1e-14,,,1e-14,12.575887578104966,,1e-14,1.9855555555555555,0.3680990708028559,1e-14,2.421666666666667,0.5265320415138481,1e-14,1.4022222222222225,0.24009375740672434
2e-14,,,2e-14,,,2e-14,,,2e-14,11.961823821969185,,2e-14,2.1,0.4334620926937777,2e-14,2.0955555555555554,0.4642693848708905,2e-14,1.4116666666666666,0.2406069742326326
5e-14,,,5e-14,,,5e-14,,,5e-14,4.263333333333334,0.5541608158978251,5e-14,2.0922222222222224,0.3724430356642675,5e-14,2.02,0.27154425781190306,5e-14,1.375,0.25732992705479224
1e-13,,,1e-13,20.25965160311249,,1e-13,,,1e-13,3.216111111111111,0.5714336016643675,1e-13,2.2983333333333333,0.5622826301539462,1e-13,1.9955555555555555,0.276871187235125,1e-13,1.3644444444444443,0.22254713053338154
1e-12,,,1e-12,,,1e-12,,,1e-12,16.029197739238132,,1e-12,2.6927777777777777,0.7230340928218504,1e-12,3.4377777777777787,0.8850317093433487,1e-12,1.45,0.23959175669572444
