n1D1e-11,n1D1e-11-std,time,n2D1e-11,n2D1e-11-std,n4D1e-11,n4D1e-11-std,n8D1e-11,n8D1e-11-std,n16D1e-11,n16D1e-11-std,n32D1e-11,n32D1e-11-std,n64D1e-11,n64D1e-11-std,n1D1e-12,n1D1e-12-std,n2D1e-12,n2D1e-12-std,n4D1e-12,n4D1e-12-std,n8D1e-12,n8D1e-12-std,n16D1e-12,n16D1e-12-std,n32D1e-12,n32D1e-12-std,n64D1e-12,n64D1e-12-std,n1D1e-13,n1D1e-13-std,n2D1e-13,n2D1e-13-std,n4D1e-13,n4D1e-13-std,n8D1e-13,n8D1e-13-std,n16D1e-13,n16D1e-13-std,n32D1e-13,n32D1e-13-std,n64D1e-13,n64D1e-13-std,n1D1e-14,n1D1e-14-std,n2D1e-14,n2D1e-14-std,n4D1e-14,n4D1e-14-std,n8D1e-14,n8D1e-14-std,n16D1e-14,n16D1e-14-std,n32D1e-14,n32D1e-14-std,n64D1e-14,n64D1e-14-std,n1D1e-15,n1D1e-15-std,n2D1e-15,n2D1e-15-std,n4D1e-15,n4D1e-15-std,n8D1e-15,n8D1e-15-std,n16D1e-15,n16D1e-15-std,n32D1e-15,n32D1e-15-std,n64D1e-15,n64D1e-15-std,n1D1e-16,n1D1e-16-std,n2D1e-16,n2D1e-16-std,n4D1e-16,n4D1e-16-std,n8D1e-16,n8D1e-16-std,n16D1e-16,n16D1e-16-std,n32D1e-16,n32D1e-16-std,n64D1e-16,n64D1e-16-std,n1D1e-17,n1D1e-17-std,n2D1e-17,n2D1e-17-std,n4D1e-17,n4D1e-17-std,n8D1e-17,n8D1e-17-std,n16D1e-17,n16D1e-17-std,n32D1e-17,n32D1e-17-std,n64D1e-17,n64D1e-17-std,n1D1e-18,n1D1e-18-std,n2D1e-18,n2D1e-18-std,n4D1e-18,n4D1e-18-std,n8D1e-18,n8D1e-18-std,n16D1e-18,n16D1e-18-std,n32D1e-18,n32D1e-18-std,n64D1e-18,n64D1e-18-std
4.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0
2.7,0.45825756949558405,0.01,2.6,0.4898979485566357,2.35,0.6538348415311009,2.1,0.5385164807134504,1.45,0.8645808232895292,1.4,0.9165151389911681,0.85,0.7262919523166975,2.25,0.7664854858377946,2.7,0.45825756949558405,2.55,0.58949130612758,2.15,0.9630680142129112,2.0,0.7745966692414834,1.3,1.1874342087037917,0.6,0.7348469228349533,2.6,0.48989794855663577,2.65,0.5722761571129799,2.75,0.4330127018922193,2.2,0.6782329983125269,1.55,0.9733961166965893,1.15,0.9630680142129111,0.35,0.6538348415311009,2.75,0.5361902647381804,2.25,0.82915619758885,2.5,0.8660254037844386,2.4,0.66332495807108,1.8,1.0295630140987,0.75,0.82915619758885,0.35,0.653834841531101,2.4,0.5830951894845302,2.7,0.45825756949558405,2.8,0.5099019513592784,2.3,0.8426149773176358,2.05,0.9205976319760985,1.4,0.9695359714832658,0.55,0.8046738469715541,2.6,0.5830951894845302,2.6,0.48989794855663577,2.7,0.45825756949558405,2.4,0.7999999999999999,2.0,1.0954451150103321,1.95,1.16081867662439,0.95,0.8046738469715541,2.55,0.58949130612758,2.5,0.5916079783099616,2.75,0.4330127018922193,2.4,0.5830951894845302,1.7,1.307669683062202,0.85,0.7262919523166975,0.9,0.99498743710662,2.45,0.7399324293474372,2.5,0.7416198487095663,2.4,0.66332495807108,2.5,0.6708203932499369,1.7,0.8426149773176358,0.95,1.0712142642814275,0.4,0.5830951894845302
2.2,0.6782329983125269,0.02,2.4,0.66332495807108,2.0,0.7745966692414834,1.4,0.8602325267042626,0.9,0.888819441731559,0.45,0.5894913061275798,0.1,0.30000000000000004,2.05,0.864580823289529,2.5,0.5,2.3,0.714142842854285,1.5,1.161895003862225,0.95,0.864580823289529,0.55,0.6689544080129827,0.05,0.21794494717703364,2.25,0.6224949798994366,2.4,0.7348469228349535,2.35,0.653834841531101,1.5,1.02469507659596,0.75,0.698212002188447,0.3,0.6403124237432848,0.15,0.3570714214271425,2.5,0.5916079783099616,2.15,0.9096702699330127,2.1,0.8888194417315589,1.6,0.7348469228349533,0.55,0.8046738469715542,0.2,0.5099019513592785,0.1,0.4358898943540673,2.0,0.5477225575051661,2.3,0.9,2.45,0.7399324293474372,1.65,0.7921489758877429,1.3,0.7810249675906654,0.5,0.7416198487095663,0.1,0.4358898943540672,2.3,0.7810249675906654,2.05,0.6689544080129826,2.5,0.5,1.65,0.852936105461599,1.15,0.9630680142129112,0.6,0.7348469228349533,0.3,0.5567764362830021,2.25,0.698212002188447,2.1,0.7681145747868608,2.35,0.7262919523166975,1.9,1.044030650891055,0.7,0.8426149773176358,0.25,0.5361902647381804,0.25,0.4330127018922193,1.95,0.864580823289529,2.25,0.8874119674649424,2.1,0.7,2.15,0.9096702699330126,1.1,0.7000000000000001,0.4,0.66332495807108,0.05,0.2179449471770336
2.05,0.739932429347437,0.03,2.15,0.7262919523166976,1.65,0.852936105461599,0.95,0.864580823289529,0.2,0.5099019513592785,0.1,0.30000000000000004,0.05,0.21794494717703367,1.85,0.7921489758877431,2.2,0.7483314773547883,1.9,0.8306623862918076,1.05,1.116915395184434,0.55,0.5894913061275798,0.1,0.30000000000000004,0.0,0.0,2.1,0.7000000000000001,2.1,0.7681145747868608,2.1,0.8306623862918076,1.1,0.99498743710662,0.35,0.47696960070847283,0.1,0.30000000000000004,0.05,0.2179449471770336,2.1,0.8306623862918076,1.75,0.82915619758885,1.75,0.9937303457175896,1.35,0.7262919523166975,0.2,0.4000000000000001,0.05,0.21794494717703367,0.05,0.21794494717703364,1.75,0.6224949798994366,1.95,0.864580823289529,1.95,0.864580823289529,1.1,0.8306623862918074,0.8,0.8717797887081348,0.15,0.3570714214271425,0.0,0.0,2.15,0.7262919523166975,1.6,0.5830951894845302,2.15,0.7921489758877431,1.05,0.8046738469715539,0.4,0.7348469228349536,0.15,0.35707142142714243,0.0,0.0,1.85,0.653834841531101,1.8,0.812403840463596,1.95,0.864580823289529,1.35,0.9630680142129111,0.25,0.5361902647381804,0.05,0.21794494717703367,0.0,0.0,1.4,0.7348469228349536,1.85,0.9630680142129112,1.7,1.004987562112089,1.6,1.1575836902790224,0.45,0.6689544080129827,0.1,0.4358898943540673,0.05,0.2179449471770336
1.8,0.6782329983125269,0.04,1.75,0.7664854858377946,1.4,0.9165151389911679,0.65,0.792148975887743,0.2,0.5099019513592785,0.0,0.0,0.0,0.0,1.5,0.7416198487095663,2.05,0.804673846971554,1.75,0.82915619758885,0.95,1.116915395184434,0.4,0.5830951894845302,0.0,0.0,0.0,0.0,1.7,0.6403124237432849,1.8,0.8717797887081347,1.8,0.8717797887081347,0.8,0.812403840463596,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,1.75,0.698212002188447,1.55,0.8046738469715542,1.45,0.8645808232895292,0.9,0.8306623862918076,0.15,0.35707142142714243,0.0,0.0,0.0,0.0,1.3,0.7810249675906654,1.5,0.806225774829855,1.65,0.8529361054615989,0.75,0.7664854858377946,0.45,0.8046738469715541,0.1,0.30000000000000004,0.0,0.0,1.95,0.864580823289529,1.4,0.5830951894845302,1.85,0.7921489758877431,0.6,0.66332495807108,0.1,0.30000000000000004,0.05,0.21794494717703355,0.0,0.0,1.65,0.6538348415311012,1.55,0.6689544080129826,1.65,0.7262919523166975,0.85,0.7262919523166975,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.6403124237432849,1.75,0.8874119674649424,1.45,1.023474474522936,1.35,1.061838029079765,0.3,0.5567764362830021,0.05,0.21794494717703364,0.0,0.0
1.6,0.66332495807108,0.05,1.6,0.7348469228349535,1.05,0.8645808232895291,0.4,0.7348469228349533,0.1,0.4358898943540673,0.0,0.0,0.0,0.0,1.25,0.8874119674649424,1.8,0.6782329983125268,1.6,0.9165151389911679,0.55,0.7399324293474372,0.3,0.4582575694955839,0.0,0.0,0.0,0.0,1.5,0.7416198487095663,1.55,0.8645808232895292,1.6,0.8,0.5,0.6708203932499369,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,1.55,0.8046738469715542,1.3,0.8426149773176359,1.35,0.9096702699330126,0.55,0.6689544080129827,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,1.25,0.82915619758885,1.35,0.7262919523166975,1.4,0.9695359714832659,0.65,0.7262919523166975,0.35,0.7262919523166974,0.0,0.0,0.0,0.0,1.7,0.8999999999999999,1.35,0.5722761571129799,1.55,0.9733961166965893,0.45,0.5894913061275798,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,1.6,0.66332495807108,1.3,0.7810249675906654,1.3,0.7810249675906655,0.45,0.49749371855331004,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.6782329983125266,1.65,0.8529361054615991,1.25,0.9420721840708386,0.9,0.7681145747868608,0.2,0.5099019513592785,0.05,0.21794494717703364,0.0,0.0
1.55,0.6689544080129826,0.06,1.4,0.66332495807108,1.0,0.8366600265340756,0.3,0.714142842854285,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,1.15,0.7921489758877431,1.65,0.7262919523166975,1.25,0.82915619758885,0.5,0.6708203932499369,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,1.45,0.8046738469715541,1.55,0.8645808232895292,1.2,0.812403840463596,0.35,0.6538348415311009,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,1.45,0.8046738469715542,1.05,0.8046738469715541,1.3,0.8426149773176358,0.4,0.5830951894845302,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,1.1,0.7681145747868608,1.2,0.6782329983125268,1.35,0.9630680142129111,0.5,0.5916079783099616,0.3,0.7141428428542849,0.0,0.0,0.0,0.0,1.5,0.8660254037844386,1.2,0.5099019513592785,1.4,1.0198039027185568,0.2,0.4000000000000001,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,1.35,0.6538348415311009,1.2,0.7483314773547882,1.15,0.7262919523166976,0.35,0.4769696007084729,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.7,1.45,0.8046738469715542,1.0,0.9486832980505138,0.55,0.5894913061275798,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.5916079783099616,0.07,1.3,0.714142842854285,0.9,0.8306623862918076,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.7921489758877431,1.55,0.6689544080129827,1.05,0.7399324293474372,0.25,0.5361902647381804,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,1.2,0.8717797887081347,1.15,0.9096702699330127,0.9,0.7681145747868608,0.25,0.5361902647381804,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,1.35,0.7262919523166975,0.9,0.7,1.2,0.8717797887081347,0.3,0.5567764362830021,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.7681145747868608,1.05,0.739932429347437,1.15,1.0136567466356647,0.25,0.4330127018922193,0.25,0.6224949798994366,0.0,0.0,0.0,0.0,1.4,0.7999999999999999,1.05,0.6689544080129827,1.1,0.9433981132056606,0.05,0.2179449471770336,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.6224949798994366,1.15,0.7262919523166975,1.05,0.739932429347437,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6324555320336759,1.05,0.804673846971554,0.85,0.9630680142129112,0.35,0.5722761571129797,0.0,0.0,0.0,0.0,0.0,0.0
1.35,0.7262919523166975,0.08,1.15,0.7262919523166976,0.6,0.66332495807108,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,0.0,0.0,1.15,0.7921489758877431,1.25,0.6224949798994366,0.75,0.6224949798994366,0.2,0.5099019513592785,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.8717797887081347,1.0,0.9486832980505138,0.7,0.6403124237432849,0.25,0.5361902647381804,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,1.3,0.714142842854285,0.7,0.714142842854285,1.1,0.888819441731559,0.25,0.5361902647381804,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.8645808232895291,1.0,0.7745966692414834,0.95,1.023474474522936,0.2,0.4,0.15,0.35707142142714243,0.0,0.0,0.0,0.0,1.15,0.7921489758877431,0.95,0.6689544080129827,0.85,0.7262919523166975,0.05,0.2179449471770336,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7071067811865476,1.05,0.6689544080129827,0.85,0.653834841531101,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.5385164807134504,0.95,0.8046738469715541,0.7,0.8426149773176359,0.3,0.5567764362830021,0.0,0.0,0.0,0.0,0.0,0.0
1.3,0.7810249675906654,0.09,1.05,0.6689544080129826,0.6,0.66332495807108,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6324555320336759,1.05,0.7399324293474372,0.45,0.5894913061275798,0.15,0.35707142142714243,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8366600265340756,0.9,0.888819441731559,0.65,0.5722761571129799,0.2,0.4,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,1.1,0.7,0.65,0.7262919523166974,0.8,0.812403840463596,0.15,0.3570714214271425,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.8306623862918076,0.9,0.7681145747868608,0.85,1.0136567466356647,0.15,0.3570714214271425,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,1.15,0.7921489758877431,0.8,0.7483314773547882,0.8,0.6782329983125268,0.05,0.2179449471770336,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.6538348415311009,0.9,0.7000000000000001,0.5,0.5916079783099616,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.9,0.768114574786861,0.55,0.8046738469715542,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
