n1D1e-10,n1D1e-10-std,time,n2D1e-10,n2D1e-10-std,n4D1e-10,n4D1e-10-std,n8D1e-10,n8D1e-10-std,n32D1e-10,n32D1e-10-std,n64D1e-10,n64D1e-10-std,n1D1e-11,n1D1e-11-std,n2D1e-11,n2D1e-11-std,n4D1e-11,n4D1e-11-std,n8D1e-11,n8D1e-11-std,n32D1e-11,n32D1e-11-std,n64D1e-11,n64D1e-11-std,n1D1e-12,n1D1e-12-std,n2D1e-12,n2D1e-12-std,n4D1e-12,n4D1e-12-std,n8D1e-12,n8D1e-12-std,n32D1e-12,n32D1e-12-std,n64D1e-12,n64D1e-12-std,n1D1e-13,n1D1e-13-std,n2D1e-13,n2D1e-13-std,n4D1e-13,n4D1e-13-std,n8D1e-13,n8D1e-13-std,n32D1e-13,n32D1e-13-std,n64D1e-13,n64D1e-13-std,n1D1e-15,n1D1e-15-std,n2D1e-15,n2D1e-15-std,n4D1e-15,n4D1e-15-std,n8D1e-15,n8D1e-15-std,n32D1e-15,n32D1e-15-std,n64D1e-15,n64D1e-15-std,n1D1e-16,n1D1e-16-std,n2D1e-16,n2D1e-16-std,n4D1e-16,n4D1e-16-std,n8D1e-16,n8D1e-16-std,n32D1e-16,n32D1e-16-std,n64D1e-16,n64D1e-16-std,n1D1e-18,n1D1e-18-std,n2D1e-18,n2D1e-18-std,n4D1e-18,n4D1e-18-std,n8D1e-18,n8D1e-18-std,n32D1e-18,n32D1e-18-std,n64D1e-18,n64D1e-18-std
4.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,0.0
2.6,0.7348469228349535,0.01,2.75,0.4330127018922193,2.55,0.49749371855331004,2.45,0.7399324293474372,1.2,0.8717797887081347,0.3,0.6403124237432848,2.55,0.58949130612758,2.6,0.5830951894845301,2.6,0.6633249580710802,2.35,0.6538348415311009,1.1,0.9433981132056605,0.05,0.21794494717703367,2.55,0.7399324293474372,2.5,0.6708203932499369,2.5,0.806225774829855,2.2,0.7483314773547884,1.35,0.9630680142129111,0.2,0.4,2.75,0.4330127018922193,2.7,0.45825756949558405,2.85,0.3570714214271425,2.5,0.7416198487095663,0.75,0.82915619758885,0.2,0.5099019513592785,2.65,0.5722761571129799,2.6,0.5830951894845302,2.9,0.3,2.4,0.5830951894845302,0.7,0.6403124237432849,0.25,0.5361902647381804,2.45,0.8046738469715542,2.55,0.4974937185533101,2.65,0.6538348415311013,2.3,0.714142842854285,0.55,0.9205976319760987,0.35,0.4769696007084727,2.85,0.3570714214271425,2.35,0.6538348415311009,2.55,0.5894913061275798,2.3,0.714142842854285,0.55,0.8046738469715542,0.1,0.30000000000000004
2.0,0.7745966692414834,0.02,2.55,0.4974937185533101,2.25,0.6224949798994366,1.9,1.044030650891055,0.4,0.66332495807108,0.05,0.21794494717703355,2.25,0.6224949798994366,2.3,0.5567764362830021,2.15,0.852936105461599,1.8,0.5099019513592785,0.45,0.8645808232895291,0.0,0.0,2.2,0.7483314773547882,2.0,0.7071067811865476,1.95,0.9205976319760982,1.5,0.9746794344808963,0.2,0.5099019513592785,0.0,0.0,2.45,0.8046738469715542,2.35,0.7262919523166975,2.6,0.48989794855663577,1.95,1.023474474522936,0.15,0.3570714214271425,0.0,0.0,2.15,0.852936105461599,2.3,0.7810249675906654,2.55,0.58949130612758,1.85,0.8529361054615991,0.15,0.35707142142714243,0.0,0.0,2.2,0.812403840463596,2.3,0.5567764362830021,2.1,0.8306623862918076,1.7,0.714142842854285,0.15,0.47696960070847283,0.05,0.21794494717703355,2.55,0.58949130612758,1.8,0.6782329983125269,2.25,0.8874119674649424,1.6,0.9695359714832659,0.1,0.30000000000000004,0.0,0.0
1.7,0.714142842854285,0.03,2.25,0.5361902647381804,1.95,0.6689544080129827,1.35,1.107925990308017,0.15,0.47696960070847283,0.0,0.0,1.95,0.8046738469715541,1.9,0.8306623862918076,1.85,0.9096702699330127,1.4,0.7348469228349533,0.2,0.6000000000000001,0.0,0.0,2.0,0.7071067811865476,1.9,0.6244997998398396,1.8,0.9273618495495702,1.1,0.99498743710662,0.05,0.21794494717703364,0.0,0.0,2.15,0.7921489758877431,2.1,0.7681145747868608,2.45,0.58949130612758,1.45,1.023474474522936,0.05,0.21794494717703364,0.0,0.0,2.05,0.864580823289529,2.1,0.7681145747868608,2.1,0.8888194417315589,1.3,0.8426149773176359,0.0,0.0,0.0,0.0,2.05,0.7399324293474372,2.1,0.6244997998398398,1.9,0.9433981132056604,1.6,0.7348469228349533,0.0,0.0,0.05,0.21794494717703355,2.35,0.7262919523166975,1.45,0.7399324293474372,2.0,0.9486832980505138,1.3,0.9,0.05,0.21794494717703358,0.0,0.0
1.6,0.7348469228349533,0.04,2.1,0.5385164807134504,1.7,0.7810249675906654,0.95,0.9205976319760983,0.0,0.0,0.0,0.0,1.7,0.8999999999999999,1.7,0.7810249675906654,1.5,1.02469507659596,1.05,0.8046738469715539,0.05,0.21794494717703355,0.0,0.0,1.5,0.7416198487095663,1.85,0.653834841531101,1.7,0.8426149773176358,0.55,0.8046738469715542,0.0,0.0,0.0,0.0,1.7,0.8426149773176358,1.8,0.7483314773547882,2.15,0.653834841531101,0.95,1.116915395184434,0.0,0.0,0.0,0.0,1.8,0.9273618495495703,1.8,0.7483314773547883,1.9,1.044030650891055,1.0,0.7745966692414834,0.0,0.0,0.0,0.0,1.8,0.8717797887081346,1.8,0.7483314773547882,1.65,0.9096702699330126,1.1,0.6244997998398398,0.0,0.0,0.0,0.0,1.95,0.864580823289529,1.3,0.8426149773176358,1.8,0.9797958971132712,0.9,0.8306623862918076,0.05,0.21794494717703358,0.0,0.0
1.4,0.8,0.05,1.9,0.6244997998398398,1.4,0.8602325267042626,0.75,0.8874119674649424,0.0,0.0,0.0,0.0,1.3,0.9539392014169458,1.55,0.7399324293474372,1.2,0.9797958971132712,0.6,0.66332495807108,0.05,0.21794494717703355,0.0,0.0,1.35,0.6538348415311009,1.8,0.6782329983125268,1.55,0.9205976319760986,0.4,0.66332495807108,0.0,0.0,0.0,0.0,1.55,0.8645808232895292,1.4,0.8602325267042626,1.85,0.792148975887743,0.75,0.9937303457175896,0.0,0.0,0.0,0.0,1.75,0.9937303457175896,1.55,0.6689544080129826,1.45,1.023474474522936,0.65,0.653834841531101,0.0,0.0,0.0,0.0,1.7,0.8999999999999999,1.55,0.7399324293474371,1.45,0.8645808232895293,0.65,0.7262919523166975,0.0,0.0,0.0,0.0,1.75,0.9420721840708386,1.25,0.82915619758885,1.65,0.9096702699330126,0.6,0.7348469228349533,0.0,0.0,0.0,0.0
1.25,0.8874119674649424,0.06,1.75,0.698212002188447,1.25,0.82915619758885,0.4,0.5830951894845301,0.0,0.0,0.0,0.0,1.25,0.8874119674649424,1.25,0.7664854858377946,1.0,0.8944271909999159,0.4,0.5830951894845302,0.0,0.0,0.0,0.0,1.2,0.6782329983125268,1.4,0.7348469228349533,1.35,0.9630680142129112,0.35,0.6538348415311009,0.0,0.0,0.0,0.0,1.4,0.8602325267042626,1.3,0.9000000000000001,1.65,0.7262919523166975,0.6,0.7999999999999999,0.0,0.0,0.0,0.0,1.55,1.023474474522936,1.25,0.82915619758885,1.2,1.1224972160321822,0.5,0.5916079783099616,0.0,0.0,0.0,0.0,1.55,0.8645808232895293,1.35,0.792148975887743,1.25,0.698212002188447,0.35,0.5722761571129799,0.0,0.0,0.0,0.0,1.55,0.9733961166965892,1.15,0.8529361054615991,1.35,0.852936105461599,0.35,0.5722761571129799,0.0,0.0,0.0,0.0
1.2,0.9273618495495703,0.07,1.65,0.8529361054615991,1.1,0.8306623862918074,0.3,0.5567764362830021,0.0,0.0,0.0,0.0,1.05,0.864580823289529,1.15,0.792148975887743,0.85,0.9096702699330127,0.3,0.4582575694955839,0.0,0.0,0.0,0.0,1.05,0.8046738469715539,1.2,0.7483314773547881,1.2,0.8717797887081347,0.2,0.4,0.0,0.0,0.0,0.0,1.25,0.7664854858377946,1.1,0.9433981132056605,1.55,0.8046738469715542,0.3,0.5567764362830021,0.0,0.0,0.0,0.0,1.4,0.9165151389911681,1.15,0.8529361054615991,1.05,1.116915395184434,0.35,0.47696960070847283,0.0,0.0,0.0,0.0,1.35,0.852936105461599,1.05,0.7399324293474371,1.05,0.6689544080129826,0.3,0.5567764362830021,0.0,0.0,0.0,0.0,1.3,1.004987562112089,1.0,0.8366600265340756,1.15,0.852936105461599,0.25,0.4330127018922193,0.0,0.0,0.0,0.0
1.1,0.7681145747868608,0.08,1.45,0.7399324293474371,1.0,0.7071067811865476,0.25,0.5361902647381804,0.0,0.0,0.0,0.0,1.0,0.8366600265340756,1.05,0.8645808232895291,0.8,0.9273618495495705,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.95,0.7399324293474371,1.05,0.7399324293474371,1.15,0.9096702699330127,0.15,0.3570714214271425,0.0,0.0,0.0,0.0,1.1,0.8306623862918074,0.95,0.8645808232895291,1.3,0.8426149773176358,0.3,0.5567764362830021,0.0,0.0,0.0,0.0,1.2,0.812403840463596,1.0,0.7745966692414834,0.9,0.9949874371066202,0.2,0.4,0.0,0.0,0.0,0.0,1.0,0.8944271909999159,0.9,0.7000000000000001,0.8,0.7483314773547881,0.25,0.5361902647381804,0.0,0.0,0.0,0.0,1.05,0.864580823289529,1.0,0.8366600265340756,1.05,0.8645808232895291,0.1,0.30000000000000004,0.0,0.0,0.0,0.0
0.95,0.6689544080129826,0.09,1.1,0.7681145747868608,0.75,0.6224949798994366,0.2,0.5099019513592785,0.0,0.0,0.0,0.0,1.0,0.8366600265340756,0.95,0.8046738469715541,0.75,0.8874119674649424,0.15,0.35707142142714243,0.0,0.0,0.0,0.0,0.85,0.7262919523166975,1.0,0.7071067811865476,0.8,0.8124038404635961,0.15,0.3570714214271425,0.0,0.0,0.0,0.0,1.0,0.7745966692414834,0.8,0.7483314773547882,1.0,0.8944271909999159,0.15,0.3570714214271425,0.0,0.0,0.0,0.0,1.15,0.8529361054615991,0.95,0.8046738469715541,0.65,0.9096702699330126,0.2,0.4,0.0,0.0,0.0,0.0,0.95,0.8046738469715539,0.85,0.7262919523166975,0.8,0.7483314773547881,0.25,0.5361902647381804,0.0,0.0,0.0,0.0,0.9,0.8306623862918076,1.0,0.8366600265340756,0.9,0.8306623862918076,0.05,0.21794494717703355,0.0,0.0,0.0,0.0
