n1D1e-10,n1D1e-10-std,time,n2D1e-10,n2D1e-10-std,n4D1e-10,n4D1e-10-std,n8D1e-10,n8D1e-10-std,n32D1e-10,n32D1e-10-std,n64D1e-10,n64D1e-10-std,n1D1e-11,n1D1e-11-std,n2D1e-11,n2D1e-11-std,n4D1e-11,n4D1e-11-std,n8D1e-11,n8D1e-11-std,n32D1e-11,n32D1e-11-std,n64D1e-11,n64D1e-11-std,n1D1e-12,n1D1e-12-std,n2D1e-12,n2D1e-12-std,n4D1e-12,n4D1e-12-std,n8D1e-12,n8D1e-12-std,n32D1e-12,n32D1e-12-std,n64D1e-12,n64D1e-12-std,n1D1e-13,n1D1e-13-std,n2D1e-13,n2D1e-13-std,n4D1e-13,n4D1e-13-std,n8D1e-13,n8D1e-13-std,n32D1e-13,n32D1e-13-std,n64D1e-13,n64D1e-13-std,n1D1e-15,n1D1e-15-std,n2D1e-15,n2D1e-15-std,n4D1e-15,n4D1e-15-std,n8D1e-15,n8D1e-15-std,n32D1e-15,n32D1e-15-std,n64D1e-15,n64D1e-15-std,n1D1e-16,n1D1e-16-std,n2D1e-16,n2D1e-16-std,n4D1e-16,n4D1e-16-std,n8D1e-16,n8D1e-16-std,n32D1e-16,n32D1e-16-std,n64D1e-16,n64D1e-16-std,n1D1e-18,n1D1e-18-std,n2D1e-18,n2D1e-18-std,n4D1e-18,n4D1e-18-std,n8D1e-18,n8D1e-18-std,n32D1e-18,n32D1e-18-std,n64D1e-18,n64D1e-18-std
2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
0.85,0.35707142142714243,0.01,1.35,0.7262919523166975,1.75,0.4330127018922193,1.6,0.5830951894845302,0.9,0.7000000000000001,0.55,0.6689544080129827,0.95,0.21794494717703375,1.05,0.6689544080129826,1.2,0.6000000000000001,1.45,0.6689544080129827,0.9,0.9433981132056606,0.45,0.5894913061275798,0.7,0.4582575694955839,0.95,0.21794494717703372,1.1,0.5385164807134504,1.1,0.6244997998398398,0.75,0.698212002188447,0.35,0.4769696007084727,0.8,0.4,0.9,0.30000000000000004,0.75,0.4330127018922193,0.65,0.47696960070847283,0.4,0.5830951894845302,0.1,0.30000000000000004,0.9,0.30000000000000004,0.8,0.4000000000000001,0.85,0.3570714214271425,0.45,0.49749371855331004,0.15,0.35707142142714243,0.1,0.30000000000000004,0.95,0.21794494717703378,0.9,0.3,0.7,0.4582575694955839,0.5,0.5,0.15,0.3570714214271425,0.0,0.0,0.9,0.30000000000000004,0.9,0.3,0.75,0.4330127018922193,0.6,0.48989794855663565,0.3,0.4582575694955839,0.1,0.30000000000000004
0.7,0.4582575694955839,0.02,1.3,0.714142842854285,1.55,0.49749371855331004,1.2,0.8124038404635959,0.35,0.4769696007084727,0.05,0.21794494717703367,0.85,0.35707142142714243,0.9,0.7681145747868608,0.95,0.6689544080129827,1.2,0.6782329983125268,0.2,0.4,0.1,0.30000000000000004,0.6,0.4898979485566357,0.7,0.4582575694955839,1.0,0.6324555320336759,0.75,0.698212002188447,0.2,0.4000000000000001,0.0,0.0,0.8,0.4,0.9,0.30000000000000004,0.7,0.4582575694955839,0.5,0.5,0.2,0.4000000000000001,0.05,0.21794494717703355,0.55,0.49749371855331,0.65,0.4769696007084728,0.65,0.4769696007084727,0.4,0.48989794855663565,0.0,0.0,0.0,0.0,0.9,0.30000000000000004,0.8,0.4,0.55,0.49749371855331,0.2,0.4000000000000001,0.05,0.2179449471770336,0.0,0.0,0.9,0.30000000000000004,0.75,0.4330127018922193,0.65,0.47696960070847283,0.5,0.5,0.1,0.30000000000000004,0.0,0.0
0.45,0.49749371855331004,0.03,1.2,0.7483314773547881,1.45,0.49749371855331004,0.95,0.8046738469715541,0.2,0.4000000000000001,0.0,0.0,0.85,0.35707142142714243,0.85,0.792148975887743,0.75,0.698212002188447,0.95,0.7399324293474371,0.15,0.35707142142714243,0.0,0.0,0.55,0.49749371855331004,0.6,0.4898979485566357,0.8,0.7483314773547881,0.6,0.6633249580710799,0.0,0.0,0.0,0.0,0.7,0.4582575694955839,0.6,0.48989794855663565,0.7,0.4582575694955839,0.3,0.4582575694955839,0.15,0.35707142142714243,0.05,0.21794494717703355,0.5,0.5,0.65,0.4769696007084728,0.5,0.5,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.8,0.4,0.7,0.4582575694955839,0.35,0.4769696007084729,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.9,0.30000000000000004,0.6,0.4898979485566357,0.55,0.49749371855331004,0.35,0.4769696007084727,0.0,0.0,0.0,0.0
0.35,0.47696960070847283,0.04,1.0,0.8366600265340756,1.25,0.6224949798994366,0.7,0.714142842854285,0.1,0.30000000000000004,0.0,0.0,0.85,0.35707142142714243,0.7,0.6403124237432849,0.7,0.6403124237432849,0.8,0.7483314773547882,0.1,0.30000000000000004,0.0,0.0,0.4,0.48989794855663565,0.55,0.49749371855331004,0.75,0.698212002188447,0.4,0.5830951894845301,0.0,0.0,0.0,0.0,0.6,0.48989794855663565,0.55,0.49749371855331,0.6,0.4898979485566357,0.2,0.4000000000000001,0.05,0.21794494717703367,0.05,0.21794494717703355,0.5,0.5,0.65,0.4769696007084728,0.4,0.4898979485566357,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.75,0.4330127018922193,0.6,0.4898979485566357,0.35,0.4769696007084729,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,0.8,0.4,0.45,0.4974937185533101,0.5,0.5,0.25,0.4330127018922193,0.0,0.0,0.0,0.0
0.3,0.4582575694955839,0.05,0.95,0.8046738469715541,1.15,0.7262919523166975,0.5,0.6708203932499369,0.1,0.30000000000000004,0.0,0.0,0.8,0.4,0.65,0.6538348415311009,0.65,0.6538348415311009,0.6,0.66332495807108,0.0,0.0,0.0,0.0,0.3,0.4582575694955839,0.55,0.49749371855331004,0.65,0.653834841531101,0.35,0.5722761571129799,0.0,0.0,0.0,0.0,0.6,0.48989794855663565,0.55,0.49749371855331,0.5,0.5,0.15,0.35707142142714243,0.05,0.21794494717703367,0.0,0.0,0.45,0.49749371855331004,0.65,0.4769696007084728,0.4,0.4898979485566357,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,0.6,0.4898979485566357,0.45,0.49749371855331004,0.3,0.45825756949558394,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.4330127018922193,0.45,0.4974937185533101,0.5,0.5,0.25,0.4330127018922193,0.0,0.0,0.0,0.0
0.15,0.35707142142714243,0.06,0.9,0.7681145747868608,1.0,0.7071067811865476,0.45,0.5894913061275798,0.05,0.21794494717703355,0.0,0.0,0.7,0.4582575694955839,0.55,0.6689544080129827,0.5,0.5916079783099616,0.35,0.5722761571129796,0.0,0.0,0.0,0.0,0.3,0.4582575694955839,0.5,0.5,0.5,0.5916079783099616,0.35,0.5722761571129799,0.0,0.0,0.0,0.0,0.55,0.49749371855331,0.55,0.49749371855331,0.45,0.49749371855331004,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.4,0.4898979485566357,0.55,0.49749371855331,0.35,0.4769696007084729,0.05,0.21794494717703364,0.0,0.0,0.0,0.0,0.4,0.48989794855663565,0.4,0.48989794855663565,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.45825756949558394,0.45,0.4974937185533101,0.5,0.5,0.15,0.35707142142714243,0.0,0.0,0.0,0.0
0.15,0.35707142142714243,0.07,0.75,0.7664854858377946,0.95,0.6689544080129826,0.35,0.5722761571129797,0.05,0.21794494717703355,0.0,0.0,0.65,0.47696960070847283,0.55,0.6689544080129827,0.4,0.5830951894845301,0.2,0.4000000000000001,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.45,0.4974937185533101,0.4,0.5830951894845301,0.3,0.5567764362830021,0.0,0.0,0.0,0.0,0.5,0.5,0.45,0.4974937185533101,0.35,0.4769696007084728,0.05,0.2179449471770336,0.0,0.0,0.0,0.0,0.35,0.4769696007084729,0.55,0.49749371855331,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.48989794855663565,0.35,0.4769696007084727,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.4769696007084728,0.4,0.48989794855663565,0.4,0.48989794855663565,0.15,0.35707142142714243,0.0,0.0,0.0,0.0
0.15,0.35707142142714243,0.08,0.7,0.7810249675906654,0.85,0.6538348415311012,0.25,0.5361902647381804,0.05,0.21794494717703355,0.0,0.0,0.65,0.47696960070847283,0.45,0.5894913061275798,0.35,0.5722761571129799,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.2,0.4000000000000001,0.3,0.4582575694955839,0.35,0.5722761571129799,0.25,0.5361902647381804,0.0,0.0,0.0,0.0,0.45,0.4974937185533101,0.3,0.45825756949558394,0.3,0.45825756949558394,0.05,0.2179449471770336,0.0,0.0,0.0,0.0,0.35,0.4769696007084729,0.5,0.5,0.15,0.3570714214271425,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4330127018922193,0.3,0.4582575694955839,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.48989794855663565,0.4,0.48989794855663565,0.3,0.4582575694955839,0.05,0.21794494717703355,0.0,0.0,0.0,0.0
0.15,0.35707142142714243,0.09,0.65,0.7921489758877429,0.75,0.6224949798994366,0.2,0.5099019513592785,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.5830951894845302,0.35,0.5722761571129799,0.05,0.21794494717703355,0.0,0.0,0.0,0.0,0.15,0.3570714214271425,0.25,0.4330127018922193,0.35,0.5722761571129799,0.15,0.35707142142714243,0.0,0.0,0.0,0.0,0.35,0.47696960070847283,0.3,0.45825756949558394,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.4769696007084729,0.45,0.4974937185533101,0.1,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.4330127018922193,0.3,0.4582575694955839,0.05,0.21794494717703367,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.49749371855331,0.35,0.47696960070847283,0.2,0.4,0.05,0.21794494717703355,0.0,0.0,0.0,0.0
