time,AB.h5e-07,AB.h2.38095e-08,AB.h1.21951e-08,AB.h8.19672e-09,AB.h6.17284e-09,AB.h4.9505e-09
0.0,200.0,200.2,199.6,198.4,194.0,199.6
0.01,200.0,200.2,199.6,198.4,194.0,199.6
0.02,200.0,200.2,199.6,198.4,194.0,199.6
0.03,200.0,200.2,199.6,198.4,194.0,199.6
0.04,200.0,200.2,199.6,198.4,194.0,199.6
0.05,200.0,200.2,199.6,198.4,194.0,199.6
0.06,200.0,200.2,199.6,198.4,194.0,199.6
0.07,200.0,200.2,199.6,198.4,194.0,199.6
0.08,200.0,200.2,199.6,198.4,194.0,199.6
0.09,200.0,200.2,199.6,198.4,194.0,199.6
0.1,180.8,178.6,178.8,180.0,175.6,185.2
0.11,180.8,178.6,178.8,180.0,175.6,185.2
0.12,180.8,178.6,178.8,180.0,175.6,185.2
0.13,180.8,178.6,178.8,180.0,175.6,185.2
0.14,180.8,178.6,178.8,180.0,175.6,185.2
0.15,180.8,178.6,178.8,180.0,175.6,185.2
0.16,180.8,178.6,178.8,180.0,175.6,185.2
0.17,180.8,178.6,178.8,180.0,175.6,185.2
0.18,180.8,178.6,178.8,180.0,175.6,185.2
0.19,180.8,178.6,178.8,180.0,175.6,185.2
0.2,168.0,164.6,160.8,164.0,156.0,164.8
0.21,168.0,164.6,160.8,164.0,156.0,164.8
0.22,168.0,164.6,160.8,164.0,156.0,164.8
0.23,168.0,164.6,160.8,164.0,156.0,164.8
0.24,168.0,164.6,160.8,164.0,156.0,164.8
0.25,168.0,164.6,160.8,164.0,156.0,164.8
0.26,168.0,164.6,160.8,164.0,156.0,164.8
0.27,168.0,164.6,160.8,164.0,156.0,164.8
0.28,168.0,164.6,160.8,164.0,156.0,164.8
0.29,168.0,164.6,160.8,164.0,156.0,164.8
0.3,152.4,152.6,149.6,152.0,143.2,149.2
0.31,152.4,152.6,149.6,152.0,143.2,149.2
0.32,152.4,152.6,149.6,152.0,143.2,149.2
0.33,152.4,152.6,149.6,152.0,143.2,149.2
0.34,152.4,152.6,149.6,152.0,143.2,149.2
0.35000000000000003,152.4,152.6,149.6,152.0,143.2,149.2
0.36,152.4,152.6,149.6,152.0,143.2,149.2
0.37,152.4,152.6,149.6,152.0,143.2,149.2
0.38,152.4,152.6,149.6,152.0,143.2,149.2
0.39,152.4,152.6,149.6,152.0,143.2,149.2
0.4,141.6,139.4,137.2,138.8,132.4,130.8
0.41000000000000003,141.6,139.4,137.2,138.8,132.4,130.8
0.42,141.6,139.4,137.2,138.8,132.4,130.8
0.43,141.6,139.4,137.2,138.8,132.4,130.8
0.44,141.6,139.4,137.2,138.8,132.4,130.8
0.45,141.6,139.4,137.2,138.8,132.4,130.8
0.46,141.6,139.4,137.2,138.8,132.4,130.8
0.47000000000000003,141.6,139.4,137.2,138.8,132.4,130.8
0.48,141.6,139.4,137.2,138.8,132.4,130.8
0.49,141.6,139.4,137.2,138.8,132.4,130.8
0.5,133.2,131.0,129.2,128.0,119.2,118.4
0.51,133.2,131.0,129.2,128.0,119.2,118.4
0.52,133.2,131.0,129.2,128.0,119.2,118.4
0.53,133.2,131.0,129.2,128.0,119.2,118.4
0.54,133.2,131.0,129.2,128.0,119.2,118.4
0.55,133.2,131.0,129.2,128.0,119.2,118.4
0.56,133.2,131.0,129.2,128.0,119.2,118.4
0.5700000000000001,133.2,131.0,129.2,128.0,119.2,118.4
0.58,133.2,131.0,129.2,128.0,119.2,118.4
0.59,133.2,131.0,129.2,128.0,119.2,118.4
0.6,124.0,120.6,120.8,117.2,110.8,102.8
0.61,124.0,120.6,120.8,117.2,110.8,102.8
0.62,124.0,120.6,120.8,117.2,110.8,102.8
0.63,124.0,120.6,120.8,117.2,110.8,102.8
0.64,124.0,120.6,120.8,117.2,110.8,102.8
0.65,124.0,120.6,120.8,117.2,110.8,102.8
0.66,124.0,120.6,120.8,117.2,110.8,102.8
0.67,124.0,120.6,120.8,117.2,110.8,102.8
0.68,124.0,120.6,120.8,117.2,110.8,102.8
0.6900000000000001,124.0,120.6,120.8,117.2,110.8,102.8
0.7000000000000001,118.4,111.8,112.4,111.6,104.0,92.0
0.71,118.4,111.8,112.4,111.6,104.0,92.0
0.72,118.4,111.8,112.4,111.6,104.0,92.0
0.73,118.4,111.8,112.4,111.6,104.0,92.0
0.74,118.4,111.8,112.4,111.6,104.0,92.0
0.75,118.4,111.8,112.4,111.6,104.0,92.0
0.76,118.4,111.8,112.4,111.6,104.0,92.0
0.77,118.4,111.8,112.4,111.6,104.0,92.0
0.78,118.4,111.8,112.4,111.6,104.0,92.0
0.79,118.4,111.8,112.4,111.6,104.0,92.0
0.8,112.8,106.2,104.0,104.4,94.8,84.4
0.81,112.8,106.2,104.0,104.4,94.8,84.4
0.8200000000000001,112.8,106.2,104.0,104.4,94.8,84.4
0.8300000000000001,112.8,106.2,104.0,104.4,94.8,84.4
0.84,112.8,106.2,104.0,104.4,94.8,84.4
0.85,112.8,106.2,104.0,104.4,94.8,84.4
0.86,112.8,106.2,104.0,104.4,94.8,84.4
0.87,112.8,106.2,104.0,104.4,94.8,84.4
0.88,112.8,106.2,104.0,104.4,94.8,84.4
0.89,112.8,106.2,104.0,104.4,94.8,84.4
0.9,106.4,101.0,99.2,99.2,89.6,74.0
0.91,106.4,101.0,99.2,99.2,89.6,74.0
0.92,106.4,101.0,99.2,99.2,89.6,74.0
0.93,106.4,101.0,99.2,99.2,89.6,74.0
0.9400000000000001,106.4,101.0,99.2,99.2,89.6,74.0
0.9500000000000001,106.4,101.0,99.2,99.2,89.6,74.0
0.96,106.4,101.0,99.2,99.2,89.6,74.0
0.97,106.4,101.0,99.2,99.2,89.6,74.0
0.98,106.4,101.0,99.2,99.2,89.6,74.0
0.99,106.4,101.0,99.2,99.2,89.6,74.0
1.0,99.2,96.6,93.2,94.8,81.6,66.0
1.01,99.2,96.6,93.2,94.8,81.6,66.0
1.02,99.2,96.6,93.2,94.8,81.6,66.0
1.03,99.2,96.6,93.2,94.8,81.6,66.0
1.04,99.2,96.6,93.2,94.8,81.6,66.0
1.05,99.2,96.6,93.2,94.8,81.6,66.0
1.06,99.2,96.6,93.2,94.8,81.6,66.0
1.07,99.2,96.6,93.2,94.8,81.6,66.0
1.08,99.2,96.6,93.2,94.8,81.6,66.0
1.09,99.2,96.6,93.2,94.8,81.6,66.0
1.1,92.8,90.6,88.4,90.4,76.4,60.4
1.11,92.8,90.6,88.4,90.4,76.4,60.4
1.12,92.8,90.6,88.4,90.4,76.4,60.4
1.1300000000000001,92.8,90.6,88.4,90.4,76.4,60.4
1.1400000000000001,92.8,90.6,88.4,90.4,76.4,60.4
1.1500000000000001,92.8,90.6,88.4,90.4,76.4,60.4
1.16,92.8,90.6,88.4,90.4,76.4,60.4
1.17,92.8,90.6,88.4,90.4,76.4,60.4
1.18,92.8,90.6,88.4,90.4,76.4,60.4
1.19,92.8,90.6,88.4,90.4,76.4,60.4
1.2,90.8,87.0,82.8,86.0,69.6,52.8
1.21,90.8,87.0,82.8,86.0,69.6,52.8
1.22,90.8,87.0,82.8,86.0,69.6,52.8
1.23,90.8,87.0,82.8,86.0,69.6,52.8
1.24,90.8,87.0,82.8,86.0,69.6,52.8
1.25,90.8,87.0,82.8,86.0,69.6,52.8
1.26,90.8,87.0,82.8,86.0,69.6,52.8
1.27,90.8,87.0,82.8,86.0,69.6,52.8
1.28,90.8,87.0,82.8,86.0,69.6,52.8
1.29,90.8,87.0,82.8,86.0,69.6,52.8
1.3,87.6,83.4,77.2,81.6,65.6,47.6
1.31,87.6,83.4,77.2,81.6,65.6,47.6
1.32,87.6,83.4,77.2,81.6,65.6,47.6
1.33,87.6,83.4,77.2,81.6,65.6,47.6
1.34,87.6,83.4,77.2,81.6,65.6,47.6
1.35,87.6,83.4,77.2,81.6,65.6,47.6
1.36,87.6,83.4,77.2,81.6,65.6,47.6
1.37,87.6,83.4,77.2,81.6,65.6,47.6
1.3800000000000001,87.6,83.4,77.2,81.6,65.6,47.6
1.3900000000000001,87.6,83.4,77.2,81.6,65.6,47.6
1.4000000000000001,82.4,81.4,73.6,78.4,62.0,41.2
1.41,82.4,81.4,73.6,78.4,62.0,41.2
1.42,82.4,81.4,73.6,78.4,62.0,41.2
1.43,82.4,81.4,73.6,78.4,62.0,41.2
1.44,82.4,81.4,73.6,78.4,62.0,41.2
1.45,82.4,81.4,73.6,78.4,62.0,41.2
