D N tzero
1e-11 1 0.64
1e-11 2 0.28
1e-11 4 0.8
1e-11 8 0.1
1e-11 16 0.07
1e-11 32 0.04
1e-11 64 0.04
1e-12 1 0.31
1e-12 2 0.32
1e-12 4 0.22
1e-12 8 0.11
1e-12 16 0.08
1e-12 32 0.04
1e-12 64 0.03
1e-13 1 0.52
1e-13 2 0.45
1e-13 4 0.19
1e-13 8 0.17
1e-13 16 0.1
1e-13 32 0.04
1e-13 64 0.04
1e-14 1 0.3
1e-14 2 0.35
1e-14 4 0.2
1e-14 8 0.13
1e-14 16 0.07
1e-14 32 0.04
1e-14 64 0.04
1e-15 1 0.28
1e-15 2 0.55
1e-15 4 0.27
1e-15 8 0.15
1e-15 16 0.14
1e-15 32 0.05
1e-15 64 0.03
1e-16 1 0.28
1e-16 2 0.48
1e-16 4 0.22
1e-16 8 0.1
1e-16 16 0.07
1e-16 32 0.05
1e-16 64 0.03
1e-17 1 0.42
1e-17 2 0.36
1e-17 4 0.21
1e-17 8 0.13
1e-17 16 0.04
1e-17 32 0.04
1e-17 64 0.03
1e-18 1 0.41
1e-18 2 0.57
1e-18 4 0.22
1e-18 8 0.12
1e-18 16 0.06
1e-18 32 0.06
1e-18 64 0.04
