time CaMKII* CaMKII6 CaMKII7 PP1
10 0 100 0.0 2
15 0 100 0.0 3
20 0 100 0.0 1
25 0 100 0.0 5
30 0 100 0.0 8
35 0 100 0.0 1
40 0 100 0.0 2
45 0 100 0.0 4
50 0 100 0.0 5
55 0 100 0.0 2
60 0 100 0.0 1
65 0 100 0.0 4
70 0 100 0.0 3
75 0 100 0.0 1
80 0 100 0.0 4
85 0 100 0.0 4
90 0 100 0.0 4
95 0 100 0.0 1
100 0 100 0.0 1
105 0 100 0.0 1
110 0 100 0.0 4
115 0 100 0.0 0
120 0 100 0.0 0
125 0 100 0.0 0
130 0 100 0.0 7
135 0 100 0.0 4
140 0 100 0.0 3
145 0 100 0.0 1
150 0 100 0.0 2
155 0 100 0.0 2
160 0 100 0.0 0
165 0 100 0.0 2
170 0 100 0.0 6
175 0 100 0.0 0
180 0 100 0.0 3
185 0 100 0.0 0
190 0 100 0.0 5
195 0 100 0.0 0
200 0 100 0.0 1
205 0 100 0.0 2
210 0 100 0.0 1
215 0 100 0.0 4
220 0 100 0.0 2
225 0 100 0.0 3
230 0 100 0.0 1
235 0 100 0.0 7
240 0 100 0.0 1
245 0 100 0.0 3
250 0 100 0.0 0
255 0 100 0.0 4
260 0 100 0.0 0
265 0 100 0.0 4
270 0 100 0.0 8
275 0 100 0.0 4
280 0 100 0.0 0
285 0 100 0.0 4
290 0 100 0.0 2
295 0 100 0.0 0
300 0 100 0.0 3
305 0 100 0.0 4
310 0 100 0.0 6
315 0 100 0.0 3
320 0 100 0.0 2
325 0 100 0.0 6
330 0 100 0.0 0
335 0 100 0.0 3
340 0 100 0.0 4
345 0 100 0.0 1
350 0 100 0.0 1
355 0 100 0.0 2
360 0 100 0.0 1
365 0 100 0.0 2
370 0 100 0.0 2
375 0 100 0.0 1
380 0 100 0.0 3
385 0 100 0.0 5
390 0 100 0.0 2
395 0 100 0.0 2
400 0 100 0.0 6
405 0 100 0.0 3
410 0 100 0.0 2
415 0 100 0.0 0
420 0 100 0.0 3
425 0 100 0.0 4
430 0 100 0.0 0
435 0 100 0.0 2
440 0 100 0.0 1
445 0 100 0.0 1
450 0 100 0.0 2
455 0 100 0.0 3
460 0 100 0.0 5
465 0 100 0.0 1
470 0 100 0.0 7
475 0 100 0.0 2
480 0 100 0.0 3
485 0 100 0.0 1
490 0 100 0.0 8
495 0 100 0.0 1
500 0 100 0.0 1
505 0 100 0.0 1
510 0 100 0.0 0
515 0 100 0.0 3
520 0 100 0.0 4
525 0 100 0.0 2
530 0 100 0.0 4
535 0 100 0.0 2
540 0 100 0.0 3
545 0 100 0.0 0
550 0 100 0.0 3
555 0 100 0.0 3
560 0 100 0.0 3
565 0 100 0.0 2
570 0 100 0.0 1
575 0 100 0.0 0
580 0 100 0.0 9
585 0 100 0.0 2
590 0 100 0.0 5
595 0 100 0.0 4
600 0 100 0.0 1
605 0 100 0.0 2
610 0 100 0.0 1
615 0 100 0.0 1
620 0 100 0.0 0
625 0 100 0.0 2
630 0 100 0.0 1
635 0 100 0.0 3
640 0 100 0.0 0
645 0 100 0.0 4
650 0 100 0.0 5
655 0 100 0.0 6
660 0 100 0.0 4
665 0 100 0.0 4
670 0 100 0.0 1
675 0 100 0.0 4
680 0 100 0.0 8
685 0 100 0.0 4
690 0 100 0.0 2
695 0 100 0.0 2
700 0 100 0.0 5
705 0 100 0.0 2
710 0 100 0.0 1
715 0 100 0.0 4
720 0 100 0.0 5
725 0 100 0.0 3
730 0 100 0.0 2
735 0 100 0.0 1
740 0 100 0.0 2
745 0 100 0.0 2
750 0 100 0.0 0
755 0 100 0.0 4
760 0 100 0.0 3
765 0 100 0.0 3
770 0 100 0.0 4
775 0 100 0.0 0
780 0 100 0.0 4
785 0 100 0.0 2
790 0 100 0.0 3
795 0 100 0.0 4
800 0 100 0.0 1
805 0 100 0.0 2
810 0 100 0.0 1
815 0 100 0.0 0
820 0 100 0.0 2
825 0 100 0.0 2
830 0 100 0.0 4
835 0 100 0.0 1
840 0 100 0.0 5
845 0 100 0.0 2
850 0 100 0.0 2
855 0 100 0.0 2
860 0 100 0.0 7
865 0 100 0.0 7
870 0 100 0.0 5
875 0 100 0.0 3
880 0 100 0.0 1
885 0 100 0.0 2
890 0 100 0.0 3
895 0 100 0.0 9
900 0 100 0.0 3
905 0 100 0.0 0
910 0 100 0.0 5
915 0 100 0.0 2
920 0 100 0.0 1
925 0 100 0.0 5
930 0 100 0.0 0
935 0 100 0.0 1
940 0 100 0.0 2
945 0 100 0.0 5
950 0 100 0.0 2
955 0 100 0.0 2
960 0 100 0.0 0
965 0 100 0.0 6
970 0 100 0.0 0
975 0 100 0.0 4
980 0 100 0.0 1
985 0 100 0.0 3
990 0 100 0.0 2
995 0 100 0.0 5
1000 0 100 0.0 0
1005 67 100 0.0 5
1010 78 100 0.0 0
1015 78 100 0.0 1
1020 76 100 0.0 0
1025 72 100 0.0 0
1030 68 100 0.0 1
1035 63 100 0.0 2
1040 59 100 0.0 0
1045 55 100 0.0 2
1050 49 100 0.0 1
1055 40 100 0.0 2
1060 37 100 0.0 2
1065 30 100 0.0 0
1070 20 100 0.0 3
1075 21 100 0.0 0
1080 16 100 0.0 2
1085 13 100 0.0 5
1090 12 100 0.0 6
1095 8 100 0.0 3
1100 9 100 0.0 6
1105 5 100 0.0 1
1110 4 100 0.0 2
1115 4 100 0.0 2
1120 4 100 0.0 3
1125 3 100 0.0 1
1130 1 100 0.0 4
1135 0 100 0.0 4
1140 0 100 0.0 1
1145 0 100 0.0 3
1150 0 100 0.0 7
1155 0 100 0.0 1
1160 0 100 0.0 3
1165 0 100 0.0 0
1170 0 100 0.0 2
1175 0 100 0.0 3
1180 0 100 0.0 2
1185 0 100 0.0 2
1190 0 100 0.0 4
1195 0 100 0.0 0
1200 0 100 0.0 0
1205 0 100 0.0 4
1210 0 100 0.0 0
1215 0 100 0.0 3
1220 0 100 0.0 3
1225 0 100 0.0 0
1230 0 100 0.0 4
1235 0 100 0.0 1
1240 0 100 0.0 1
1245 0 100 0.0 6
1250 0 100 0.0 2
1255 0 100 0.0 2
1260 0 100 0.0 1
1265 0 100 0.0 4
1270 0 100 0.0 2
1275 0 100 0.0 2
1280 0 100 0.0 7
1285 0 100 0.0 0
1290 0 100 0.0 4
1295 0 100 0.0 5
1300 0 100 0.0 3
1305 0 100 0.0 5
1310 0 100 0.0 5
1315 0 100 0.0 1
1320 0 100 0.0 2
1325 0 100 0.0 2
1330 0 100 0.0 0
1335 0 100 0.0 5
1340 0 100 0.0 3
1345 0 100 0.0 5
1350 0 100 0.0 4
1355 0 100 0.0 4
1360 0 100 0.0 1
1365 0 100 0.0 3
1370 0 100 0.0 3
1375 0 100 0.0 2
1380 0 100 0.0 2
1385 0 100 0.0 1
1390 0 100 0.0 2
1395 0 100 0.0 3
1400 0 100 0.0 0
1405 0 100 0.0 1
1410 0 100 0.0 1
1415 0 100 0.0 1
1420 0 100 0.0 1
1425 0 100 0.0 8
1430 0 100 0.0 1
1435 0 100 0.0 0
1440 0 100 0.0 1
1445 0 100 0.0 2
1450 0 100 0.0 2
1455 0 100 0.0 5
1460 0 100 0.0 3
1465 0 100 0.0 0
1470 0 100 0.0 2
1475 0 100 0.0 7
1480 0 100 0.0 3
1485 0 100 0.0 0
1490 0 100 0.0 1
1495 0 100 0.0 2
1500 0 100 0.0 2
1505 0 100 0.0 8
1510 0 100 0.0 6
1515 0 100 0.0 3
1520 0 100 0.0 5
1525 0 100 0.0 5
1530 0 100 0.0 0
1535 0 100 0.0 0
1540 0 100 0.0 2
1545 0 100 0.0 1
1550 0 100 0.0 4
1555 0 100 0.0 6
1560 0 100 0.0 6
1565 0 100 0.0 3
1570 0 100 0.0 3
1575 0 100 0.0 3
1580 0 100 0.0 1
1585 0 100 0.0 2
1590 0 100 0.0 3
1595 0 100 0.0 1
1600 0 100 0.0 3
1605 0 100 0.0 4
1610 0 100 0.0 3
1615 0 100 0.0 4
1620 0 100 0.0 1
1625 0 100 0.0 2
1630 0 100 0.0 0
1635 0 100 0.0 5
1640 0 100 0.0 1
1645 0 100 0.0 2
1650 0 100 0.0 3
