time CaMKII* CaMKII6 CaMKII7 PP1 x y
10 1 77 25 0 373862 1807190
15 1 85 17 0 373862 1807190
20 2 85 17 0 373862 1807190
25 1 90 12 0 373862 1807190
30 1 92 10 0 373862 1807190
35 1 90 12 0 373862 1807190
40 1 92 10 0 373862 1807190
45 1 94 8 0 373862 1807190
50 2 95 7 0 373862 1807190
55 2 93 9 0 373862 1807190
60 1 91 11 0 373862 1807190
65 0 92 10 0 373862 1807190
70 0 94 8 1 373862 1807190
75 0 89 13 0 373862 1807190
80 0 90 12 0 373862 1807190
85 0 87 15 0 373862 1807190
90 0 89 13 0 373862 1807190
95 0 90 12 0 373862 1807190
100 0 89 13 0 373862 1807190
105 0 94 8 0 373862 1807190
110 0 94 8 0 373862 1807190
115 0 92 10 0 373862 1807190
120 0 90 12 0 373862 1807190
125 0 91 11 0 373862 1807190
130 0 91 11 0 373862 1807190
135 0 95 7 0 373862 1807190
140 0 94 8 0 373862 1807190
145 0 93 9 1 373862 1807190
150 0 91 11 0 373862 1807190
155 0 87 15 0 373862 1807190
160 0 91 11 0 373862 1807190
165 0 93 9 0 373862 1807190
170 0 94 8 0 373862 1807190
175 0 94 8 0 373862 1807190
180 0 91 11 0 373862 1807190
185 0 91 11 0 373862 1807190
190 0 96 6 0 373862 1807190
195 0 93 9 0 373862 1807190
200 0 93 9 0 373862 1807190
205 0 89 13 0 373862 1807190
210 0 91 11 0 373862 1807190
215 0 94 8 0 373862 1807190
220 0 97 5 0 373862 1807190
225 0 98 4 0 373862 1807190
230 0 96 6 0 373862 1807190
235 0 95 7 0 373862 1807190
240 0 94 8 0 373862 1807190
245 0 96 6 0 373862 1807190
250 0 95 7 0 373862 1807190
255 0 91 11 0 373862 1807190
260 0 89 13 0 373862 1807190
265 0 89 13 0 373862 1807190
270 0 88 14 0 373862 1807190
275 0 94 8 0 373862 1807190
280 0 92 10 0 373862 1807190
285 0 97 5 0 373862 1807190
290 0 92 10 0 373862 1807190
295 0 95 7 0 373862 1807190
300 0 95 7 0 373862 1807190
305 0 95 7 0 373862 1807190
310 0 99 3 0 373862 1807190
315 0 95 7 0 373862 1807190
320 0 95 7 0 373862 1807190
325 0 94 8 0 373862 1807190
330 0 95 7 0 373862 1807190
335 0 96 6 0 373862 1807190
340 0 96 6 0 373862 1807190
345 0 97 5 0 373862 1807190
350 0 95 7 0 373862 1807190
355 0 93 9 0 373862 1807190
360 0 90 12 0 373862 1807190
365 0 92 10 0 373862 1807190
370 0 94 8 0 373862 1807190
375 0 85 17 0 373862 1807190
380 0 90 12 0 373862 1807190
385 0 91 11 0 373862 1807190
390 0 91 11 0 373862 1807190
395 0 93 9 0 373862 1807190
400 0 94 8 0 373862 1807190
