time CaMKII* CaMKII6 CaMKII7 PP1 x y
120 0 7 0 0 0 3
180 0 7 0 0 0 3
240 0 7 0 0 0 3
300 0 7 0 0 1 2
360 0 7 0 0 1 2
420 0 7 0 0 1 2
480 0 7 0 0 1 2
540 0 7 0 0 1 2
600 1 7 0 0 1 2
660 1 7 0 0 1 2
720 0 7 0 0 0 3
780 0 7 0 0 0 3
840 0 7 0 0 0 3
900 0 7 0 0 1 2
960 2 7 0 0 1 2
1020 2 7 0 0 0 3
1080 2 7 0 0 1 2
1140 2 7 0 0 1 2
1200 1 7 0 0 0 3
1260 1 7 0 0 0 3
1320 1 7 0 0 1 2
1380 1 7 0 0 1 2
1440 2 7 0 0 0 3
1500 2 7 0 0 1 2
1560 2 7 0 0 1 2
1620 2 7 0 0 1 2
1680 2 7 0 0 0 3
1740 2 7 0 0 0 3
1800 2 7 0 0 0 3
1860 2 7 0 0 0 3
1920 3 7 0 0 0 3
1980 3 7 0 0 1 2
2040 1 7 0 0 1 2
2100 1 7 0 0 2 1
2160 2 7 0 0 1 2
2220 2 7 0 0 2 1
2280 2 7 0 0 3 0
2340 2 7 0 0 3 0
2400 2 7 0 0 3 0
2460 2 7 0 0 1 2
2520 2 7 0 0 1 2
2580 2 7 0 0 2 1
2640 2 7 0 0 1 2
2700 2 7 0 0 1 2
2760 3 7 0 0 1 2
2820 3 7 0 0 1 2
2880 2 7 0 0 0 3
2940 1 7 0 0 0 3
3000 1 7 0 0 0 3
3060 2 7 0 0 0 3
3120 3 7 0 0 0 3
3180 3 7 0 0 0 3
3240 3 7 0 0 1 2
3300 3 7 0 0 3 0
3360 3 7 0 0 3 0
3420 3 7 0 0 3 0
3480 3 7 0 0 2 1
3540 2 7 0 0 0 3
3600 2 7 0 0 0 3
3660 1 7 0 0 1 2
3720 2 7 0 0 0 3
3780 2 7 0 0 1 2
3840 2 7 0 0 1 2
3900 2 7 0 0 0 3
3960 3 7 0 0 0 3
4020 2 7 0 0 0 3
4080 2 7 0 0 0 3
4140 0 7 0 0 1 2
4200 0 7 0 0 2 1
4260 0 7 0 0 0 3
4320 0 7 0 0 0 3
4380 1 7 0 0 0 3
4440 2 7 0 0 0 3
4500 2 7 0 0 1 2
4560 2 7 0 0 1 2
4620 2 7 0 0 1 2
4680 1 7 0 0 1 2
4740 3 7 0 0 0 3
4800 2 7 0 0 1 2
4860 4 7 0 0 2 1
4920 4 7 0 0 1 2
4980 4 7 0 0 1 2
5040 4 7 0 0 0 3
5100 5 7 0 0 1 2
5160 5 7 0 0 2 1
5220 5 7 0 0 1 2
5280 5 7 0 0 1 2
5340 6 7 0 0 0 3
5400 6 7 0 0 1 2
5460 6 7 0 0 1 2
5520 6 7 0 0 1 2
5580 7 7 0 0 2 1
5640 7 7 0 0 1 2
5700 7 7 0 0 1 2
5760 7 7 0 0 1 2
5820 7 7 0 0 2 1
5880 7 7 0 0 2 1
5940 7 7 0 0 3 0
6000 7 7 0 0 3 0
6060 7 7 0 0 3 0
6120 6 7 0 0 2 1
6180 3 7 0 0 1 2
6240 4 7 0 0 1 2
6300 4 7 0 0 2 1
