time CaMKII* CaMKII6 CaMKII7 PP1 x y
1000 0 12 3 0 0 4
1500 0 13 2 0 0 5
2000 0 13 2 0 0 5
2500 0 14 1 0 0 6
3000 0 13 2 0 0 5
3500 0 13 2 0 0 5
4000 1 15 0 0 0 7
4500 1 15 0 0 0 7
5000 0 14 1 0 0 6
5500 0 14 1 0 0 6
6000 0 14 1 0 0 6
6500 0 15 0 0 0 7
7000 0 15 0 0 0 7
7500 0 15 0 0 0 7
8000 0 13 2 0 1 4
8500 0 15 0 0 0 7
9000 0 15 0 0 0 7
9500 0 15 0 0 0 7
10000 0 12 3 0 0 4
10500 0 12 3 0 0 4
11000 0 15 0 0 0 7
11500 0 14 1 0 0 6
12000 0 14 1 0 0 6
12500 0 15 0 0 0 7
13000 0 15 0 0 0 7
13500 0 13 2 0 0 5
14000 0 13 2 0 0 5
14500 0 12 3 0 0 4
15000 0 13 2 0 0 5
15500 0 13 2 0 0 5
16000 0 14 1 0 0 6
16500 0 13 2 0 0 5
17000 0 14 1 0 0 6
17500 0 15 0 0 0 7
18000 0 15 0 0 0 7
18500 0 15 0 0 0 7
19000 0 14 1 0 0 6
19500 0 12 3 0 0 4
20000 0 14 1 0 0 6
20500 0 12 3 0 0 4
21000 0 13 2 0 0 5
21500 0 12 3 0 0 4
22000 0 14 1 0 0 6
22500 0 15 0 0 1 6
23000 0 14 1 0 0 6
23500 0 14 1 0 0 6
24000 0 14 1 0 2 4
24500 0 13 2 0 0 5
25000 0 12 3 0 0 4
25500 0 13 2 0 0 5
26000 0 14 1 0 0 6
26500 0 12 3 0 0 4
27000 0 12 3 0 0 4
27500 0 14 1 0 0 6
28000 0 15 0 0 0 7
28500 0 12 3 0 0 4
29000 0 14 1 0 0 6
29500 0 14 1 0 0 6
30000 0 13 2 0 0 5
30500 0 14 1 0 0 6
31000 0 13 2 0 0 5
31500 0 13 2 0 0 5
32000 0 14 1 0 0 6
32500 0 14 1 0 0 6
33000 0 14 1 0 0 6
33500 0 15 0 0 0 7
34000 0 13 2 0 0 5
34500 1 12 3 0 0 4
35000 1 15 0 0 0 7
35500 0 14 1 0 0 6
36000 0 13 2 0 0 5
36500 0 14 1 0 0 6
37000 0 14 1 0 0 6
37500 0 14 1 0 0 6
38000 0 14 1 0 0 6
38500 0 13 2 0 0 5
39000 0 15 0 0 0 7
39500 0 14 1 0 0 6
40000 0 14 1 0 1 5
40500 0 13 2 0 0 5
41000 0 12 3 0 0 4
41500 0 14 1 0 0 6
42000 0 15 0 0 0 7
42500 0 15 0 0 0 7
43000 0 14 1 0 0 6
43500 0 13 2 0 0 5
44000 0 14 1 0 0 6
44500 0 14 1 0 0 6
45000 0 13 2 0 0 5
45500 0 14 1 0 0 6
46000 0 12 3 0 0 4
46500 0 13 2 0 0 5
47000 1 15 0 0 0 7
47500 0 14 1 0 0 6
48000 0 15 0 0 0 7
48500 0 13 2 0 0 5
49000 0 13 2 0 0 5
49500 0 13 2 0 0 5
50000 0 15 0 0 0 7
50500 0 13 2 0 0 5
51000 0 13 2 0 0 5
51500 0 14 1 0 0 6
52000 0 13 2 0 0 5
52500 0 12 3 0 0 4
53000 0 14 1 0 0 6
53500 0 13 2 0 0 5
54000 0 13 2 0 0 5
54500 0 12 3 0 0 4
55000 0 12 3 0 0 4
55500 0 13 2 0 0 5
56000 0 15 0 0 0 7
56500 0 13 2 0 0 5
57000 0 13 2 0 0 5
57500 0 12 3 0 0 4
58000 0 13 2 0 0 5
58500 0 15 0 0 0 7
59000 0 15 0 0 0 7
59500 0 14 1 0 1 5
60000 0 14 1 0 0 6
60500 0 15 0 0 0 7
61000 0 15 0 0 0 7
61500 0 15 0 0 0 7
62000 0 13 2 0 0 5
62500 0 13 2 0 0 5
63000 0 13 2 0 0 5
63500 0 13 2 0 0 5
64000 0 13 2 0 0 5
64500 0 14 1 0 0 6
65000 0 13 2 0 0 5
65500 0 14 1 0 0 6
66000 0 12 3 0 0 4
66500 0 13 2 0 0 5
67000 0 14 1 1 0 6
67500 0 14 1 0 0 6
68000 0 13 2 0 0 5
68500 0 15 0 0 0 7
69000 0 12 3 0 0 4
69500 0 13 2 0 0 5
70000 0 14 1 0 0 6
70500 0 13 2 0 0 5
71000 0 13 2 0 0 5
71500 0 14 1 0 0 6
72000 0 12 3 0 0 4
72500 0 15 0 0 0 7
73000 0 14 1 0 0 6
73500 0 15 0 0 0 7
74000 0 13 2 0 0 5
74500 0 11 4 0 0 3
75000 0 13 2 0 0 5
75500 0 14 1 0 0 6
76000 0 14 1 0 0 6
76500 0 13 2 0 0 5
77000 0 15 0 0 0 7
77500 0 12 3 0 0 4
78000 0 15 0 0 0 7
78500 0 15 0 0 0 7
79000 0 15 0 0 0 7
79500 0 14 1 0 0 6
80000 0 15 0 0 0 7
80500 0 15 0 1 0 7
81000 0 11 4 0 0 3
81500 0 15 0 0 0 7
82000 0 14 1 0 0 6
82500 0 12 3 0 0 4
83000 0 11 4 0 0 3
83500 0 13 2 0 0 5
84000 0 14 1 0 0 6
84500 0 13 2 0 1 4
85000 0 12 3 0 0 4
85500 0 13 2 0 0 5
86000 0 13 2 0 0 5
86500 0 13 2 0 0 5
87000 0 13 2 0 0 5
87500 0 12 3 0 0 4
88000 0 15 0 0 0 7
88500 0 12 3 0 0 4
89000 0 13 2 0 0 5
89500 0 14 1 0 0 6
90000 0 14 1 0 0 6
90500 0 15 0 0 0 7
91000 0 14 1 0 0 6
91500 0 13 2 0 0 5
92000 0 13 2 0 0 5
92500 0 15 0 0 0 7
93000 0 14 1 0 0 6
93500 0 13 2 0 0 5
94000 0 12 3 0 0 4
94500 0 12 3 0 0 4
95000 0 13 2 0 0 5
95500 0 13 2 0 0 5
96000 0 14 1 0 0 6
96500 0 12 3 0 0 4
97000 0 13 2 0 0 5
97500 0 13 2 0 0 5
98000 0 14 1 0 0 6
98500 0 15 0 0 0 7
99000 0 14 1 0 0 6
99500 0 12 3 0 0 4
100000 0 13 2 0 0 5
100500 0 14 1 0 1 5
101000 0 14 1 0 1 5
101500 0 15 0 0 0 7
102000 0 13 2 0 0 5
102500 0 14 1 0 0 6
103000 0 15 0 0 0 7
103500 0 12 3 0 0 4
104000 0 12 3 0 0 4
104500 0 14 1 0 0 6
105000 0 14 1 0 0 6
105500 0 12 3 0 0 4
106000 0 14 1 0 1 5
106500 0 12 3 0 0 4
107000 0 13 2 0 0 5
107500 0 12 3 0 0 4
108000 0 15 0 0 0 7
108500 0 14 1 0 0 6
109000 0 13 2 0 0 5
109500 0 14 1 0 0 6
110000 0 14 1 0 0 6
110500 0 14 1 1 0 6
111000 0 14 1 0 0 6
111500 0 15 0 0 0 7
112000 0 14 1 0 0 6
112500 0 14 1 0 0 6
113000 0 15 0 0 0 7
113500 0 12 3 0 0 4
114000 0 15 0 0 0 7
114500 0 14 1 0 0 6
