time CaMKII* CaMKII6 CaMKII7 PP1 x y
40 0 6 0 0 0 4
60 0 6 0 0 0 4
80 0 6 0 0 0 4
100 0 6 0 0 0 4
120 0 6 0 0 0 4
140 0 6 0 0 0 4
160 0 4 2 0 0 2
180 0 6 0 0 0 4
200 0 6 0 0 0 4
220 0 6 0 0 0 4
240 0 5 1 0 0 3
260 0 6 0 0 0 4
280 0 6 0 0 0 4
300 0 6 0 0 0 4
320 0 5 1 0 0 3
340 0 5 1 0 0 3
360 0 5 1 0 0 3
380 0 6 0 0 0 4
400 0 5 1 0 0 3
420 0 4 2 0 0 2
440 0 4 2 0 0 2
460 0 5 1 0 0 3
480 0 5 1 0 0 3
500 0 5 1 0 0 3
520 0 6 0 0 0 4
540 0 6 0 0 0 4
560 0 6 0 0 0 4
580 0 6 0 0 0 4
600 0 6 0 0 0 4
620 0 6 0 0 0 4
640 0 5 1 0 0 3
660 0 5 1 0 0 3
680 0 6 0 0 0 4
700 0 4 2 0 0 2
720 0 5 1 0 0 3
740 0 6 0 0 0 4
760 0 6 0 0 0 4
780 0 6 0 0 0 4
800 0 6 0 0 0 4
820 0 6 0 0 0 4
840 0 6 0 0 0 4
860 0 5 1 0 0 3
880 0 5 1 0 0 3
900 0 6 0 0 0 4
920 0 5 1 0 0 3
940 0 6 0 0 0 4
960 0 5 1 0 0 3
980 0 5 1 0 0 3
1000 0 6 0 0 0 4
1020 0 5 1 0 0 3
1040 0 5 1 0 0 3
1060 0 6 0 0 0 4
1080 0 6 0 0 0 4
1100 0 6 0 0 0 4
1120 0 5 1 0 0 3
1140 0 5 1 0 0 3
1160 0 6 0 0 0 4
1180 0 5 1 0 0 3
1200 0 5 1 0 0 3
1220 0 5 1 0 0 3
1240 0 6 0 0 0 4
1260 0 6 0 0 0 4
1280 0 6 0 0 0 4
1300 0 4 2 0 0 2
1320 0 4 2 0 0 2
1340 0 6 0 0 0 4
1360 0 6 0 0 0 4
1380 0 5 1 0 0 3
1400 0 5 1 0 0 3
1420 0 6 0 0 0 4
1440 0 6 0 0 0 4
1460 0 6 0 0 0 4
1480 0 6 0 0 0 4
1500 0 6 0 0 0 4
1520 0 6 0 0 0 4
1540 0 6 0 0 0 4
1560 0 6 0 0 0 4
1580 0 5 1 0 0 3
1600 0 5 1 0 0 3
1620 0 5 1 0 0 3
1640 0 6 0 0 0 4
1660 0 6 0 0 0 4
1680 0 5 1 0 0 3
1700 0 5 1 0 0 3
1720 0 5 1 0 0 3
1740 0 4 2 0 0 2
1760 0 6 0 0 0 4
1780 0 6 0 0 0 4
1800 0 5 1 0 0 3
1820 0 5 1 0 0 3
1840 0 5 1 0 0 3
1860 0 6 0 0 0 4
1880 0 6 0 0 0 4
1900 0 6 0 0 0 4
1920 0 5 1 0 0 3
1940 0 6 0 0 0 4
1960 0 6 0 0 0 4
1980 0 6 0 0 0 4
2000 0 5 1 0 0 3
2020 0 6 0 0 0 4
2040 0 5 1 0 0 3
2060 0 6 0 0 0 4
2080 0 6 0 0 0 4
2100 0 5 1 0 0 3
2120 0 6 0 0 0 4
2140 0 5 1 0 0 3
2160 0 5 1 0 0 3
2180 0 5 1 0 0 3
2200 0 6 0 0 0 4
2220 0 5 1 0 0 3
2240 0 5 1 0 0 3
2260 0 6 0 0 0 4
2280 0 5 1 0 0 3
2300 0 5 1 0 0 3
2320 0 5 1 0 0 3
2340 0 5 1 0 0 3
2360 0 5 1 0 0 3
2380 0 6 0 0 0 4
2400 0 6 0 0 0 4
2420 0 5 1 0 0 3
2440 0 6 0 0 0 4
2460 0 6 0 1 0 4
2480 0 6 0 1 0 4
2500 0 6 0 0 0 4
2520 0 6 0 0 0 4
2540 0 6 0 0 0 4
